"Code","sumril2004q1","sumril2004q2","sumril2004q3","sumril2004q4","sumril2005q1","sumril2005q2","sumril2005q3","sumril2005q4","sumril2006q1","sumril2006q2","sumril2006q3","sumril2006q4","sumril2007q1","sumril2007q2","sumril2007q3","sumril2007q4","sumril2008q1","sumril2008q2","sumril2008q3","sumril2008q4","sumril2009q1","sumril2009q2","sumril2009q3","sumril2009q4","sumril2010q1","sumril2010q2","sumril2010q3","sumril2010q4","sumril2011q1","sumril2011q2","sumril2011q3","sumril2011q4","sumril2012q1","sumril2012q2","sumril2012q3","sumril2012q4","sumril2013q1","sumril2013q2","sumril2013q3","sumril2013q4","sumril2014q1","sumril2014q2","sumril2014q3","sumril2014q4","sumril2015q1","sumril2015q2","sumril2015q3","sumril2015q4"
"ABD",-230,-507,-414,-227,11,0,0,0,-85,0,0,0,5,0,-135,0,-104,-462,0,-135,0,-152,89,0,161,-165,0,-169,-118,150,-81,-4,-324,247,0,127,212,158,-4,0,-43,0,0,394,-47,145,128,13
"ACC",0,0,0,6,0,0,0,-7,0,0,0,29,0,0,0,-17,0,0,0,19,0,7,-11,-70,-94,-27,-9,138,-63,47,-35,854,-32,0,-248,178,-168,-11,13,-637,-52,-50,-2,125,14,-4,-17,-19
"ADM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,0,1083,464,1486,-2819,2029,2223,-388,-4688,365,-1671,-933,-10,-721,133,-851,16,-490,228,-883,-1957,556,1376,3529
"AFT",-541,142,-302,-151,-563,807,637,211,372,1562,-697,1201,302,902,-95,941,2096,1042,-527,1693,-33,1270,-316,224,-218,407,227,309,-469,-214,-549,1939,85,-280,-1117,175,-797,-106,120,-436,-473,246,486,-901,953,1191,-1648,221
"AIN",-1,0,1,62,0,0,0,60,0,0,0,12,0,0,0,-79,0,1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIR",34,26,-74,-20,19,27,43,-75,-54,-29,61,24,-23,31,-19,-32,-14,32,62,101,89,24,79,42,-46,-1,-147,-107,39,-16,-2,80,22,63,-5,-17,16,-7,0,-210,-160,-28,340,26,89,-23,78,200
"AIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,-479,112,0,-35,-4,-65,0,0,863,-3,-37,-565,-393,0,0,-95,-533,0,37,100,-412,0,0,981,-313
"ALE",249,18,6,486,1,45,-116,-151,-207,42,-135,-111,113,-160,221,637,52,69,-88,8,-74,68,119,-98,101,-82,-63,88,-31,-151,-14,57,-42,6,-116,64,68,-40,-17,97,258,-43,12,55,81,-79,-55,7
"AMI",-9,53,8,-347,-54,-88,-98,-120,157,-175,-69,-736,298,-34,-219,-538,114,157,-146,-565,-333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMM",51,42,33,-31,39,-7,74,49,161,-115,23,16,97,197,-6,-112,19,279,-51,3,-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMO",0,0,0,3,0,0,0,-4,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
