"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987; Quarterly data from 1948:I To 1987:IV  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,"1948:I","1948:II","1948:III","1948:IV","1949:I","1949:II","1949:III","1949:IV","1950:I","1950:II","1950:III","1950:IV","1951:I","1951:II","1951:III","1951:IV","1952:I","1952:II","1952:III","1952:IV","1953:I","1953:II","1953:III","1953:IV","1954:I","1954:II","1954:III","1954:IV","1955:I","1955:II","1955:III","1955:IV","1956:I","1956:II","1956:III","1956:IV","1957:I","1957:II","1957:III","1957:IV","1958:I","1958:II","1958:III","1958:IV","1959:I","1959:II","1959:III","1959:IV","1960:I","1960:II","1960:III","1960:IV","1961:I","1961:II","1961:III","1961:IV","1962:I","1962:II","1962:III","1962:IV","1963:I","1963:II","1963:III","1963:IV","1964:I","1964:II","1964:III","1964:IV","1965:I","1965:II","1965:III","1965:IV","1966:I","1966:II","1966:III","1966:IV","1967:I","1967:II","1967:III","1967:IV","1968:I","1968:II","1968:III","1968:IV","1969:I","1969:II","1969:III","1969:IV","1970:I","1970:II","1970:III","1970:IV","1971:I","1971:II","1971:III","1971:IV","1972:I","1972:II","1972:III","1972:IV","1973:I","1973:II","1973:III","1973:IV","1974:I","1974:II","1974:III","1974:IV","1975:I","1975:II","1975:III","1975:IV","1976:I","1976:II","1976:III","1976:IV","1977:I","1977:II","1977:III","1977:IV","1978:I","1978:II","1978:III","1978:IV","1979:I","1979:II","1979:III","1979:IV","1980:I","1980:II","1980:III","1980:IV","1981:I","1981:II","1981:III","1981:IV","1982:I","1982:II","1982:III","1982:IV","1983:I","1983:II","1983:III","1983:IV","1984:I","1984:II","1984:III","1984:IV","1985:I","1985:II","1985:III","1985:IV","1986:I","1986:II","1986:III","1986:IV","1987:I","1987:II","1987:III","1987:IV"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    National income without capital consumption adjustment","219.8","227.5","232.2","233.8","226.2","221.2","220.9","217.6","226.5","237.3","253.1","266.1","276.0","282.2","286.9","292.0","293.0","293.5","298.6","308.6","313.8","315.9","314.2","306.2","307.8","308.0","311.2","319.6","329.9","338.2","343.4","350.1","352.9","359.1","363.1","370.4","376.3","378.1","381.6","376.0","370.4","372.0","382.7","395.3","405.1","418.0","413.6","417.8","429.6","429.4","429.7","427.9","429.0","438.1","446.9","459.7","466.0","472.5","477.6","484.2","489.0","497.1","504.6","513.8","524.8","533.4","543.5","550.6","566.7","577.8","588.8","607.5","627.3","636.3","647.4","658.9","663.9","668.9","681.9","696.0","714.1","733.0","749.5","764.8","779.3","793.1","809.3","817.1","821.4","832.6","845.4","844.9","878.9","896.5","910.7","930.0","960.6","979.8","1,007.5","1,049.7","1,086.1","1,109.7","1,138.2","1,174.9","1,185.4","1,203.7","1,231.4","1,249.9","1,257.4","1,286.0","1,343.0","1,385.2","1,434.7","1,458.9","1,489.5","1,521.5","1,571.9","1,632.9","1,687.1","1,732.3","1,772.5","1,865.7","1,918.8","1,982.8","2,035.6","2,076.1","2,129.7","2,188.6","2,244.7","2,225.0","2,274.9","2,386.9","2,460.7","2,479.5","2,571.6","2,581.7","2,580.0","2,625.8","2,633.6","2,641.3","2,678.5","2,746.9","2,818.8","2,908.2","3,030.7","3,105.1","3,166.3","3,203.9","3,256.6","3,288.2","3,340.4","3,387.4","3,430.6","3,451.5","3,490.5","3,530.8","3,622.4","3,712.8","3,805.1","3,901.0"
"10","2","Domestic industries","218.4","225.9","230.7","232.3","224.8","219.8","219.6","216.4","225.2","236.0","251.4","264.4","274.4","280.2","284.8","289.7","290.9","291.4","296.5","306.5","311.7","313.7","312.3","304.2","305.7","305.9","309.1","317.1","327.4","335.7","340.9","347.5","349.9","356.2","360.1","367.8","373.1","374.6","378.2","373.4","367.6","369.2","380.0","392.7","402.5","415.3","410.6","414.7","426.6","426.3","426.5","424.5","425.4","434.6","443.3","456.0","462.3","468.4","473.4","479.4","484.4","492.7","500.1","509.1","519.7","528.4","538.4","545.8","561.2","572.0","583.4","602.6","622.2","631.2","642.3","653.6","658.6","663.8","676.1","690.4","708.2","726.9","743.2","758.5","772.9","786.8","803.3","811.1","815.1","826.0","838.8","838.8","871.4","888.5","903.3","922.1","952.3","971.6","998.5","1,040.6","1,075.3","1,098.0","1,124.2","1,160.5","1,168.2","1,187.1","1,215.9","1,236.4","1,245.8","1,274.2","1,329.8","1,369.0","1,418.7","1,442.0","1,472.1","1,503.3","1,550.8","1,611.7","1,665.8","1,713.1","1,750.1","1,846.6","1,897.3","1,957.5","2,009.0","2,045.6","2,092.6","2,151.1","2,205.9","2,188.3","2,239.4","2,356.9","2,427.4","2,447.4","2,537.2","2,542.8","2,543.6","2,584.8","2,598.9","2,607.7","2,644.6","2,710.2","2,781.1","2,868.9","2,994.5","3,068.6","3,130.0","3,171.6","3,231.0","3,260.5","3,317.8","3,361.9","3,408.8","3,437.1","3,474.2","3,521.3","3,611.1","3,698.3","3,791.3","3,885.8"
