"","Table 5#2# Gross and Net Investment by Major Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2002 8:10:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","Gross private domestic investment","1","A006RC",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,436,490.6,477.9,570.8,516.1,564.2,735.5,736.3,747.2,781.5,821.1,872.9,861.7,800.2,866.6,955.1,1097.1,1143.8,1242.7,1390.5,1538.7,1636.7,1755.4,1586
"9","Less: Consumption of fixed capital","2","A024RC",8.4,8.3,7.7,6.8,6.3,6.6,6.6,6.7,7.5,7.8,7.7,8.1,9,10.1,10.1,10.4,10.7,12.7,15.5,18.4,20,21.7,25,26.6,28.1,29.3,31,34.4,37.3,38.8,40.2,41.8,42.8,44.3,46,48.4,51.7,56.3,61.4,67.4,74.5,81.8,89.8,99.4,109.1,126.9,149.1,164.5,184.4,210.7,244.9,282.6,323.9,357.5,372.7,393.5,422.5,450.8,478.2,512.4,554,579.5,608.1,642.2,660.1,714.6,743.6,781.9,832.4,884.3,947.3,1018,1106.8
"10","Equals: Net private domestic investment","3","A557RC",8.1,2.5,-1.7,-5.5,-4.6,-2.9,0.1,1.9,4.7,-0.7,1.6,5.6,9.1,0.3,-4,-2.6,0.1,18.5,19.4,29.8,16.8,32.4,35.2,27.4,28.4,24.5,38.1,37.6,33.1,25.7,38.3,37.1,35.3,43.8,47.8,53.7,66.5,75,67.2,73.7,81.9,70.6,88.4,108.2,135.3,122.5,81.1,127.4,176.9,225.3,245.7,195.3,246.9,158.6,191.5,342,313.8,296.5,303.2,308.8,318.9,282.2,192.1,224.4,295,382.5,400.1,460.8,558.1,654.4,689.4,737.4,479.2
"11","  Fixed investment","4","A007RC",14.9,11,7,3.6,3.1,4.3,5.6,7.5,9.5,7.7,9.1,11.2,13.8,8.5,6.9,8.7,12.3,25.1,35.5,42.4,39.6,48.3,50.3,50.5,54.5,55.8,64,68.1,69.7,64.9,74.6,75.7,75.2,82,88.1,97.2,109,117.7,118.7,132.1,147.3,150.4,169.9,198.5,228.6,235.4,236.5,274.8,339,410.2,472.7,484.2,541,531,570,670.1,714.5,740.7,754.3,802.7,845.2,847.2,800.4,851.6,934,1034.6,1110.7,1212.7,1327.7,1465.6,1577.2,1691.8,1646.3
"12","  Less: Consumption of fixed capital","5","A024RC",8.4,8.3,7.7,6.8,6.3,6.6,6.6,6.7,7.5,7.8,7.7,8.1,9,10.1,10.1,10.4,10.7,12.7,15.5,18.4,20,21.7,25,26.6,28.1,29.3,31,34.4,37.3,38.8,40.2,41.8,42.8,44.3,46,48.4,51.7,56.3,61.4,67.4,74.5,81.8,89.8,99.4,109.1,126.9,149.1,164.5,184.4,210.7,244.9,282.6,323.9,357.5,372.7,393.5,422.5,450.8,478.2,512.4,554,579.5,608.1,642.2,660.1,714.6,743.6,781.9,832.4,884.3,947.3,1018,1106.8
"13","  Equals: Net fixed investment","6","A560RC",6.5,2.7,-0.6,-3.1,-3.2,-2.3,-1,0.8,2,-0.2,1.4,3.2,4.8,-1.6,-3.3,-1.7,1.6,12.5,20,24.1,19.5,26.6,25.3,23.9,26.4,26.5,33.1,33.7,32.3,26.1,34.4,33.9,32.4,37.7,42.2,48.9,57.2,61.3,57.3,64.7,72.7,68.6,80.2,99.1,119.5,108.5,87.3,110.3,154.6,199.5,227.7,201.6,217.1,173.5,197.2,276.6,292,289.9,276.1,290.3,291.2,267.7,192.3,209.4,273.9,320,367.1,430.8,495.2,581.3,629.9,673.9,539.5
"14","    Nonresidential","7","A008RC",11,8.6,5.3,2.9,2.5,3.3,4.3,5.8,7.5,5.5,6.1,7.7,9.7,6.3,5.4,7.4,10.6,17.3,23.5,26.8,24.9,27.8,31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,278.6,331.6,360.9,418.4,425.3,417.4,490.3,527.6,522.5,526.7,568.4,613.4,630.3,608.9,626.1,682.2,748.6,825.1,899.4,999.4,1101.2,1173.5,1265.8,1201.6
"15","    Less: Consumption of fixed capital","8","A753RC",6.9,6.7,6.3,5.6,5.2,5.4,5.4,5.4,6.1,6.3,6.2,6.5,7.2,8.2,8,8.2,8.3,10,12.2,14.5,16,17.3,20.1,21.3,22.5,23.5,24.8,27.8,30.4,31.6,32.8,33.9,34.6,35.8,37.2,39.1,41.8,45.6,49.9,54.9,60.7,66.9,73.3,80.4,88.3,103,122.4,135.3,151.2,172.3,200.2,231.7,267.7,296.9,309.6,327.6,351.5,376.6,399,427.6,460,484.7,508.6,528.3,551.1,588.3,621.9,656.3,699.7,744.8,795.2,858.5,933.4
"16","    Equals: Net nonresidential","9","A593RC",4.1,1.9,-1,-2.8,-2.7,-2,-1.1,0.3,1.4,-0.8,-0.1,1.3,2.4,-1.9,-2.6,-0.8,2.3,7.3,11.3,12.3,8.9,10.4,11.8,10.6,12.6,11.2,14.2,16.7,17.1,10.9,13.7,15.4,14.2,17.2,18.8,23.9,33,39.8,36.5,38.5,44,42.1,40.8,48.4,65,66.5,51.4,57.1,77.6,106.3,131.4,129.2,150.7,128.4,107.8,162.8,176.1,146,127.8,140.9,153.4,145.6,100.2,97.8,131.1,160.3,203.1,243.1,299.7,356.5,378.3,407.3,268.1
"17","      Structures","10","B009RC",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,91.4,114.9,133.9,164.6,175,152.7,176,193.3,175.8,172.1,181.6,193.4,202.5,183.4,172.2,179.4,187.5,204.6,225,255.8,282.4,283.7,314.2,324.5
"18","      Less: Consumption of fixed capital","11","B188RC",2.6,2.5,2.4,2,2.1,2.1,2.2,2.2,2.5,2.4,2.4,2.5,2.7,3,3.2,3.3,3.4,3.9,4.8,5.5,5.5,5.6,6.5,6.9,7.1,7.2,7.6,8.5,9.1,9.4,9.7,9.9,10.1,10.4,10.7,11.1,11.8,12.7,13.5,14.7,16.2,17.8,19.7,22.5,24.4,28.5,33,35.5,39.8,45,52.9,59.9,70.9,81.2,81.5,83.6,88.6,91.9,93.4,101.3,108.9,113.1,116.6,118.8,123,133,135.2,140.3,149.4,158.1,163.3,170.8,198.1
