"","Table 1#3# Gross Domestic Product by Major Type of Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 20, 2002 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2002 8:39:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","    Gross domestic product","A191RC",103.7,91.3,76.6,58.8,56.4,66,73.3,83.7,91.9,86.1,92,101.3,126.7,161.8,198.4,219.7,223,222.3,244.4,269.6,267.7,294.3,339.5,358.6,379.9,381.1,415.2,438,461.5,467.9,507.4,527.4,545.7,586.5,618.7,664.4,720.1,789.3,834.1,911.5,985.3,1039.7,1128.6,1240.4,1385.5,1501,1635.2,1823.9,2031.4,2295.9,2566.4,2795.6,3131.3,3259.2,3534.9,3932.7,4213,4452.9,4742.5,5108.3,5489.1,5803.2,5986.2,6318.9,6642.3,7054.3,7400.5,7813.2,8318.4,8781.5,9274.3,9824.6,10082.2
"9","2","  Final sales of domestic product","A190RC",102.2,91.5,77.7,61.2,57.9,66.6,72.2,82.6,89.2,86.6,91.8,98.9,122.4,159.9,199.2,220.6,224.5,216.3,245,263.9,270.3,288.5,329.6,355.1,378,383,410.2,434,460.7,468.3,503.5,524.1,542.7,580.4,613.1,659.6,710.9,775.7,824.2,902.4,976.2,1037.7,1120.3,1231.3,1369.7,1487,1641.4,1806.8,2009.1,2270.1,2548.4,2801.9,3101.5,3274.1,3540.7,3867.3,4191.2,4446.3,4715.3,5089.8,5461.4,5788.7,5986.4,6303.9,6621.2,6991.8,7367.5,7783.2,8255.5,8708.4,9214.8,9761.1,10142.5
"10","3","  Change in private inventories","A014RC",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,3.9,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.2,15,21.1,62.6,33,30,62.9,73.1,59.5,63.6,-60.3
"11","4","Goods","A353RC",55.9,47.1,37.5,26.9,27.1,34.4,40,45.8,51.5,45.3,49,56,72.5,94.8,121.9,132.5,129.3,124.4,140,154.3,147.3,161.7,188.6,194.3,205.4,197.6,216.6,224.3,234.1,229.7,251.7,258,260.7,281.5,293.2,313.6,343.3,381.7,395.3,428.3,457.7,470.3,496.1,542.7,622,670.9,724.8,811.4,890.7,1004.5,1128.7,1207.6,1362.8,1354.6,1452.1,1637,1702.7,1758.2,1853.5,2000,2175.3,2266.4,2296.1,2391.4,2503.2,2680.2,2798.1,2951.3,3145.4,3305.4,3473.4,3651,3593.7
"12","5","    Final sales","A325RC",54.4,47.3,38.6,29.2,28.5,35,38.8,44.6,48.8,45.9,48.8,53.6,68.2,92.9,122.6,133.5,130.8,118.3,140.6,148.7,150,155.9,178.7,190.8,203.5,199.6,211.6,220.3,233.3,230,247.8,254.7,257.7,275.4,287.6,308.8,334.1,368,385.5,419.2,448.5,468.3,487.9,533.6,606.1,656.9,731.1,794.3,868.4,978.7,1110.7,1213.9,1333,1369.6,1457.8,1571.6,1680.9,1751.7,1826.4,1981.5,2147.6,2251.9,2296.3,2376.4,2482.1,2617.6,2765.1,2921.3,3082.5,3232.3,3413.9,3587.4,3654
"13","6","    Change in private inventories","A014RC",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,3.9,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.2,15,21.1,62.6,33,30,62.9,73.1,59.5,63.6,-60.3
"14","7","  Durable goods","A354RC",17.5,11.4,7.7,3.6,4.9,7.4,9.3,12.2,13.9,9.9,12.7,16.6,27,37,56.2,58.7,49.6,35.9,45.9,48.9,47.7,59.3,71.5,72.7,80.5,71.3,85.2,87.4,91.4,81.2,95.2,96.9,94.4,108.2,114.2,125,140.4,160.3,160.1,174,186.9,183,193.1,219.4,258.8,272.9,287.2,340.4,384.1,444.4,500.1,515.7,571.8,550.1,614.2,728,754.4,779.6,832.8,909.1,983.8,1002,974.7,1026.5,1107.8,1197.3,1273.3,1351,1469.3,1569,1649.6,1735,1611.4
"15","8","    Final sales","A326RC",16.1,12.4,9,5.7,5.4,7.3,8.9,11.2,13.1,10.8,12.4,15.4,23.9,36,56.2,59.3,50.8,30.5,44.4,47.9,49.5,55.6,65.4,71.6,79,73.9,81.8,85.2,90.9,83.9,92.4,95.2,94.5,104.7,111.5,121.2,134.2,150.2,155.3,169.5,180.9,183.2,190.2,213,245.8,262.1,294.7,329.6,374.6,426.2,487.3,518,564.5,566.1,611.8,686.6,750,781.5,809.9,886.4,963.8,994.3,988.3,1029.4,1090.7,1161.6,1239.8,1331.9,1436.2,1524.4,1612.1,1690.9,1676.4
"16","9","    Change in private inventories \1\","A355RC",1.4,-1,-1.2,-2,-0.5,0.1,0.3,0.9,0.8,-0.9,0.3,1.2,3.1,1,0,-0.6,-1.3,5.3,1.4,1,-1.8,3.6,6.1,1.2,1.5,-2.5,3.4,2.1,0.5,-2.8,2.9,1.7,-0.1,3.4,2.6,3.8,6.2,10,4.8,4.5,6,-0.2,2.9,6.4,13,10.9,-7.5,10.8,9.5,18.2,12.8,-2.3,7.3,-16,2.5,41.4,4.4,-1.9,22.9,22.7,20,7.7,-13.6,-3,17.1,35.7,33.6,19.1,33.1,44.6,37.5,44.1,-65
"17","10","  Nondurable goods","A356RC",38.4,35.7,29.8,23.3,22.2,27,30.7,33.6,37.6,35.4,36.4,39.4,45.5,57.8,65.7,73.9,79.7,88.5,94.1,105.4,99.6,102.5,117.2,121.6,124.9,126.3,131.3,136.9,142.6,148.5,156.5,161.1,166.2,173.4,179.1,188.6,202.9,221.4,235.2,254.3,270.8,287.3,303,323.3,363.2,398,437.6,471,506.6,560.1,628.6,691.9,791,804.5,837.9,909,948.4,978.6,1020.7,1090.8,1191.4,1264.4,1321.3,1364.9,1395.4,1482.9,1524.8,1600.3,1676.1,1736.4,1823.8,1915.9,1982.3
"18","11","    Final sales","A334RC",38.3,34.9,29.7,23.6,23.1,27.7,29.9,33.4,35.7,35.1,36.4,38.2,44.2,56.9,66.4,74.2,80,87.8,96.1,100.8,100.5,100.3,113.3,119.2,124.5,125.7,129.7,135.1,142.4,146.1,155.5,159.5,163.2,170.7,176.1,187.6,199.9,217.8,230.2,249.8,267.6,285.1,297.6,320.6,360.3,394.9,436.4,464.7,493.8,552.5,623.4,695.9,768.5,803.4,846.1,885,930.9,970.2,1016.5,1095.1,1183.8,1257.6,1308,1346.9,1391.4,1456,1525.3,1589.4,1646.3,1707.9,1801.7,1896.5,1977.6
