"","Table 8#23# Relation of Nonfarm Proprietors' Income in the Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2002 9:37:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,"2001"
"8","1","Net profit (less loss) of nonfarm proprietorships and partnerships, plus payments to partners, IRS","B1200C",28.2,27.2,28.5,29.6,30.3,32.8,34.9,37.1,38.9,41.1,41.9,41.5,42.6,45.4,48.3,49.4,49.1,56.8,65,70.2,74.7,67.3,55.9,49,63.5,75.2,78.2,80.7,90.2,124.3,130,140.3,146.7,184.4,209.6,231.8,247.3,287.1,311.3,335.6,369.9,392.2,"....."
"9","2","Plus: Adjustments for misreporting on income tax returns","B2636C",9.4,10,10.9,11.9,12.5,13.7,14.3,15.5,16.4,18.1,19.1,20.5,24.1,28.9,32.5,38.5,43.2,53.2,59.6,71.8,79.5,87.6,88.2,97.9,106.7,132.3,143.7,146.3,143.1,146.8,156,164.3,163.7,171.9,185.7,199.1,213.7,224.4,231.8,252.4,278.5,303.5,"....."
"10","3","      Posttabulation amendments and revisions \1\","B1201C",1.5,1.5,1.4,1.4,1.3,1.5,1.5,1.6,1.7,2.5,2.7,2.8,4,3.5,3.6,3,3.7,3.4,2.6,2.2,1.1,2.1,3.3,-1.8,-4.2,-12.1,-14.8,-14.4,2.7,1.6,1.2,10.2,16.4,9.8,-1.6,-19.1,-24,-48.1,-51.8,-57.8,-74.5,-89,"....."
