"","Table 6#3A# Wage and Salary Accruals by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 8:01:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
"8","    Wage and salary accruals","1","A034RC0A",50460,46214,39157,30514,29027,33734,36722,41954,46139,43013,45985,49860,62085,82098,105786,116749,117493,112005,123097,135537
"9","Domestic industries","2","A4102C0A",50459,46213,39156,30513,29026,33733,36721,41953,46138,43012,45983,49857,62079,82088,105802,116800,117557,112045,123028,135451
"10","  Private industries","3","A4103C0A",45498,41034,33872,25521,23863,27636,30194,34058,38614,34754,37742,41393,51889,66112,79185,83832,82655,91345,105515,116444
"11","    Agriculture, forestry, and fisheries","4","A4104C0A",1414,1286,1017,752,691,751,860,950,1099,1079,1090,1132,1364,1779,2187,2392,2503,2766,3046,3291
"12","      Farms","5","B4105C0A",1300,1177,914,669,617,679,775,868,988,979,988,1029,1249,1631,2027,2202,2299,2532,2783,2990
"13","      Agricultural services, forestry, and fisheries","6","B4106C0A",114,109,103,83,74,72,85,82,111,100,102,103,115,148,160,190,204,234,263,301
"14","    Mining","7","A4107C0A",1515,1327,993,683,686,911,969,1133,1305,1101,1137,1287,1540,1769,1983,2197,2173,2368,2904,3323
"15","      Metal mining","8","B4108C0A",200,166,102,53,52,68,88,127,194,138,156,190,232,270,308,263,227,232,295,334
"16","      Anthracite mining","9","B4192C0A",261,252,205,151,132,159,140,138,136,117,124,118,135,156,178,202,196,237,250,1806
"17","      Bituminous and other soft coal mining","10","B4109C0A",609,506,380,259,279,388,424,504,550,437,456,542,678,823,918,1052,1020,1065,1378,-2
"18","      Crude petroleum and natural gas","11","B4110C0A",321,293,223,168,177,240,257,287,333,333,315,336,363,355,407,515,569,623,729,900
"19","      Nonmetallic mining and quarrying","12","B4111C0A",124,110,83,52,46,56,60,77,92,76,86,101,132,165,172,165,161,211,252,283
"20","    Contract construction","13","B4112C0A",2484,2085,1477,823,611,759,889,1300,1383,1259,1546,1709,2900,4670,3919,2888,2951,4412,5833,7120
"21","    Manufacturing","14","A4113C0A",16092,13850,10810,7678,7827,9643,10829,12410,14571,11837,13585,15584,21714,30922,40883,42913,38229,36476,42461,46416
"22","      Durable goods","15","A4114C0A",8538,6935,4864,3069,3145,4201,4982,6135,7650,5575,6818,8418,12875,20276,28605,29746,24406,20244,24017,26246
"23","        Lumber and basic timber products","16","B4115C0A",708,542,306,177,199,253,300,378,442,374,412,467,625,763,846,874,848,1048,1346,2942
"24","        Furniture and finished lumber products","17","B4116C0A",611,486,384,251,251,274,325,391,447,377,437,470,600,672,734,768,799,1063,1322,-3
"25","        Stone, clay, and glass products","18","B4117C0A",618,526,384,238,227,285,329,400,483,404,466,514,673,772,836,839,857,1128,1343,1529
"26","        Iron and steel and their products, including ordnance","19","B4118C0A",2117,1791,1208,717,804,1069,1290,1659,2095,1394,1789,2187,3156,4475,6488,6740,5784,4502,5702,11029
"27","        Nonferrous metals and their products","20","B4119C0A",541,418,323,206,206,266,318,377,467,359,432,523,748,1028,1311,1340,1250,1353,1430,-4
"28","        Machinery, except electrical","21","B4120C0A",1396,1173,774,489,494,679,822,1029,1339,960,1111,1436,2331,3585,4162,4180,3900,3987,4817,5355
"29","        Electric and electronic equipment","22","B4121C0A",859,713,485,286,302,409,461,569,745,539,637,768,1165,1731,2367,2673,2390,2215,2669,2801
"30","        Motor vehicles and equipment","23","B4122C0A",979,633,512,369,351,569,691,787,970,600,823,1050,1469,1656,968,1058,914,1877,2354,2590
"31","        Other transportation equipment","24","B4123C0A",262,254,167,117,93,133,145,205,276,224,310,531,1458,4713,9753,10121,6490,1762,1610,-4
"32","        Miscellaneous manufacturing, including instruments and miscellaneous plastic products","25","B4125C0A",447,399,321,219,218,264,301,340,386,344,401,472,650,881,1140,1153,1174,1309,1424,-4
"33","      Nondurable goods","26","A4126C0A",7554,6915,5946,4609,4682,5442,5847,6275,6921,6262,6767,7166,8839,10646,12278,13167,13823,16232,18444,20170
"34","        Food and kindred products","27","B4127C0A",1565,1519,1326,1096,1131,1325,1386,1492,1652,1552,1612,1694,1918,2285,2639,2946,3105,3578,4080,4375
"35","        Tobacco manufactures","28","B4128C0A",142,131,109,85,74,84,84,89,98,94,98,104,115,119,146,158,171,185,195,202
"36","        Textile mill products","29","B4129C0A",1458,1200,1065,768,896,1006,1108,1159,1255,1011,1167,1206,1603,1923,2055,2046,2113,2700,3103,3530
"37","        Apparel and other textile products","30","B4130C0A",1051,913,781,558,569,690,780,840,864,806,926,938,1209,1436,1711,1876,1984,2448,2625,2869
"38","        Paper and allied products","31","B4131C0A",430,412,351,273,279,332,357,394,456,409,444,490,622,703,816,879,932,1138,1346,1501
