"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2003  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:43:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,"2002"
"8","1","    Current receipts","A100RC",7,7.2,7.1,6.7,6.6,8,8.6,8.1,8.4,8.6,8.9,9.2,9.6,9.8,10.1,10.3,10.7,12,14.3,16.2,17.7,19.3,21.2,22.9,24.6,25.9,28.1,31,33.6,35.6,38.9,42.4,45.9,49.7,53.4,58.4,63.3,71.5,78.9,89.5,100.7,114.6,129.3,152.3,166.6,178.5,199.6,224.5,249.5,274.3,290.8,316.6,344.4,360.3,392.1,436.4,469.2,507.9,536,573.7,618.9,663.4,716,772.2,823.2,873.8,917.9,960.4,1011.3,1074.4,1144.1,1214.2,1261.3,"....."
"9","2","Personal tax and nontax receipts","A101RC",0.9,0.8,0.7,0.7,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.5,1.7,1.8,2.1,2.2,2.4,2.6,2.9,3.2,3.5,3.7,4.2,4.7,5.1,5.7,6.1,6.8,7.3,8.7,9.7,11.8,14.1,15.7,17.5,22.8,24.7,26.7,29.5,34.1,38.8,44.3,48.4,53.9,60.6,65.9,73.7,84.8,91.3,98.6,108.5,114,128.9,136,145.3,156.4,164.7,174.8,186.5,199.6,216.9,235.5,255.8,277.5,281.2,"267.8"
"10","3","  Income taxes","B245RC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1.1,1.3,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.4,4,4.4,5.4,6.1,7.8,9.8,10.9,12.4,17.2,18.9,20.4,22.5,26.3,30.4,35,38.2,42.6,47.9,51.9,58.3,67.5,72.1,77.4,86,89.8,102.6,107.7,112.6,119.6,126,133.4,142.5,152.9,167.6,182.7,199.7,218.1,218.7,"202.0"
"11","4","  Nontaxes","B246RC",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.4,0.5,0.6,0.7,0.6,0.7,0.7,0.9,1.1,1.2,1.3,1.4,1.6,1.9,1.9,2.2,2.6,3.1,3.5,3.9,4.4,5,6,6.8,7.6,8.7,9.9,11.4,11.9,12.7,14.1,15.6,19.2,22.5,23.4,25,27.1,29.2,31.1,33.7,36.1,39,41.9,"45.1"
"12","5","  Other","B247RC",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.6,1.7,1.8,1.8,2,2.1,2.2,2.4,2.5,2.7,3,3.3,3.5,3.7,4,4.2,4.4,4.8,5,5.5,5.8,6.3,6.7,7.3,7.8,8.6,9.2,9.8,10.6,11.4,12.2,12.8,13.4,14.3,15.3,16.4,17,17.5,18.2,19.2,20,20.4,20.6,"20.7"
"13","6","Corporate profits tax accruals","B102RC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.2,34.6,34.8,35.6,29.1,"....."
"14","7","Indirect business tax and nontax accruals","A103RC",5.9,6.2,6,5.9,5.5,5.7,6,6.4,6.8,7,7.1,7.4,7.8,7.8,7.8,8,8.4,9.3,10.7,12.2,13.3,14.6,15.9,17.4,18.8,19.9,21.6,23.8,25.7,27.2,29.3,32,34.4,37,39.4,42.6,46.1,49.7,53.9,60.8,67.4,74.8,83.1,91.2,99.5,107.2,115.8,127.8,139.9,148.9,158.6,172.3,192,206.8,226.8,251.5,272,293.1,312.4,333.7,358.5,383.4,403.8,429.2,454.8,480.1,501.6,524.9,552.5,583.9,612.7,644.5,664.4,"689.8"
"15","8","  Sales taxes","B248RC",0.4,0.5,0.6,0.6,0.7,0.9,1.2,1.4,1.5,1.6,1.7,1.8,2.1,2,2,2,2.3,2.9,3.5,4.1,4.3,4.8,5.4,5.8,6.3,6.5,7.1,8,8.6,10,11.1,12.2,13,14,15,16.5,18.2,20,21.4,25.1,28.6,31.6,35.4,39.8,44.1,48.2,51.7,57.8,64,71,77.3,82.9,90.7,96.2,107.7,121,131.1,139.9,150.3,161.5,172.7,183.2,190,202.2,216,230.9,243.6,255.6,269.3,284.2,300.6,314.3,321.2,"333.6"
"16","9","  Property taxes","B249RC",4.5,4.7,4.5,4.4,4,3.9,4,4.1,4.2,4.3,4.3,4.4,4.4,4.4,4.5,4.6,4.6,4.8,5.3,5.9,6.6,7.1,7.7,8.4,9.1,9.7,10.4,11.5,12.6,13.8,14.8,16.2,17.6,19,20.2,21.7,23.2,24.5,27,29.9,32.8,36.7,40.4,43.2,46.4,49,53.4,58.2,63.2,63.7,64.4,68.8,77.1,85.3,91.9,99.7,107.5,116.2,126.4,136.8,148.7,161.1,172.8,182.8,191.1,197.6,203.5,211.4,220.3,230.3,239.2,248.1,257.4,"267.8"
