"","Table 5#9# Real Private Fixed Investment In Equipment and Softwa","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:48:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Private fixed investment in equipment and software","A327RX",366,393.2,420.3,421.8,413.1,443.5,493.6,551.8,614.9,682.1,772,883.7,984.8,1065.4,997.6
"9","2","Nonresidential equipment and software","B010RX",360,386.9,414,415.7,407.2,437.5,487.1,544.9,607.6,674.4,764.2,875.4,975.9,1056,988.2
"10","3","  Information processing equipment and software","A679RX",105.1,116.4,131.3,136.4,142.7,163,183.4,206.6,242.8,287.3,349.8,429.3,508.1,583.3,548.5
"11","4","    Computers and peripheral equipment \1\","B935RX",10.3,11.8,14.4,14.2,15.4,20.8,26.4,32.6,49.2,70.9,102.9,147.7,207.4,246.4,239.9
"12","5","    Software \2\","B985RX",27.9,32.4,40.1,45.9,51.4,58.7,66.8,74.3,82,95.1,119,147.1,169.3,184.4,182
"13","6","    Communication equipment","C275RX",38.2,42.4,42.4,43,41.2,43.4,44.3,51.3,58.5,65.6,74.5,85.6,102.5,132.1,105.8
