"","Table 8#27# Relation of Wages and Salaries in the National Incom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1982 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 9:02:48 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,"2001"
"8","1","Total wages and salaries, BLS \1\","BA06RC",1479.2,1563.5,1718,1848,1961.5,2107.9,2280.6,2415.1,2564.5,2627,2781.7,2884.5,3033.7,3215.9,3414.7,3674,3971,4238.9,4591.9,"....."
"9","2","Plus: Adjustment for misreporting on employment tax returns \2\","BA07RC",31.7,34,38.3,42.9,45.9,51,54.5,58.9,62.3,63.5,67.2,69.3,73.3,78.1,83.5,90,97,103.8,112.9,"....."
"10","3","      Adjustment for thrift savings plans \3\","BA08RC",3.7,6.6,11.4,14.3,14.1,13.3,12.3,12.7,12.3,12.1,11.9,9.5,7.5,5.3,3.1,1.5,0,0,0,"....."
"11","4","      Adjustment for selected industries \4\","BA09RC",76.2,77,82.1,84.6,87.7,90.9,97.6,101.4,106.5,112,111.4,111.9,112.8,114.6,113.6,114.5,118.6,122.6,126.3,"....."
"12","5","      Other \5\","BA10RC",2.6,3.7,4.8,5.6,5.2,7.1,7.7,8.7,9,9.7,10.3,10,9.4,10.7,11.6,8.9,6.2,5.2,5.3,"....."
"13","6","Equals: Wage and salary disbursements, NIPA's","A576RC",1593.4,1684.7,1854.6,1995.4,2114.4,2270.2,2452.7,2596.8,2754.6,2824.2,2982.6,3085.2,3236.7,3424.7,3626.5,3888.9,4192.8,4470.4,4836.3,"4,950.6"
"14","7","Plus: Wage accruals less disbursements, NIPA's","A062RC",0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,"0.0"
"15","8","Equals: Wage and salary accruals, NIPA's","A034RC",1593.4,1684.3,1854.8,1995.2,2114.4,2270.2,2452.7,2596.8,2754.6,2824.2,2966.8,3091.6,3254.3,3441.1,3630.1,3886,4192.1,4475.6,4836.3,"4,950.6"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17"," 1. Total annual wages of workers covered by State unemployment insurance (UI) laws and by the Unemployment Compensation for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Federal Employees program.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Data for the most recent year are preliminary.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20"," 2. Consists of unreported wages and salaries paid by employers and of unreported tips.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21"," 3. Consists of voluntary contributions by employees.  Prior to 1985, employers were not required to report these contributions.  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","In 1985, reporting requirements were enacted by over one half of the States;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","by 1990, the requirement had been enacted by almost all States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24"," 4. For the following industries, consists of the difference between estimates from more comprehensive source data (excluding the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","adjustments in lines 2 and 3) and BLS wages and salaries:  Agriculture, forestry, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","fishing; railroad transportation; health services; educational services; social services; membership organizations; private ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","households; and the Federal Government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28"," 5. Consists of wages and salaries for insurance agents classifed as statutory employees, for students and their spouses employed ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","by public colleges or universities, for nonprofit organizations not participating in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","UI program (in industries not listed in footnote 4), and of other coverage adjustments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
