"","Table 7#3# Quantity and Price Indexes for Gross National Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2003    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2003 12:07:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","Gross national product:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","  Current dollars","1","A001RT",1.33,1.17,0.98,0.76,0.72,0.85,0.94,1.07,1.18,1.1,1.18,1.3,1.62,2.07,2.54,2.81,2.85,2.85,3.14,3.46,3.43,3.78,4.36,4.61,4.88,4.89,5.33,5.63,5.93,6.01,6.52,6.78,7.01,7.54,7.96,8.55,9.26,10.14,10.72,11.72,12.66,13.36,14.51,15.95,17.85,19.37,21.05,23.51,26.2,29.6,33.19,36.15,40.43,42.08,45.61,50.67,54.12,57.06,60.73,65.47,70.35,74.47,76.75,80.99,85.13,90.29,94.76,100,106.31,112.09,118.72,125.75,129.02,133.27
"10","  Chain-type quantity index","2","B001RA",10.59,9.68,9.05,7.87,7.75,8.57,9.35,10.54,11.11,10.73,11.6,12.57,14.73,17.43,20.28,21.95,21.67,19.29,19.19,20.04,19.91,21.65,23.32,24.25,25.35,25.19,26.98,27.53,28.09,27.79,29.79,30.54,31.27,33.17,34.62,36.63,38.97,41.49,42.53,44.56,45.9,45.98,47.54,50.13,53.13,52.89,52.58,55.57,58.19,61.36,63.51,63.37,64.81,63.51,66.21,70.92,73.44,75.75,78.29,81.61,84.48,86.07,85.6,88.18,90.51,94.04,96.59,100,104.3,108.65,113.44,117.69,117.96,120.46
"11","  Chain-type price index","3","B001RG",12.61,12.12,10.9,9.66,9.42,9.89,10.07,10.19,10.55,10.35,10.21,10.29,10.96,11.86,12.51,12.8,13.15,14.7,16.32,17.26,17.26,17.41,18.59,18.98,19.23,19.44,19.73,20.41,21.12,21.63,21.87,22.18,22.43,22.73,22.99,23.33,23.77,24.45,25.2,26.29,27.58,29.05,30.52,31.81,33.6,36.6,40.03,42.3,45.03,48.24,52.25,57.06,62.38,66.27,68.89,71.45,73.7,75.33,77.58,80.22,83.28,86.54,89.67,91.84,94.06,96.02,98.11,100,101.93,103.17,104.65,106.86,109.39,110.63
"12","  Implicit price deflator","4","A001RD",12.6,12.14,10.87,9.6,9.35,9.87,10.06,10.18,10.61,10.29,10.18,10.33,11.02,11.89,12.52,12.81,13.16,14.76,16.34,17.28,17.25,17.45,18.7,18.99,19.24,19.43,19.77,20.45,21.12,21.63,21.88,22.18,22.43,22.74,22.99,23.34,23.77,24.45,25.21,26.29,27.59,29.05,30.52,31.82,33.6,36.62,40.03,42.31,45.03,48.24,52.26,57.05,62.38,66.26,68.89,71.45,73.7,75.32,77.58,80.22,83.28,86.53,89.67,91.84,94.06,96.02,98.11,100,101.93,103.17,104.65,106.86,109.38,110.63
"13","Less: Exports of goods and services and income receipts from the rest of the world:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
