"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:43:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","      Noncorporate capital consumption allowances","1","A1700C0B",5513,6523,7327,8254,8976,9635,10230,10815,11875,12608,13102,13773,14273,14646,15317,16107,17031,17831,18899,20101,21237,22912,24506,26242,29478,32120,35345,38789,42078,46743,52665,60714,68304,80027,88396,101364,116245,131510,142935,146535
"9","Agriculture, forestry, and fishing","2","A1701C0B",1220,1489,1744,1959,2113,2243,2353,2456,2516,2565,2651,2742,2849,2892,2975,3078,3236,3414,3615,3875,4050,4234,4445,4675,4973,5448,5927,6499,7159,8056,8995,10014,11064,11516,12167,12177,12493,12879,12711,12870
"10","  Farms","3","B1702C0B",1189,1450,1700,1907,2052,2179,2282,2370,2422,2461,2522,2625,2714,2764,2842,2950,3071,3235,3449,3665,3860,4028,4211,4425,4683,5146,5616,6215,6748,7592,8426,9392,10240,10757,11082,11108,11272,11341,11209,11166
"11","  Agricultural services, forestry, and fishing","4","B1703C0B",31,39,44,52,61,64,71,86,94,104,129,117,135,128,133,128,165,179,166,210,190,206,234,250,290,302,311,285,411,464,570,622,824,759,1085,1069,1221,1538,1502,1704
"12","Mining","5","B1704C0B",165,166,182,214,223,246,266,306,357,317,344,267,345,323,300,294,298,303,312,376,377,400,431,439,515,498,567,740,978,1258,1535,1994,2777,4186,5840,7186,7604,8551,9507,9823
"13","Construction","6","B1705C0B",225,282,331,378,422,454,484,563,634,627,648,677,641,577,571,598,602,632,668,679,714,755,775,795,904,1068,1211,1333,1366,1522,1751,1977,2065,2252,2614,2798,3112,3616,4583,4190
"14","Manufacturing","7","A1706C0B",278,324,340,384,393,407,385,422,426,450,416,426,410,371,357,367,385,399,399,416,445,430,517,518,583,582,668,688,750,777,961,1110,1542,1514,1502,1935,2498,3005,3136,3217
"15","  Durable goods","8","B1707C0B",142,171,187,221,230,239,226,253,253,286,235,277,261,229,219,236,250,273,282,292,292,294,352,356,383,401,473,478,504,530,642,723,910,860,844,1193,1553,1930,1669,1837
"16","  Nondurable goods","9","B1708C0B",136,153,153,163,163,168,159,169,173,164,181,149,149,142,138,131,135,126,117,124,153,136,165,162,200,181,194,210,246,247,319,387,632,654,657,742,945,1075,1467,1380
"17","Transportation and public utilities","10","A1709C0B",265,303,314,344,352,362,353,412,494,571,587,551,554,557,567,663,656,729,730,748,837,879,978,1040,1224,1367,1587,1717,1840,2209,2672,3220,3451,3660,4095,4437,5332,6353,7825,8978
"18","  Transportation","11","B1710C0B",225,256,259,282,282,286,270,324,399,467,483,438,436,436,439,521,502,568,557,553,627,638,702,716,855,968,1144,1186,1172,1407,1777,2165,2258,2363,2565,2802,2959,3298,3761,3855
"19","  Communication","12","B1711C0B",6,7,9,12,15,17,18,18,19,21,20,38,38,36,38,44,49,50,53,34,30,32,35,44,52,56,70,73,122,144,172,190,221,251,436,498,930,1360,1863,2835
"20","  Electric, gas, and sanitary services","13","B1712C0B",34,41,45,50,56,60,65,70,76,83,85,75,80,85,90,98,105,111,120,161,181,209,241,281,317,342,373,458,547,657,723,865,972,1046,1093,1137,1443,1695,2201,2287
"21","Wholesale trade","14","B1713C0B",287,267,309,379,383,403,374,421,470,519,497,534,539,508,511,505,500,437,458,472,433,465,466,520,567,593,640,647,679,639,716,782,797,757,931,1044,989,1058,987,1103
"22","Retail trade","15","B1714C0B",650,916,982,1038,1219,1308,1255,1172,1305,1346,1357,1435,1443,1344,1355,1342,1375,1286,1316,1328,1380,1437,1457,1498,1572,1689,1713,1820,1964,2160,2467,2881,2981,3825,4229,4609,4983,5843,5244,5637
"23","Finance, insurance, and real estate","16","A1715C0B",1787,2029,2335,2693,2970,3350,3645,4024,4392,4829,5173,5639,6007,6524,7050,7567,8219,8824,9504,10117,10820,11903,12840,14015,16072,17457,19328,20995,22693,24847,27592,31771,35654,41674,44765,52301,60864,68842,76476,78359
"24","  Finance and insurance","17","B1716C0B",24,32,39,48,54,61,66,86,84,100,98,104,98,107,103,108,111,107,120,119,125,143,146,153,150,164,268,336,323,438,442,805,792,1587,2037,2335,2484,2664,2816,2147
"25","  Real estate","18","A1717C0B",1763,1997,2296,2645,2916,3289,3579,3938,4308,4729,5075,5535,5909,6417,6946,7459,8107,8717,9384,9998,10695,11760,12694,13862,15922,17293,19060,20660,22370,24409,27150,30965,34863,40087,42729,49966,58380,66177,73661,76212
"26","    Owner-occupied nonfarm housing","19","B1718C0B",943,1104,1286,1489,1686,1888,2101,2345,2605,2851,3081,3335,3490,3637,3777,4065,4366,4665,4897,5181,5487,5812,6164,6627,7588,7852,8335,8807,9588,10600,11825,13342,14534,15764,17036,18417,19931,22213,23801,26012
"27","    Other","20","B1719C0B",820,892,1009,1155,1230,1401,1478,1593,1703,1878,1993,2200,2418,2781,3170,3394,3741,4051,4487,4817,5208,5948,6530,7235,8334,9441,10725,11852,12782,13809,15325,17623,20329,24323,25692,31549,38449,43965,49860,50199
"28","Services","21","B1720C0B",637,747,791,865,901,861,1114,1039,1280,1384,1429,1503,1485,1551,1630,1693,1761,1806,1897,2090,2179,2409,2597,2741,3069,3419,3705,4350,4650,5275,5975,6966,7972,10642,12251,14877,18369,21364,22465,22359
"29","  Hotels and other lodging places","22","B2616C0B",113,139,153,170,177,168,216,199,228,281,280,257,254,277,290,304,312,310,318,353,353,383,430,460,493,516,586,673,689,729,920,1126,1150,1573,1812,2291,2856,3737,4078,4640
