"","Table 6#22A# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:45:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","    Corporate capital consumption allowances","1","A677RC0A",4577,4623,4559,4155,3927,3792,3793,3811,3859,3879,3942,4043,4510,5371,5781,6571,6875,5151,6325
"9","Agriculture, forestry, and fisheries","2","A1722C0A",34,36,34,33,29,31,30,34,33,29,28,28,29,28,31,30,30,25,32
"10","  Farms","3","B1723C0A",22,25,24,25,22,23,22,25,25,22,20,22,23,22,25,24,24,18,23
"11","  Agricultural services, forestry, and fisheries","4","B1724C0A",12,11,10,8,7,8,8,9,8,7,8,6,6,6,6,6,6,7,9
"12","Mining","5","A1725C0A",290,249,255,222,222,262,249,247,251,249,240,246,268,254,222,232,235,225,271
"13","  Metal mining","6","B1726C0A",51,43,35,26,25,20,26,32,36,31,35,37,44,51,34,41,37,19,19
"14","  Anthracite mining","7","B1793C0A",19,12,14,13,12,10,9,9,8,10,7,6,6,9,7,8,9,8,9
"15","  Bituminous and other soft coal mining","8","B1727C0A",51,47,44,41,38,43,40,39,39,38,37,40,41,41,41,43,46,49,58
"16","  Crude petroleum and natural gas","9","B1728C0A",140,118,135,118,125,167,155,149,151,154,145,148,160,136,121,122,125,123,153
"17","  Nonmetallic mining and quarrying","10","B1729C0A",29,29,27,24,22,22,19,18,17,16,16,15,17,17,19,18,18,26,32
"18","Contract construction","11","B1730C0A",71,74,67,56,44,40,40,42,45,38,42,40,45,50,46,41,39,56,96
"19","Manufacturing","12","B1731C0A",1884,1959,1854,1699,1639,1408,1386,1424,1498,1531,1570,1665,1891,2430,2827,3310,3346,2242,2726
"20","  Durable goods","13","A1732C0A",813,830,754,668,635,585,584,587,625,591,613,692,851,1191,1445,1631,1535,948,1192
"21","    Lumber and basic timber products","14","B1733C0A",54,49,37,28,29,25,25,27,30,27,29,29,33,36,37,37,33,36,55
"22","    Furniture and finished lumber products","15","B1734C0A",27,26,25,22,21,18,17,20,18,21,21,23,22,22,23,23,25,30,39
"23","    Stone, clay, and glass products","16","B1735C0A",77,82,78,72,65,63,60,54,62,63,64,65,66,64,67,67,65,64,80
"24","    Iron and steel and their products, including ordnance","17","B1736C0A",249,248,228,200,201,171,173,196,203,188,208,232,283,449,549,658,590,321,382
"25","    Nonferrous metals and their products","18","B1737C0A",53,57,51,46,45,45,46,49,57,33,33,34,54,85,132,149,140,58,71
"26","    Machinery, except electrical","19","B1738C0A",110,114,104,92,88,85,83,86,92,98,100,105,136,182,206,217,217,160,207
"27","    Electric and electronic equipment","20","B1739C0A",43,44,38,37,32,43,37,39,42,50,48,52,66,91,105,134,114,77,100
"28","    Motor vehicles and equipment","21","B1740C0A",134,136,122,105,91,83,89,64,64,66,59,93,106,108,138,142,141,123,158
"29","    Other transportation equipment","22","B1741C0A",20,29,27,25,24,19,23,25,29,24,31,37,60,125,150,163,169,39,47
"30","    Miscellaneous manufacturing, including instruments and miscellaneous plastic products","23","B1743C0A",46,45,44,41,39,33,31,27,28,21,20,22,25,29,38,41,41,40,53
"31","  Nondurable goods","24","A1744C0A",1071,1129,1100,1031,1004,823,802,837,873,940,957,973,1040,1239,1382,1679,1811,1294,1534
"32","    Food and kindred products","25","B1745C0A",213,222,210,201,196,176,170,176,183,193,190,190,194,210,210,219,221,250,308
"33","    Tobacco manufactures","26","B1746C0A",11,8,9,9,7,11,6,8,8,8,8,8,8,8,7,8,8,7,9
"34","    Textile mill products","27","B1747C0A",141,136,136,119,124,114,110,105,102,93,93,90,96,108,109,107,106,111,131
"35","    Apparel and other textile products","28","B1748C0A",15,13,14,12,12,10,10,10,10,12,11,11,13,15,14,15,17,23,31
"36","    Paper and allied products","29","B1749C0A",65,66,68,65,65,62,60,61,64,64,66,68,74,84,87,88,90,86,100
"37","    Printing and publishing","30","B1750C0A",66,65,70,60,56,50,49,48,48,48,48,47,47,48,48,46,46,50,63
"38","    Chemicals and allied products","31","B1751C0A",103,108,106,105,95,91,90,96,105,123,126,134,160,208,259,296,339,183,228
"39","    Petroleum and coal products","32","B1752C0A",402,454,431,413,400,268,274,301,320,365,374,384,405,510,593,831,850,526,592
"40","    Rubber products","33","B1753C0A",37,40,40,33,34,29,21,20,21,22,29,29,31,36,43,58,123,42,53
"41","    Leather and leather products","34","B1754C0A",18,17,16,14,15,12,12,12,12,12,12,12,12,12,12,11,11,16,19
"42","Transportation and public utilities","35","A1755C0A",1432,1401,1436,1287,1196,1208,1248,1199,1172,1142,1189,1164,1353,1719,1796,2119,2398,1630,1951
"43","  Transportation","36","A1756C0A",857,754,724,571,521,591,583,532,501,466,518,507,679,997,1037,1301,1553,930,1179
"44","    Railroad transportation","37","B1757C0A",590,504,474,338,309,324,327,283,273,231,293,276,419,637,749,1031,1285,673,826
"45","    Local and interurban passenger transit","38","B1758C0A",115,108,106,103,90,118,113,112,99,84,78,80,84,83,89,95,93,83,100
"46","    Trucking and warehousing","39","B1759C0A",37,37,39,34,31,31,32,32,34,48,47,46,53,52,53,51,51,58,85
"47","    Water transportation","40","B1760C0A",52,47,48,46,45,62,57,53,46,42,41,40,52,163,81,55,51,34,51
"48","    Transportation by air","41","B1761C0A",9,11,13,12,9,8,8,9,8,10,11,15,20,15,12,14,23,45,71
"49","    Pipelines, except natural gas","42","B1762C0A",40,33,29,24,24,35,34,30,28,33,30,32,32,28,34,35,28,20,27
"50","    Transportation services","43","B1763C0A",14,14,15,14,13,13,12,13,13,18,18,18,19,19,19,20,22,17,19
"51","  Communication","44","A1764C0A",224,254,269,255,239,213,216,214,211,210,209,195,201,236,249,253,258,238,273
"52","    Telephone and telegraph","45","B1765C0A",218,244,256,242,226,207,210,206,205,203,203,189,195,228,242,246,251,238,265
"53","    Radio and television broadcasting","46","B1766C0A",6,10,13,13,13,6,6,8,6,7,6,6,6,8,7,7,7,0,8
"54","  Electric, gas, and sanitaryrvices","47","B1767C0A",351,393,443,461,436,404,449,453,460,466,462,462,473,486,510,565,587,462,499
"55","    Utilities: electric and gas","48","B1794C0A",337,380,426,438,415,387,433,437,444,449,447,446,458,473,499,554,574,449,484
"56","    Local utilities and public services, n.e.c.","49","B1795C0A",14,13,17,23,21,17,16,16,16,17,15,16,15,13,11,11,13,13,15
"57","Wholesale trade","50","B1768C0A",103,107,102,88,79,96,98,101,83,85,79,80,89,90,85,85,82,112,179
"58","Retail trade and automobile services","51","B1769C0A",224,228,234,213,195,192,188,194,220,220,226,229,241,244,233,220,213,271,394
"59","Finance, insurance, and real estate","52","A1770C0A",396,429,443,427,410,440,438,451,429,442,427,448,448,402,394,393,391,419,456
