"","Table 4#4# Real Exports and Imports of Goods and Services by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 25, 2003    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/24/2003 2:20:15 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    Exports of goods and services","A020RX",408,473.5,529.4,575.7,613.2,651,672.7,732.8,808.2,874.2,981.5,1002.4,1036.3,1137.2,1076.1,1058.8
"9","2","Exports of goods \1\","A253RX",271.4,322.6,363.2,393.2,421.1,449.8,463.4,508.2,568.8,618.4,708.1,722.9,750,834.7,785.2,756.9
"10","3","  Foods, feeds, and beverages","B638RX",37.4,41.1,44.2,44.4,45.2,51.2,51,50.9,56.4,55.5,55.6,55.1,57.2,60.5,62.3,60.9
"11","4","  Industrial supplies and materials","A639RX",84.3,95,107.3,111.7,119.6,121.6,118.3,125.1,134.7,141.1,153.2,151.6,153.3,168.7,162.2,162.8
"12","5","    Durable goods","B686RX",27.6,33.7,40,40.9,43,41.9,40.3,42.7,48.1,51,55.6,56.5,58.6,67.5,61.7,60.5
"13","6","    Nondurable goods","B687RX",56.5,61.3,67.4,70.9,76.6,79.7,78.1,82.4,86.6,90.1,97.6,95.1,94.7,101.3,100.4,102.2
"14","7","  Capital goods, except automotive","A640RX",73.5,93.4,109.8,124.8,136.9,149.4,158.9,183.5,218.6,253.3,311.1,324.3,342.1,394.7,355.8,324.8
"15","8","    Civilian aircraft, engines, and parts","B688RX",23.7,29.7,35.6,40.9,42.9,42.9,36.2,33.9,27.2,30.8,40,51.1,49.4,43.2,44.8,42.2
"16","9","    Computers, peripherals, and parts \*\","B850RX",6.8,9.2,10.3,12.3,14.4,17.1,20,24.9,33.3,43.7,57.4,59.9,68.3,85.3,75.4,64.4
"17","10","    Other","B689RX",47.8,59.6,70.7,79.1,86.6,95.3,106.2,126.9,158.5,178.7,213.8,212.5,225.3,271.5,238.6,219.1
"18","11","  Automotive vehicles, engines, and parts","B641RX",32.3,38.4,39.2,39.8,42.5,49,54.3,59.1,62.5,65,73.4,71.7,74.1,78.5,73.4,76.1
"19","12","  Consumer goods, except automotive","A642RX",24.9,31.8,42.5,48.1,49.9,53.6,56.3,61.6,65.3,70.1,76.8,79.7,80.6,88.7,87.9,84.6
"20","13","    Durable goods","B690RX",11.2,15.2,22.5,25.3,25.6,27.3,29.1,31.2,33.2,35.7,39.4,41.3,41.8,46.4,46,43.9
"21","14","    Nondurable goods","B691RX",13.8,16.7,19.9,22.7,24.3,26.3,27.2,30.4,32.1,34.3,37.4,38.4,38.8,42.2,41.9,40.7
"22","15","  Other","A643RX",30.9,33.4,30,32.4,34.2,31.5,29.2,30.3,32,33.5,38.1,40.9,43.3,44.8,44.5,47.3
"23","16","Exports of services \1\","A646RX",139.1,152,166.7,183.5,192.9,201.7,209.9,225.1,239.5,255.8,273.6,279.8,286.8,304.1,292,301.5
"24","17","  Transfers under U.S. military agency sales contracts","B267RX",13.2,11.2,10.2,11.5,11.6,12.1,12.5,12.1,13.7,14.6,16.4,17.3,14.8,12.9,11.5,11.8
"25","18","  Travel","B493RX",30,36.2,43.3,48.9,51.8,57.4,60.2,60.5,64.9,69.8,71.8,68.9,70.4,74,65.5,64.4
"26","19","  Passenger fares","B533RX",10.2,12.3,14.2,19.1,18,18.3,17.9,18,18.9,20.4,21.6,21.1,19.3,19.8,17,16.1
"27","20","  Other transportation","B683RX",20.7,23.5,23.8,23.9,24,22.8,22.9,24.8,26.8,26.1,26.9,26.4,27.6,28,26.6,26.4
"28","21","  Royalties and license fees","B684RX",13.5,15.5,16.9,19.5,20.1,22.9,23.2,28,31,32.5,33.1,34.7,35.4,37,35.6,37.8
"29","22","  Other private services","B720RX",36.1,37.3,42.6,44.8,51.4,52.3,55.3,62.3,64.5,72.4,83.9,91.4,102.4,111.5,119.1,126.8
"30","23","  Other","B980RX",15.2,15.8,15.5,16.1,16,16,17.9,19.5,19.7,20,20,20.1,17.6,21.5,19.3,21.2
"31","24","Residual","A977RX",-18.9,-16.6,-16.9,-16.8,-15,-13,-8.8,-5.1,-1.2,0.1,-0.5,0,-2.7,-8.7,-7.5,-3
"32","25","    Imports of goods and services","A021RX",564.2,585.6,608.8,632.2,629,670.8,731.8,819.4,886.6,963.1,1094.8,1223.5,1356.8,1536,1492,1547.4
"33","26","Imports of goods \1\","A255RX",445.8,463.9,483.4,497.9,497.6,543.7,598.4,677.9,739.1,808.3,923.1,1031.4,1157.5,1313.7,1270.5,1320.1
"34","27","  Foods, feeds, and beverages","B647RX",29.8,28.6,29.2,30.4,29,30.6,31,31.8,32.5,35.7,39.3,42.2,46.1,49.4,51.7,54.6
"35","28","  Industrial supplies and materials, except petroleum and products","A649RX",83.4,84.3,82.3,83.6,82.1,90.2,98.2,112.6,118.3,125.2,135.5,150.1,156.5,167.1,160.9,166.7
