"","Table 6#6B# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/24/2003 2:25:18 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Wage and salary accruals per full-time equivalent employee","A4401C0B",2822,2881,3034,3266,3458,3643,3737,3929,4141,4306,4475,4675,4822,4966,5158,5344,5610,5807,6058,6309,6755,7226,7743,8250,8788,9320,10009,10808,11576,12360,13263,14381,15790,17243,18482,19410,20337,21293,22160,23123
"9","2","Domestic industries","A4402C0B",2821,2878,3032,3262,3454,3638,3729,3920,4132,4297,4466,4665,4812,4958,5151,5339,5605,5805,6056,6307,6753,7224,7740,8247,8786,9317,10007,10805,11573,12358,13260,14378,15787,17233,18470,19396,20323,21279,22163,23122
"10","3","  Private industries","A4403C0B",2821,2877,3030,3286,3484,3686,3772,3957,4173,4343,4486,4714,4855,5002,5202,5380,5647,5837,6098,6342,6772,7237,7679,8144,8634,9154,9867,10655,11430,12222,13150,14310,15730,17135,18348,19211,20093,21021,21898,22829
"11","4","    Agriculture, forestry, and fishing","A4404C0B",1595,1564,1531,1656,1697,1688,1607,1640,1734,1811,1854,1905,2010,2106,2239,2374,2641,2907,3186,3405,3639,3992,4196,4280,4460,4995,5380,5789,6153,6746,7511,8169,8540,8887,10152,9556,10562,11847,12098,12252
"12","5","      Farms","B4405C0B",1541,1501,1454,1568,1594,1564,1464,1498,1578,1657,1690,1742,1848,1929,2044,2166,2413,2661,2923,3136,3327,3646,3787,3783,3900,4391,4776,5073,5416,6021,6687,7265,7365,7478,8942,7965,8836,10337,10216,10156
"13","6","      Agricultural services, forestry, and fishing","B4406C0B",2379,2450,2642,2797,2959,3229,3407,3371,3503,3538,3766,3800,3735,3870,4000,4123,4267,4422,4621,4699,5051,5467,5979,6401,6674,7164,7599,8653,8877,9115,9655,10319,11289,11885,12621,12875,13575,13945,14422,14598
"14","7","    Mining","A4407C0B",3396,3215,3465,3889,4067,4374,4402,4721,5033,5235,5252,5573,5725,5900,6095,6324,6624,6904,7253,7672,8117,8799,9457,10038,10861,11701,12950,14728,15962,17356,19078,21027,23476,26298,28340,29660,30925,32202,33470,34210
"15","8","      Metal mining","B4408C0B",3340,3436,3625,4127,4592,4953,4703,5057,5375,5487,5478,5880,6116,6303,6524,6630,6975,7176,7398,7663,8169,8582,9095,9652,10674,11500,12458,14161,15688,16891,19022,21350,23960,26738,28767,29895,30618,32261,32310,32750
"16","9","      Coal mining","B4409C0B",3388,2922,3245,3762,3718,4061,3959,4470,4858,5086,4809,5274,5367,5357,5507,5786,6162,6543,7000,7401,7740,8752,9790,10331,11323,12335,13580,15924,17018,18292,20169,22394,24500,27361,29101,30788,33174,33935,35122,36522
"17","10","      Oil and gas extraction","B4410C0B",3608,3751,3873,4115,4426,4622,4753,4924,5187,5422,5588,5805,5941,6206,6384,6650,6883,7139,7482,8007,8485,9109,9720,10332,11000,11820,13284,14981,16212,17726,19330,21139,23911,26794,29003,30427,31325,32847,34560,34992
"18","11","      Nonmetallic minerals, except fuels","B4411C0B",2918,3010,3283,3579,3835,4081,4191,4374,4664,4785,4974,5218,5393,5539,5816,5982,6307,6580,6908,7222,7643,8274,8726,9295,10018,10702,11564,12287,13368,14626,16109,17581,19041,20845,22093,23163,24748,25787,26794,28620
"19","12","    Construction","B4412C0B",3125,3229,3377,3774,4086,4354,4484,4607,4914,5120,5305,5498,5750,5938,6174,6364,6709,6921,7363,7738,8332,9049,9810,10473,10747,11251,12192,13447,14242,14639,15396,16784,18577,20361,21879,21995,22111,22836,23655,24749
"20","13","    Manufacturing","A4413C0B",3037,3107,3330,3652,3894,4133,4224,4481,4739,4928,5148,5413,5545,5701,5916,6111,6417,6564,6801,7044,7534,7970,8378,8883,9450,10027,10843,11899,12835,13859,14936,16263,17978,19628,21117,22307,23543,24945,26003,26732
"21","14","      Durable goods","A4414C0B",3163,3240,3483,3862,4126,4383,4452,4737,4993,5207,5478,5763,5894,6048,6291,6512,6842,7001,7228,7475,8002,8454,8865,9407,10032,10658,11453,12594,13622,14730,15837,17227,19043,20856,22360,23614,24908,26432,27573,28280
"22","15","        Lumber and wood products","B4415C0B",2256,2305,2517,2723,2928,3046,3163,3352,3522,3583,3759,3973,3985,4098,4281,4470,4747,4877,5073,5335,5877,6290,6662,7153,7606,8216,8850,9744,10554,11472,12436,13476,14701,15781,16517,17330,17756,18473,19225,19700
"23","16","        Furniture and fixtures","B4416C0B",2772,2842,3031,3273,3476,3612,3702,3890,4044,4144,4297,4478,4529,4616,4751,4918,5153,5233,5407,5594,5991,6338,6661,7010,7339,7759,8300,8990,9487,10146,10881,11836,13027,14067,15114,15555,16595,17521,18165,18980
"24","17","        Stone, clay, and glass products","B4417C0B",2932,3015,3253,3597,3710,3981,4120,4382,4620,4790,5046,5313,5441,5540,5764,5946,6229,6367,6620,6872,7344,7815,8360,8969,9539,10130,10912,11675,12735,13815,14921,16222,17859,19392,20980,22126,23174,24158,25206,25920
"25","18","        Primary metal industries","B4418C0B",3404,3406,3695,4134,4383,4704,4631,5177,5468,5726,5970,6429,6423,6608,6876,7062,7407,7571,7846,7898,8521,9052,9298,9980,11049,11986,13343,14491,15940,17397,19044,20948,22765,25223,26017,26481,27678,28539,29392,29911
"26","19","        Fabricated metal products","B4419C0B",3278,3368,3611,3981,4265,4489,4565,4786,5071,5294,5482,5739,5865,5964,6163,6343,6680,6837,7050,7298,7753,8118,8555,9076,9689,10250,11082,12194,13095,14071,15025,16286,17941,19568,20805,21811,22793,24108,24888,25418
"27","20","        Machinery, except electrical","B4420C0B",3447,3487,3777,4265,4507,4751,4787,5015,5365,5520,5708,6052,6185,6328,6588,6784,7186,7356,7690,7918,8405,9025,9412,9910,10573,11240,12019,13173,14174,15292,16490,17994,19919,21761,23361,24646,26099,27592,28935,29940
"28","21","        Electric and electronic equipment","B4421C0B",3162,3271,3404,3745,3996,4190,4306,4530,4783,5005,5403,5659,5817,6024,6203,6365,6648,6747,6803,7159,7611,8056,8606,9113,9470,9882,10567,11857,12659,13548,14574,15774,17690,19446,21368,23267,24610,26440,27800,28682
"29","22","        Motor vehicles and equipment","B4422C0B",3382,3623,4041,4267,4681,5034,5174,5572,5591,5864,6342,6586,6767,6775,7290,7682,8076,8400,8462,8640,9792,9896,10198,11496,12674,13673,13960,15259,17471,19459,20458,21600,23748,25892,27172,29456,31987,34482,35144,35278
"30","23","        Other transportation equipment","B4423C0B",3602,3607,3752,4259,4466,4744,4882,5167,5510,5719,6253,6560,6877,7187,7430,7789,8173,8320,8633,8881,9352,9929,10550,10888,11447,12011,13026,14398,15335,16397,17699,19644,22211,24372,26912,28474,29857,31611,33088,33771
"31","24","        Instruments and related products","B4424C0B",3159,3302,3561,3928,4178,4394,4517,4740,5028,5277,5592,5851,6007,6206,6390,6597,6936,7034,7248,7568,7896,8424,8882,9491,9926,10444,11161,12228,13062,14082,14997,16310,18260,20228,22174,23739,24969,26415,28574,30061
"32","25","        Miscellaneous manufacturing industries","B4425C0B",2808,2856,3020,3240,3404,3560,3640,3789,4015,4195,4408,4528,4648,4753,4883,5039,5301,5365,5548,5849,6252,6620,7097,7355,7800,8080,8679,9407,10148,10678,11482,12568,14010,15168,16721,17791,18407,19454,20247,21008
"33","26","      Nondurable goods","A4426C0B",2892,2961,3154,3386,3587,3784,3923,4134,4387,4540,4725,4950,5081,5250,5416,5570,5836,5950,6172,6413,6849,7257,7691,8167,8636,9099,9925,10901,11710,12578,13561,14742,16336,17746,19300,20439,21490,22686,23669,24477
"34","27","        Food and kindred products","B4427C0B",2870,2970,3140,3398,3612,3855,4033,4247,4506,4648,4872,5094,5257,5428,5608,5773,6040,6141,6379,6632,7031,7403,7896,8408,8866,9365,10287,11220,12170,12972,13954,15135,16712,18070,19439,20332,21137,22067,22811,23536
"35","28","        Tobacco manufactures","B4428C0B",2040,2119,2333,2490,2689,2835,3000,3172,3463,3663,3800,3978,4189,4253,4471,4616,4795,4919,5253,5405,5902,6329,7063,7797,8230,8842,9519,10831,11986,12985,14552,16044,19076,21588,23848,26063,27274,29306,31228,35481
"36","29","        Textile mill products","B4429C0B",2578,2570,2784,2935,3039,3088,3077,3255,3401,3440,3519,3793,3870,3948,4130,4226,4505,4703,4915,5040,5459,5738,6035,6369,6853,7263,7758,8448,9105,9739,10545,11402,12444,13443,14116,15377,15965,16618,17522,18416
"37","30","        Apparel and other textile products","B4430C0B",2445,2407,2541,2645,2741,2862,2923,3027,3226,3293,3379,3507,3540,3633,3780,3860,4058,4140,4248,4481,4909,5143,5337,5606,5813,6112,6593,7118,7628,8046,8671,9336,10122,10923,11638,12239,12752,13339,13875,14198
"38","31","        Paper and allied products","B4431C0B",3194,3248,3498,3815,4032,4252,4391,4654,4895,5067,5292,5559,5708,5952,6151,6327,6636,6768,7037,7256,7734,8182,8637,9226,9947,10581,11461,12613,13847,14996,16259,17776,19678,21429,23148,24710,26438,27746,29202,30045
"39","32","        Printing and publishing","B4432C0B",3499,3700,3892,4115,4399,4682,4885,5133,5430,5568,5771,6009,6197,6346,6502,6686,6971,7096,7368,7586,8001,8558,8975,9597,10210,10658,11347,12176,13053,13809,14701,15636,17267,18605,20178,21277,22405,23433,24563,25551
"40","33","        Chemicals and allied products","B4433C0B",3384,3549,3797,4131,4370,4658,4878,5121,5475,5725,6033,6307,6509,6755,6996,7199,7507,7618,7915,8168,8655,9238,9871,10514,11244,11894,13069,14370,15496,16789,18127,19774,22000,24075,26441,28210,30092,32133,33724,35381
"41","34","        Petroleum and coal products","B4434C0B",4145,4294,4449,4793,5091,5349,5478,5753,6153,6427,6676,7153,7238,7593,7656,7989,8172,8427,8704,9034,9590,10269,10775,11505,12410,13152,14418,16594,18057,19631,21350,22950,26279,28015,31832,34243,36725,39829,41401,40296
"42","35","        Rubber and miscellaneous plastics products","B4435C0B",3214,3286,3600,3861,4168,4358,4445,4852,4965,5199,5325,5644,5714,5902,6017,6162,6450,6538,6693,6890,7302,7599,7956,8375,8799,9215,9909,10634,11284,12249,13172,14350,15838,17242,18570,19794,20711,21386,22121,22764
"43","36","        Leather and leather products","B4436C0B",2416,2416,2571,2723,2931,3035,3076,3229,3423,3507,3575,3750,3768,3853,3988,4084,4346,4411,4551,4779,5172,5438,5746,6098,6344,6500,6978,7527,7973,8426,9028,9913,10880,11798,12479,13294,14016,14209,14855,15434
"44","37","    Transportation and public utilities","A4437C0B",3297,3398,3545,3831,4056,4258,4392,4589,4833,5081,5328,5639,5821,6014,6264,6489,6817,7030,7309,7622,8113,8724,9336,10151,10973,11886,12698,13746,15226,16498,17931,19474,21316,23296,24852,26241,27060,28231,29036,30041
"45","38","      Transportation","A4438C0B",3428,3512,3639,3947,4153,4334,4436,4623,4886,5163,5405,5680,5835,5994,6228,6428,6740,6989,7269,7603,8107,8746,9396,10266,10991,11980,12677,13550,14944,16151,17504,19036,20818,22492,23465,24293,24774,25324,25776,26465
"46","39","        Railroad transportation","B4439C0B",3607,3703,3778,4163,4338,4418,4544,4701,5085,5416,5836,6099,6241,6440,6651,6823,7105,7460,7708,8116,8663,9317,10110,11360,11991,13775,14240,14987,17292,18784,20605,23025,25049,27143,29550,33183,34833,36611,39162,41964
"47","40","        Local and interurban passenger transit","B4440C0B",3101,3164,3288,3489,3645,3809,3914,4142,4306,4449,4571,4789,4877,4966,5081,5202,5409,5553,5737,5926,6279,6623,6996,7309,7496,7973,8645,9462,10121,10780,11567,12270,13530,14504,15048,15166,15485,15706,15589,15716
"48","41","        Trucking and warehousing \1\","B4441C0B",3140,3261,3468,3614,3834,4106,4200,4410,4548,4763,4953,5284,5396,5563,5797,6053,6408,6623,6896,7166,7670,8207,8672,9657,10548,11384,12054,12765,13991,15102,16393,17646,19204,20739,21264,21581,22095,22383,22780,23602
"49","42","        Water transportation","B4442C0B",3465,3404,3698,4080,4465,5017,4937,5126,5300,5663,5610,5757,6212,6307,6708,6919,7185,7402,7907,8201,8684,9615,10302,10594,11074,11979,12850,14136,15514,17065,18460,20460,22746,24394,25840,26735,27770,28531,29172,29657
"50","43","        Transportation by air \1\","B4443C0B",3584,3805,4070,4411,4741,4982,5172,5416,5549,5813,6144,6731,6929,7145,7580,7833,8262,8495,8742,9253,9782,10816,12027,12988,13988,14695,15702,17035,18501,20123,21790,23376,25649,27963,29477,31189,30978,32131,32203,32497
"51","44","        Pipelines, except natural gas","B4444C0B",4100,4172,4333,4714,5069,5286,5444,5692,6077,6385,6480,6833,6957,7318,7524,7800,8105,8053,8667,8778,9222,9722,10765,11412,11882,13125,14563,16765,17833,19444,21600,24450,26227,29500,33000,34143,35895,37316,39278,40167
"52","45","        Transportation services","B4445C0B",2920,3282,3129,3481,3713,3827,4079,4179,4564,4921,5139,5184,5380,5532,5675,5744,5977,6239,6484,6696,7155,7642,8232,8679,9274,9820,10664,11430,12146,12779,13455,14575,16005,17533,18527,18849,19707,20530,21156,22031
"53","46","      Communication","A4446C0B",2869,3019,3180,3390,3642,3881,4093,4339,4501,4675,4931,5305,5532,5793,6078,6335,6687,6823,7084,7289,7752,8282,8755,9526,10643,11489,12536,13887,15615,17060,18739,20350,22157,24549,26704,28879,29856,32012,33328,35110
"54","47","        Telephone and telegraph","B4447C0B",2776,2920,3059,3253,3492,3720,3914,4153,4298,4471,4707,5091,5311,5600,5877,6123,6462,6604,6858,7063,7506,8044,8512,9350,10518,11397,12503,13948,15756,17279,19052,20689,22607,25209,27461,29882,30757,33032,34365,36315
"55","48","        Radio and television","B4448C0B",4234,4380,4698,5017,5417,5734,5957,6250,6613,6756,7051,7210,7429,7384,7713,8011,8435,8515,8833,9000,9563,10085,10712,10885,11575,12168,12779,13475,14705,15708,16879,18329,19538,20813,22550,23827,25509,27335,28721,29747
"56","49","      Electric, gas, and sanitary services","B4449C0B",3189,3353,3556,3827,4130,4408,4610,4783,5072,5307,5552,5916,6150,6390,6655,6941,7303,7480,7801,8191,8666,9316,10028,10696,11420,12156,13031,14231,15653,16916,18279,19745,21782,24091,26351,28353,30402,32443,33943,35439
"57","50","    Wholesale trade","B4450C0B",3597,3621,3806,4028,4134,4320,4442,4616,4883,5119,5294,5558,5756,5932,6172,6419,6703,6981,7345,7690,8142,8685,9193,9671,10245,10897,11992,12930,13684,14584,15714,17118,18825,20328,21689,22593,23901,25042,26154,27316
"58","51","    Retail trade","B4451C0B",2509,2596,2711,2785,2891,3035,3136,3267,3374,3514,3626,3785,3911,4001,4156,4297,4454,4623,4776,4970,5275,5591,5914,6234,6607,6902,7381,7918,8439,8873,9404,10104,10961,11736,12366,12920,13291,13625,14150,14603
