"","Table 7#17# Chain-Type Quantity Indexes for Gross Domestic Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 25, 2003    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/24/2003 2:36:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    Gross domestic product","A191RA",10.52,9.62,9.01,7.83,7.72,8.55,9.32,10.53,11.08,10.7,11.56,12.55,14.7,17.41,20.27,21.94,21.67,19.27,19.14,19.97,19.85,21.59,23.23,24.16,25.26,25.09,26.87,27.4,27.95,27.68,29.68,30.42,31.13,33.01,34.43,36.43,38.76,41.31,42.34,44.36,45.71,45.8,47.33,49.9,52.78,52.46,52.28,55.19,57.75,60.93,62.87,62.73,64.26,62.96,65.69,70.46,73.17,75.67,78.24,81.51,84.37,85.85,85.45,88.06,90.39,94.04,96.55,100,104.43,108.91,113.39,117.64,117.94,120.82
"9","2","  Final sales of domestic product","A190RA",10.68,9.95,9.37,8.31,8.05,8.8,9.36,10.59,11.04,10.88,11.69,12.46,14.46,17.47,20.62,22.32,22.12,19.06,19.49,19.85,20.31,21.49,22.99,24.24,25.44,25.5,26.9,27.52,28.22,28,29.78,30.56,31.29,33.01,34.48,36.54,38.65,41,42.25,44.33,45.69,46.11,47.39,49.95,52.6,52.43,52.92,55.1,57.54,60.68,62.88,63.32,64.11,63.66,66.23,69.74,73.22,75.97,78.23,81.62,84.35,86.03,85.85,88.24,90.5,93.61,96.52,100,104.01,108.33,112.99,117.19,118.95,121.09
"10","3","  Change in private inventories"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4","Goods","A353RA",8.58,7.56,7.02,5.86,5.99,6.88,7.76,8.9,9.57,8.97,9.83,10.98,13.07,15.65,19.06,20.59,20.02,17.75,17.8,18.56,18.14,19.8,21.37,21.96,23.35,22.42,24.39,24.57,24.83,23.86,25.91,26.33,26.45,28.36,29.35,31.15,33.71,36.71,37.11,38.85,40,39.53,40.47,43.37,47.27,46.71,46.01,49.26,51.64,54.95,57.13,56.82,59.42,56.87,59.46,65.77,67.43,69.72,72.39,76.42,80.63,81.46,80.4,83.18,86.34,91.77,95.34,100,106.59,112.91,118.94,124.5,121.64,125.71
"12","5","    Final sales","A325RA",8.84,8.08,7.6,6.61,6.5,7.28,7.83,9.01,9.53,9.28,10.05,10.85,12.73,15.79,19.68,21.26,20.78,17.42,18.41,18.4,18.92,19.65,20.99,22.13,23.67,23.12,24.45,24.77,25.3,24.4,26.06,26.56,26.71,28.34,29.39,31.3,33.48,36.12,36.9,38.76,39.93,40.09,40.53,43.43,46.9,46.61,47.25,49.06,51.19,54.41,57.15,58.05,59.07,58.36,60.59,64.1,67.5,70.36,72.3,76.64,80.57,81.85,81.32,83.58,86.56,90.61,95.24,100,105.48,111.41,117.93,123.36,124.71,126.57
"13","6","    Change in private inventories"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
