"","Table 1#2D# Real Gross Domestic Product, Chained (1982) Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of chained (1982) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1972 To 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2003 1:52:14 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
"8","1","    Gross domestic product","A191DX1D",2582.8,2731.9,2715.7,2706.1,2856.6,2989.2,3154,3254.4,3247,3326.5,3259.2,3400.3,3647.3,3787.7,3917.1,4050.2,4219.2,4367.3,4444.2,4423.3,4558.3
"9","2","Personal consumption expenditures","A002DX1D",1619.1,1698.7,1684.6,1720.9,1821.2,1899.4,1983.6,2033.4,2026.9,2054.3,2079.3,2192.8,2311.1,2425.5,2527.3,2611.2,2716.6,2789.1,2840.4,2835.4,2916.6
"10","3","  Durable goods","B003DX1D",193.7,213.8,199.1,199,224.4,245.3,258.3,257.4,237.1,240.2,240.2,275.9,316.3,347.5,379.2,385.8,408.1,416.7,412.8,385.6,406
"11","4","  Nondurable goods","B004DX1D",657.4,678.9,665.2,675,708,725,752.1,772.1,771,780.1,787.6,813.8,846.1,869.2,900.4,922,951.4,977.3,990.8,986.7,1005.3
"12","5","  Services","B005DX1D",765.8,802,819.5,847.3,887.3,926.6,970.6,1002,1018.6,1033.8,1051.5,1103.2,1149.7,1209.8,1250.3,1304.1,1357.8,1395.5,1434,1453.5,1496.2
"13","6","Gross private domestic investment","A006DX1D",455.5,508.8,471.2,387.7,465.9,536.3,598.1,616.9,549.6,600.2,516.1,565.1,731,724.2,719.4,737.5,757.3,785.5,761.1,695.8,754.8
"14","7","  Fixed investment","A007DX1D",442,482.3,452,403.5,443.2,506.8,565.3,596.9,558.8,571,531,570.7,666.4,701.5,709.8,709.7,735.5,755.4,741.7,690.2,735
"15","8","    Nonresidential","A008DX1D",274.6,314.5,317,285.7,299.6,333.3,380.4,418.5,418.3,441.8,425.3,421,495.1,528.2,514.1,513.4,541.4,571.3,575.5,547.2,565.6
