"","Table 6#4C# Full-Time and Part-Time Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2003 2:16:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Full-time and part-time employees","A4201C0C",110743,113896,116631,118127,116625,117110,118790,121708,124632,127009,130118,133456,136294,139207,138840
"9","2","Domestic industries","A4202C0C",110809,113971,116714,118209,116707,117198,119265,122235,125158,127494,130640,133968,136861,139787,139448
"10","3","  Private industries \1\","A4203C0C",90259,93065,95430,96430,94905,95359,97412,100324,103193,105559,108587,111706,114320,116778,116014
"11","4","    Agriculture, forestry, and fishing","A4204C0C",1794,1891,1856,1885,1886,1847,1887,1942,2010,2048,2130,2188,2294,2319,2341
"12","5","      Farms","B4205C0C",964,1002,928,920,910,866,857,840,868,832,876,880,923,890,870
"13","6","      Agricultural services, forestry, and fishing","B4206C0C",830,889,928,965,976,981,1030,1102,1142,1216,1254,1308,1371,1429,1471
"14","7","    Mining","A4207C0C",720,722,697,715,694,639,614,606,587,582,601,594,539,541,568
"15","8","      Metal mining","B4208C0C",45,51,57,59,56,54,51,49,52,54,54,49,44,40,35
"16","9","      Coal mining","B4209C0C",162,151,146,147,136,127,113,113,106,99,97,93,86,79,82
"17","10","      Oil and gas extraction","B4210C0C",401,405,381,396,396,355,346,339,321,321,340,340,296,308,338
"18","11","      Nonmetallic minerals, except fuels","B4211C0C",112,115,113,113,106,103,104,105,108,108,110,112,113,114,113
"19","12","    Construction","B4212C0C",5175,5314,5382,5340,4876,4704,4855,5197,5385,5671,5965,6296,6704,7007,7038
"20","13","    Manufacturing","A4213C0C",19112,19475,19517,19206,18535,18179,18175,18425,18594,18579,18772,18923,18673,18567,17702
"21","14","      Durable goods","A4214C0C",11206,11453,11456,11174,10635,10328,10287,10505,10723,10838,11059,11270,11178,11179,10632
"22","15","        Lumber and wood products","B4215C0C",770,791,777,755,698,702,732,776,790,801,821,840,858,849,804
"23","16","        Furniture and fixtures","B4216C0C",517,529,527,511,476,477,490,505,512,506,514,534,550,558,524
"24","17","        Stone, clay, and glass products","B4217C0C",558,572,572,560,524,514,520,534,541,546,555,566,572,582,572
"25","18","        Primary metal industries","B4218C0C",741,771,775,756,724,694,680,696,707,708,710,715,698,700,646
"26","19","        Fabricated metal products","B4219C0C",1407,1434,1444,1424,1358,1333,1345,1396,1444,1453,1485,1517,1529,1544,1470
"27","20","        Industrial machinery and equipment","B4220C0C",2046,2114,2130,2096,2015,1931,1940,2000,2070,2117,2170,2211,2141,2119,2006
"28","21","        Electronic and other electric equipment","B4221C0C",1781,1773,1754,1688,1603,1536,1537,1582,1626,1660,1695,1710,1671,1719,1627
"29","22","        Motor vehicles and equipment","B4222C0C",854,851,850,825,787,821,839,900,970,968,983,997,1023,1020,941
"30","23","        Other transportation equipment","B4223C0C",1170,1187,1198,1179,1102,1016,919,852,817,821,857,900,874,836,812
"31","24","        Instruments and related products","B4224C0C",975,1031,1023,991,965,923,891,860,842,854,865,873,854,843,840
"32","25","        Miscellaneous manufacturing industries","B4225C0C",387,400,406,389,383,381,394,404,404,404,404,407,408,409,390
"33","26","    Nondurable goods","A4226C0C",7906,8022,8061,8032,7900,7851,7888,7920,7871,7741,7713,7653,7495,7388,7070
"34","27","        Food and kindred products","B4227C0C",1626,1638,1644,1667,1672,1658,1678,1683,1688,1697,1694,1695,1697,1700,1702
"35","28","        Tobacco products","B4228C0C",55,55,52,50,49,48,45,42,41,41,41,40,37,35,34
"36","29","        Textile mill products","B4229C0C",731,732,725,700,673,675,680,681,664,630,617,597,560,534,475
"37","30","        Apparel and other textile products","B4230C0C",1104,1099,1091,1047,1017,1012,997,982,945,874,830,769,697,640,564
"38","31","        Paper and allied products","B4231C0C",678,687,694,697,688,689,692,693,693,683,686,679,669,657,629
"39","32","        Printing and publishing","B4232C0C",1521,1577,1591,1597,1566,1531,1539,1566,1571,1564,1579,1593,1576,1569,1508
