"","Table 7#8# Chain-Type Quantity and Price Indexes for Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/31/2003 7:50:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8",NA,"Chain-type quantity indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Private fixed investment in equipment and software","B327RA",4.22,3.35,2.25,1.32,1.36,1.88,2.55,3.49,4.06,2.84,3.27,4.23,4.97,2.86,2.54,3.38,4.85,5.92,8.07,8.49,7.45,8.24,8.47,8.23,8.97,8.49,9.65,9.93,10.18,8.73,9.79,10.18,9.99,11.13,12.07,13.6,16.07,18.6,18.47,19.64,21.38,21.19,21.42,24.19,28.59,29.29,26.5,28.13,32.33,37.23,40.49,39.06,40.68,38.58,40.7,48.59,51.69,52.77,53.66,57.65,61.62,61.84,60.56,65.03,72.36,80.89,90.15,100,113.18,129.55,144.38,156.19,146.26
"10","2","Nonresidential equipment and software","B010RA",4.28,3.39,2.26,1.33,1.36,1.88,2.56,3.51,4.09,2.85,3.29,4.26,5,2.87,2.58,3.45,4.94,5.95,8.11,8.53,7.47,8.25,8.49,8.25,9,8.5,9.67,9.93,10.19,8.71,9.74,10.16,9.96,11.11,12.04,13.58,16.06,18.61,18.48,19.62,21.34,21.12,21.31,24.04,28.44,29.13,26.35,27.98,32.18,37.09,40.33,38.88,40.52,38.42,40.5,48.4,51.48,52.51,53.37,57.37,61.39,61.63,60.38,64.86,72.22,80.79,90.08,100,113.3,129.8,144.69,156.58,146.51
"11","3","  Information processing equipment and software","B679RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.42,0.44,0.39,0.43,0.48,0.55,0.61,0.54,0.62,0.72,0.82,0.74,0.81,0.98,1.07,1.19,1.4,1.6,1.9,2.5,2.66,2.85,3.47,3.9,4.14,4.7,5.56,6.33,6.27,7.13,8.59,11.14,13.61,16,18.46,19.68,22.87,28.68,31.92,34.47,36.58,40.52,45.7,47.5,49.69,56.75,63.83,71.93,84.5,100,121.77,149.43,176.87,203.04,190.92
"12","4","    Computers and peripheral equipment \1,2\","B935RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.11,0.12,0.15,0.15,0.23,0.34,0.66,1.07,1.69,2.63,3.24,4.92,8.04,10.1,11.61,14.59,16.67,20.27,20.03,21.75,29.4,37.31,46,69.4,100,145.22,208.39,292.64,347.77,338.61
"13","5","    Software \3\","B985RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.22,0.28,0.37,0.72,0.88,1.1,1.62,1.85,2.03,2.68,3.36,3.48,4,4.5,5.13,5.92,6.31,6.46,7.67,9.56,11.12,12.73,14.5,16.73,20.42,23.74,26.12,29.38,34.02,42.11,48.21,54.08,61.65,70.18,78.07,86.18,100,125.1,154.59,177.97,193.8,191.35
"14","6","    Communication equipment \4\","B275RA",2.55,2.19,1.65,0.82,0.64,0.92,1.32,1.7,2.7,1.81,2.3,3.42,3.69,2.32,2.12,4.39,5.02,1.85,2.51,2.5,2.23,2.48,2.77,3.6,4.15,3.63,4.03,4.92,5.6,4.82,5.7,7.32,8.78,10.02,9.4,9.68,11.2,12.77,13.11,13.8,16.27,17.98,17.46,16.69,20.08,20.61,19.44,21.15,28.15,33.19,39.48,44.29,46.19,46.99,47.11,52.2,55.74,58.39,58.16,64.58,64.65,65.53,62.78,66.15,67.47,78.18,89.22,100,113.58,130.51,156.26,201.28,161.2
"15","7","    Instruments","B284RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19,5.66,5.89,5.48,6.17,6.9,7.52,7.52,5.88,7.67,8.3,8.45,7.34,7.59,7.97,8,7.67,8.45,9.24,10.52,11.39,13.6,13.81,15.6,17.11,18.13,20.05,23.13,26.73,25.25,28.05,34.25,38.34,39.67,41.7,44.82,48.06,48.82,54.14,56.22,57.44,60.5,63.2,71.17,77.17,79.87,85.36,90.15,90.89,95.53,100,99.73,108.58,114.03,120.6,128.08
"16","8","    Photocopy and related equipment","B285RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,1.67,1.72,1.67,1.78,1.93,2.15,2.7,2.86,2.98,3.17,3.29,2.73,3.61,4.29,4.38,5.45,8.68,13.28,15.73,20.04,16.57,18.21,20.78,24.22,28.61,35.57,43.35,48.98,53.4,56.93,55.13,64.25,64.67,66.29,72.66,73.3,70.94,87.5,82.85,82.81,83.06,89.03,93.86,89.91,92.65,93.9,108.05,114.24,105.4,100,96.41,94.78,72.84,65.04,54.45
"17","9","    Office and accounting equipment","B936RA",5.51,3.92,2.84,2.06,2.16,2.63,3.52,4.22,5.07,4.23,4.39,5.07,6.16,4.56,3.32,5.01,6.67,12.27,15.13,16.36,14.1,15.29,16.55,17.04,18.39,17.79,20.08,23.09,28.14,27.69,26.36,25.86,21.98,19.57,20.95,20.71,21.26,27.2,25.79,24.27,28.57,24.7,22.17,26.21,36.99,47.32,40.27,47.39,47.75,71.33,88.21,95.1,99.66,77.39,121.07,136.73,135.27,147.91,94.68,84.43,89.11,74.6,69.67,81.62,89.46,90.42,95.79,100,103.27,103.39,90.9,97.29,100.13
"18","10","  Industrial equipment","B680RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.29,30.2,27.91,21.54,24.91,28,29.09,32.1,33.13,32.87,36.3,36.74,30.53,31.04,33.55,31.78,33.44,36.07,40.82,48.13,55.32,55.58,54.49,58.05,58.95,54.15,58.37,68.96,74.26,62.89,63.17,66.95,74.47,79.88,76.46,75.28,68.66,63.06,72.2,75.51,75.11,73.22,76.89,82.36,77.56,72.59,73.91,80.32,87.68,96.26,100,102.62,106.72,108.09,117.86,112.69
"19","11","    Fabricated metal products","B263RA",9.89,8.53,6.94,4.45,3.79,4.6,5.12,6.19,7.05,5.24,6.19,7.62,9.21,8.5,10.59,12.54,15.25,22.16,28.8,25.86,20.91,22.51,26.95,30.77,32.47,34.52,31.15,32.25,36.75,34.13,30.56,28.92,27.63,25.4,27.94,32.57,38.54,44.56,43.29,51.2,61.88,71.95,73.32,75.84,91.11,99.58,97.19,105.4,98.41,100.03,111.52,102.78,102.09,91.84,86.16,82.09,80.8,75.38,67.76,70.85,75.92,75.69,75.91,76.71,77.88,85.78,90.76,100,91.16,94.75,100.23,103.6,100.17
