"","Table 1#5# Relation of Gross Domestic Product, Gross Domestic Pu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2003   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2003 11:50:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","Gross domestic product","A191RC",103.7,91.3,76.6,58.8,56.4,66,73.3,83.7,91.9,86.1,92,101.3,126.7,161.8,198.4,219.7,223,222.3,244.4,269.6,267.7,294.3,339.5,358.6,379.9,381.1,415.2,438,461.5,467.9,507.4,527.4,545.7,586.5,618.7,664.4,720.1,789.3,834.1,911.5,985.3,1039.7,1128.6,1240.4,1385.5,1501,1635.2,1823.9,2031.4,2295.9,2566.4,2795.6,3131.3,3259.2,3534.9,3932.7,4213,4452.9,4742.5,5108.3,5489.1,5803.2,5986.2,6318.9,6642.3,7054.3,7400.5,7813.2,8318.4,8781.5,9274.3,9824.6,10082.2,10446.2
"9","2","Less: Exports of goods and services","B020RC",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,3.9,4.8,5.4,4.3,3.9,4.8,6.7,14.1,18.7,15.5,14.4,12.3,17,16.3,15.2,15.7,17.6,21.2,23.9,20.4,20.6,25.3,26,27.4,29.4,33.6,35.4,38.9,41.4,45.3,49.3,57,59.3,66.2,91.8,124.3,136.3,148.9,158.8,186.1,228.7,278.9,302.8,282.6,277,303.1,303,320.3,365.6,446.9,509,557.2,601.6,636.8,658,725.1,818.6,874.2,966.4,964.9,989.3,1101.1,1034.1,1014.9
"10","3","Plus: Imports of goods and services","B021RC",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,589.7,628.6,622.3,664.6,718.5,812.1,902.8,963.1,1055.8,1116.7,1239.2,1466.6,1383,1438.5
"11","4","Equals: Gross domestic purchases","A712RC",103.3,91,76.6,58.8,56.4,65.7,73.5,83.9,91.8,85.1,91.3,99.9,125.7,162.1,200.8,221.8,223.9,215.2,233.7,264.1,262.5,293.6,337.1,357.6,380.7,380.8,414.8,435.7,457.5,467.5,509.1,525,542.3,584.1,615.4,658.9,716.2,787.4,832.6,912.7,986.5,1038.5,1131.6,1248.4,1384.9,1504.2,1621.6,1826.2,2055.1,2322,2590.4,2810.5,3146.3,3279.8,3586.6,4034.7,4327.2,4584.7,4884.7,5214.6,5569.8,5874.7,6006.9,6346.8,6702.8,7141.4,7484.8,7902.1,8407.7,8933.3,9524.2,10190.1,10431,10869.9
"12","5","Less: Change in private inventories","A014RC",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,3.9,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.2,15,21.1,62.6,33,30,62.9,73.1,59.5,63.6,-60.3,3.9
"13","6","Equals: Final sales to domestic purchasers","A713RC",101.8,91.2,77.7,61.1,57.8,66.3,72.4,82.7,89.2,85.7,91,97.5,121.4,160.2,201.5,222.7,225.4,209.2,234.2,258.5,265.2,287.9,327.2,354.1,378.8,382.7,409.8,431.7,456.8,467.9,505.2,521.7,539.3,578,609.8,654.1,707,773.8,822.8,903.7,977.4,1036.5,1123.3,1239.3,1369,1490.2,1627.9,1809.1,2032.7,2296.2,2572.4,2816.8,3116.5,3294.7,3592.3,3969.3,4305.4,4578.2,4857.6,5196.1,5542.1,5860.1,6007.1,6331.7,6681.7,7078.9,7451.7,7872.1,8344.8,8860.1,9464.7,10126.6,10491.4,10866
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","  Note.  Percent changes from preceding period for selected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","items in this table are shown in table 8.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
