"","Table 6#8C# Persons Engaged in Production by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2003 2:11:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Persons engaged in production \1\","A4601C0C",107843,111003,113824,115040,113729,113580,115601,118541,121531,123824,126790,129742,132149,134723,134288
"9","2","Domestic industries","A4602C0C",107909,111078,113907,115122,113811,113668,116008,118993,121982,124240,127237,130181,132635,135220,134809
"10","3","  Private industries \2\","A4603C0C",90672,93436,95862,96782,95428,95341,97747,100745,103647,105912,108802,111577,113888,116177,115364
"11","4","    Agriculture, forestry, and fishing","A4604C0C",3041,3103,3059,3055,3093,3013,3076,3153,3380,3338,3315,3345,3393,3341,3342
"12","5","      Farms","B4605C0C",1968,1977,1880,1846,1862,1803,1800,1791,1968,1827,1814,1705,1693,1635,1608
"13","6","      Agricultural services, forestry, and fishing","B4606C0C",1073,1126,1179,1209,1231,1210,1276,1362,1412,1511,1501,1640,1700,1706,1734
"14","7","    Mining","A4607C0C",726,738,709,725,703,649,618,607,591,586,603,602,544,546,581
"15","8","      Metal mining","B4608C0C",46,53,59,60,56,55,51,49,53,56,54,49,45,42,36
"16","9","      Coal mining","B4609C0C",159,149,144,145,134,124,110,110,104,97,95,93,85,77,81
"17","10","      Oil and gas extraction","B4610C0C",409,420,394,409,409,368,352,345,326,326,345,349,304,315,354
"18","11","      Nonmetallic minerals, except fuels","B4611C0C",112,116,112,111,104,102,105,103,108,107,109,111,110,112,110
"19","12","    Construction","B4612C0C",6240,6453,6526,6513,6035,5876,6129,6406,6650,6950,7255,7602,8023,8368,8350
"20","13","    Manufacturing","A4613C0C",18958,19333,19397,19111,18427,18069,18109,18442,18626,18576,18776,18933,18663,18507,17682
"21","14","      Durable goods","A4614C0C",11206,11464,11485,11217,10670,10376,10341,10582,10816,10911,11132,11349,11223,11214,10671
"22","15","        Lumber and wood products","B4615C0C",807,823,816,800,741,751,790,835,862,856,864,896,916,899,854
"23","16","        Furniture and fixtures","B4616C0C",518,531,530,518,478,485,497,515,525,521,531,543,562,569,530
"24","17","        Stone, clay, and glass products","B4617C0C",561,578,576,565,529,518,523,543,547,561,563,569,573,580,573
"25","18","        Primary metal industries","B4618C0C",733,763,767,753,720,682,674,692,700,706,706,711,697,696,642
"26","19","        Fabricated metal products","B4619C0C",1394,1422,1435,1416,1345,1324,1336,1390,1442,1447,1481,1514,1517,1537,1452
"27","20","        Industrial machinery and equipment","B4620C0C",2049,2111,2128,2091,2022,1937,1937,1996,2084,2096,2168,2211,2135,2106,2002
"28","21","        Electronic and other electric equipment","B4621C0C",1763,1757,1741,1675,1589,1525,1522,1573,1616,1655,1684,1700,1657,1705,1610
"29","22","        Motor vehicles and equipment","B4622C0C",849,848,847,819,781,817,835,895,963,961,976,995,1018,1018,943
"30","23","        Other transportation equipment","B4623C0C",1165,1186,1200,1183,1103,1016,918,850,816,820,854,903,872,834,811
"31","24","        Instruments and related products","B4624C0C",961,1017,1006,981,953,911,881,853,835,849,860,865,841,836,835
"32","25","        Miscellaneous manufacturing industries","B4625C0C",406,428,439,416,409,410,428,440,426,439,445,442,435,434,419
"33","26","      Nondurable goods","A4626C0C",7752,7869,7912,7894,7757,7693,7768,7860,7810,7665,7644,7584,7440,7293,7011
"34","27","        Food and kindred products","B4627C0C",1594,1596,1599,1615,1628,1614,1635,1654,1659,1664,1676,1673,1680,1675,1681
"35","28","        Tobacco products","B4628C0C",54,54,51,50,48,47,44,42,41,40,40,39,36,34,33
"36","29","        Textile mill products","B4629C0C",718,720,712,691,660,663,671,676,661,632,619,598,556,536,471
"37","30","        Apparel and other textile products","B4630C0C",1086,1073,1070,1031,998,990,982,998,950,880,831,774,708,616,560
"38","31","        Paper and allied products","B4631C0C",671,678,686,688,682,680,684,686,687,678,678,672,664,651,623
