"","Table 2#2B# Wage and Salary Disbursements by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 27, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/1/2004 8:07:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","Wage and salary disbursements","A576RC1",4951.9,4945,4938.8,4935.8,4945.1,4973.1,4980.9,4999.1,5033.2,5072.2,5104.1,5136.8
"10","2","  Private industries","A132RC1",4153.2,4135.9,4117.4,4102.1,4098.5,4117.1,4117.7,4125.4,4143.3,4172.7,4204.1,4235.7
"11","3","    Goods-producing industries","N231RC1",1076.8,1054.7,1031.7,1015.3,1011.1,1014.9,1010.7,1007.1,1005.8,1003.4,1006,1015.2
"12","4","      Manufacturing","N4113C1",748,718.3,692.6,677.4,673.9,680.1,676.3,672.6,670.5,666.5,666.9,672
"13","5","    Services-producing industries","N233RC1",3076.4,3081.2,3085.7,3086.8,3087.5,3102.1,3107,3118.3,3137.5,3169.3,3198.1,3220.5
"14","6","      Trade, transportation, and utilities","N234RC1",847.7,843.8,843.3,844.8,838.9,844.7,847.6,847.6,855,859.5,866.1,872.4
"15","7","      Other services-producing industries \1\","N235RC1",2228.7,2237.4,2242.4,2242,2248.5,2257.4,2259.4,2270.7,2282.6,2309.8,2332,2348.1
"16","8","  Government","B202RC1",798.8,809.1,821.4,833.8,846.6,856,863.2,873.8,890,899.5,900,901.1
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 1997 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
