"","Table 6#13D# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2002",NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA
"4","Data published January 23, 2004  ",NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2004 8:06:51 AM",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002
"8","1","      Noncorporate capital consumption allowances","A1700C0",157543,177128,195292,225296,267857
"9","2","Agriculture, forestry, fishing, and hunting","N1701C0",14870,15402,15525,15793,16464
"10","3","  Farms \1\","N1702C0",13095,13364,13507,13815,14196
"11","4","  Forestry, fishing, and related activities","N1703C0",1775,2038,2018,1978,2268
"12","5","Mining","N1704C0",6979,7652,8967,10363,12381
"13","6","Utilities","N1705C0",2882,3128,3226,4114,4976
"14","7","Construction","N1706C0",7217,8312,9455,9587,11373
"15","8","Manufacturing","N1707C0",11357,13418,15319,17142,21037
"16","9","  Durable goods","N1708C0",4373,5368,5462,5482,6370
"17","10","  Nondurable goods","N1709C0",6984,8050,9857,11660,14667
"18","11","Wholesale trade","N1710C0",2355,2678,2993,3471,4118
"19","12","Retail trade","N1711C0",5799,6684,6453,7585,8641
"20","13","Transportation and warehousing","N1712C0",7840,8501,9610,9916,12031
"21","14","Information","N1713C0",16538,20299,22706,32190,42423
"22","15","Finance, insurance, real estate, rental, and leasing","N1714C0",54209,61621,67972,78853,90749
"23","16","  Finance and insurance","N1715C0",4053,3620,4127,5690,6337
"24","17","  Real estate and rental and leasing \2\","N1716C0",50156,58001,63845,73163,84412
"25","18","Professional and business services","N1717C0",10871,11846,12620,14745,17668
"26","19","  Professional, scientific, and technical services","N1718C0",7445,8077,8421,9700,11479
"27","20","  Management of companies and enterprises; administrative and waste management services","N1719C0",3426,3769,4199,5045,6189
"28","21","Educational services, health care, and social assistance","N1720C0",5439,6028,6449,7312,8708
"29","22","  Educational services","N1721C0",391,515,542,570,672
"30","23","  Heath care and social assistance","N1722C0",5048,5513,5907,6742,8036
"31","24","Arts, entertainment, recreation, accommodation, and food services","N1723C0",9446,9633,12156,12426,15022
"32","25","  Arts, entertainment, and recreation","N1724C0",2590,2622,3473,3973,5038
"33","26","  Accommodation and food services","N1725C0",6856,7011,8683,8453,9984
"34","27","Other services, except government","N1726C0",1741,1926,1841,1799,2266
"35",NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Consists of NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA
"37","2. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA
"38","Note.  Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA
"39","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA
