"","Table 3BU# Real Inventory-Sales Ratios for Manufacturing and Tra","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Ratio, based on chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2004 3:59:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","A       Manufacturing and trade industries","RMT3",1.391,1.396,1.396,1.407,1.371,1.361,1.33
"9","2","A Manufacturing industries","R303",1.329,1.339,1.347,1.354,1.361,1.352,1.309
"10","3","A   Durable goods manufacturing industries","R30D3",1.498,1.519,1.487,1.497,1.512,1.478,1.405
"11","4","A     Wood product manufacturing","R3213",1.211,1.211,1.248,1.293,1.313,1.287,1.197
"12","5","A     Nonmetallic mineral product manufacturing","R3273",1.281,1.221,1.244,1.268,1.247,1.347,1.317
"13","6","A     Primary metal manufacturing","R3313",1.517,1.593,1.646,1.678,1.673,1.657,1.532
"14","7","A     Fabricated metal product manufacturing","R3323",1.486,1.495,1.526,1.509,1.546,1.506,1.49
"15","8","A     Machinery manufacturing","R3333",1.582,1.597,1.654,1.689,1.673,1.648,1.576
"16","9","A     Computer and electronic product manufacturing","R3343",1.623,1.525,1.496,1.585,1.603,1.601,1.384
"17","10","A     Electrical equipment, appliance, and component manufacturing","R3353",1.417,1.416,1.384,1.397,1.449,1.446,1.421
"18","11","A     Transportation equipment manufacturing","R3363",1.44,1.581,1.43,1.357,1.389,1.289,1.281
"19","12","D       Motor vehicle and parts manufacturing","R336MV3",0.648,0.653,0.615,0.65,0.641,0.62,0.611
"20","13","D       Other transportation equipment manufacturing","R336OT3",3.546,3.87,3.662,3.331,3.269,3.106,3.086
"21","14","A     Furniture and related product manufacturing","R3373",1.295,1.234,1.255,1.275,1.259,1.286,1.218
"22","15","A     Miscellaneous durable goods manufacturing","R3393",1.709,1.685,1.732,1.733,1.748,1.786,1.72
"23","16","A   Nondurable goods manufacturing industries","R30N3",1.128,1.116,1.167,1.169,1.176,1.2,1.19
"24","17","A     Food manufacturing","R3113",0.936,0.901,0.938,0.944,0.932,0.941,0.923
"25","18","A     Beverage and tobacco product manufacturing","R3123",1.219,1.204,1.277,1.269,1.326,1.439,1.477
"26","19","A     Textile mills","R3133",1.421,1.471,1.555,1.519,1.537,1.432,1.55
"27","20","A     Textile product mills","R3143",1.449,1.369,1.425,1.552,1.693,1.657,1.721
"28","21","A     Apparel manufacturing","R3153",1.485,1.553,1.744,1.751,1.551,1.474,1.541
"29","22","A     Leather and allied product manufacturing","R3163",1.819,1.956,2.077,1.988,1.985,1.747,1.704
"30","23","A     Paper manufacturing","R3223",1.179,1.14,1.199,1.182,1.236,1.291,1.191
"31","24","A     Printing and related support activities","R3233",0.79,0.724,0.798,0.753,0.755,0.814,0.786
"32","25","A     Petroleum and coal product manufacturing","R3243",0.851,0.808,0.782,0.777,0.831,0.883,0.899
"33","26","A     Chemical manufacturing","R3253",1.323,1.36,1.442,1.467,1.482,1.517,1.469
"34","27","A     Plastics and rubber product manufacturing","R3263",1.239,1.247,1.256,1.238,1.255,1.257,1.276
"35","28","A Merchant wholesale industries","R42W3",1.336,1.35,1.334,1.342,1.297,1.263,1.237
"36","29","A   Durable goods merchant wholesale industries","R42WD3",1.665,1.683,1.631,1.625,1.536,1.512,1.48
"37","30","D     Motor vehicles, parts, and supplies wholesalers","R42113",1.619,1.574,1.544,1.563,1.409,1.427,1.438
