"","Table 5#6#6BU# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Millions of chained (2000) dollars; seasonally adjusted at annual rates]                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2004 11:51:41 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","B     Nonfarm industries","KCNF0",68496,71193,71516,57827,-36275,9253,513
"9","2","B Construction, mining, and utilities","KCCMU0",2486,7237,-553,-1673,11145,-2140,-2061
"10","3","B Manufacturing industries","KC300",20743,18637,16952,7882,-23407,-7535,-13150
"11",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA
"12","4","B     Durable goods industries","KC30D0",13619,17922,8549,7257,-19878,-9601,-11090
"13","5","D       Wood product manufacturing","KC3210",346,471,534,289,-394,-56,-494
"14","6","D       Nonmetallic mineral product manufacturing","KC3270",186,51,334,150,-509,-13,-383
"15","7","D       Primary metal manufacturing","KC3310",412,1607,461,-410,-1939,-555,-2501
"16","8","D       Fabricated metal product manufacturing","KC3320",1293,1262,952,636,-1318,-1073,-1336
"17","9","D       Machinery manufacturing","KC3330",1495,1168,454,2647,-4034,-2168,-2275
"18","10","D       Computer and electronic product manufacturing","KC3340",6827,730,4768,11175,-7779,-3105,-1850
"19","11","D       Electrical equipment, appliance, and component manufacturing","KC3350",481,501,-10,808,-799,-1234,-502
"20","12","D       Transportation equipment manufacturing","KC3360",1346,11792,-227,-9125,-2770,-2230,-1505
"21","13","D         Motor vehicle and parts manufacturing","KC3MV0",533,1158,1654,-180,-2546,739,-748
"22","14","D         Other transportation equipment manufacturing","KC3OT0",808,10685,-1888,-8945,-256,-2908,-769
"23","15","D       Furniture and related product manufacturing","KC3370",144,157,345,234,-479,-141,-482
"24","16","D       Miscellaneous durable goods manufacturing","KC3390",243,476,778,853,67,952,350
"25","17","B     Nondurable goods industries","KC30N0",7077,349,8489,625,-3526,2084,-2189
"26","18","D       Food manufacturing","KC3110",790,112,1630,480,-256,541,-1682
