"","Table 2# Chain-Type Quantity Indexes for Net Stock of Fixed Asse","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2000=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1993 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 23, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/23/2004 8:08:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Fixed assets and consumer durable goods","kcwtotl1es000",80.998,82.948,85.087,87.553,90.243,93.263,96.583,100,102.938,105.64,108.265
"10","2","  Fixed assets","kcttotl1es000",82.618,84.432,86.449,88.774,91.274,94.024,96.97,100,102.547,104.814,107.201
"11","3","    Private","kcptotl1es000",81.007,82.958,85.131,87.633,90.377,93.432,96.671,100,102.687,104.947,107.351
"12","4","      Nonresidential","kcntotl1es000",78.769,80.554,82.857,85.57,88.743,92.292,96.051,100,102.691,104.328,105.879
"13","5","        Equipment and software","kcntotl1eq000",66.046,68.837,72.311,76.404,81.335,87.008,93.419,100,103.91,106.498,109.298
"14","6","        Structures","kcntotl1st000",88.096,89.028,90.368,91.98,93.819,95.84,97.782,100,101.925,102.984,103.789
"15","7","      Residential","kcrtotl1es000",83.315,85.442,87.474,89.75,92.039,94.579,97.288,100,102.682,105.537,108.737
"16","8","    Government","kcgtotl1es000",89.098,90.396,91.824,93.489,95.081,96.537,98.231,100,101.897,104.083,106.311
"17","9","      Nonresidential","kcgtotl1esnr0",88.704,89.991,91.4,93.049,94.639,96.23,98.077,100,102.028,104.332,106.668
"18","10","        Equipment and software","kcgtotl1eq000",96.568,96.908,97.107,97.405,97.233,97.749,98.936,100,101.169,102.972,105.088
"19","11","        Structures","kcgtotl1stnr0",87.291,88.754,90.385,92.278,94.173,95.951,97.922,100,102.18,104.583,106.98
"20","12","      Residential","kcgtotl1sa000",90.28,91.547,93.081,94.657,95.82,97.321,98.811,100,101.431,102.933,104.339
"21","13","  Consumer durable goods","kcctotl1eq000",68.112,70.996,73.985,77.473,81.589,86.764,93.202,100,106.517,113.404,120.725
"22",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","14","  Private and government fixed assets","kcttotl1es000",82.618,84.432,86.449,88.774,91.274,94.024,96.97,100,102.547,104.814,107.201
"25","15","    Nonresidential","kcytotl1es000",82.053,83.678,85.691,88.058,90.711,93.611,96.733,100,102.472,104.347,106.177
"26","16","      Equipment and software","kcytotl1eq000",70.355,72.812,75.831,79.397,83.614,88.56,94.221,100,103.51,105.984,108.684
"27","17","      Structures","kcytotl1st000",87.751,88.909,90.374,92.106,93.969,95.887,97.842,100,102.033,103.663,105.142
"28","18","    Residential","kcxtotl1es000",83.466,85.574,87.595,89.855,92.119,94.637,97.32,100,102.656,105.482,108.643
"29",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","19","  Government fixed assets","kcgtotl1es000",89.098,90.396,91.824,93.489,95.081,96.537,98.231,100,101.897,104.083,106.311
"31","20","    Federal","kcgfedr1es000",101.671,101.458,101.315,101.776,101.348,100.845,100.543,100,99.46,99.361,99.54
"32","21","    State and local","kcgstlc1es000",84.219,86.041,88.013,90.086,92.364,94.68,97.261,100,102.877,105.959,108.984
