"","Table 8# Chain-Type Quantity Indexes for Net Stock of Private No","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1993 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 23, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/23/2004 8:08:20 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Private nonresidential fixed assets","kcntotl1es000",78.769,80.554,82.857,85.57,88.743,92.292,96.051,100,102.691,104.328,105.879
"10","2","        Equipment and software","kcntotl1eq000",66.046,68.837,72.311,76.404,81.335,87.008,93.419,100,103.91,106.498,109.298
"11","3","        Structures","kcntotl1st000",88.096,89.028,90.368,91.98,93.819,95.84,97.782,100,101.925,102.984,103.789
"12",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"By selected industry group:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","4","  Farms","kcn110c1es000",96.887,96.693,96.765,97.207,98.625,100.075,99.677,100,100.34,100.943,101.515
"15","5","    Equipment and software","kcn110c1eq000",88.59,89.186,90.584,92.34,96.448,100.413,99.653,100,101.199,103.249,105.597
"16","6","    Structures","kcn110c1st000",102.744,101.972,101.086,100.584,100.114,99.852,99.692,100,99.812,99.541,99.043
"17","7","  Manufacturing","kcn31gd1es000",77.711,79.621,82.65,86.64,90.861,94.685,97.45,100,101.386,101.495,101.851
"18","8","    Equipment and software","kcn31gd1eq000",73.314,75.745,79.376,83.931,88.908,93.721,97.077,100,101.182,101.454,102.334
"19","9","    Structures","kcn31gd1st000",86.39,87.203,88.973,91.793,94.502,96.434,98.112,100,101.739,101.572,101.062
"20","10","  Nonfarm nonmanufacturing","kcnnoma1es000",78.255,80.092,82.35,84.919,87.972,91.553,95.656,100,103.016,104.963,106.764
"21","11","    Equipment and software","kcnnoma1eq000",62.794,65.769,69.269,73.308,78.251,84.266,91.963,100,104.922,108.299,111.754
"22","12","    Structures","kcnnoma1st000",87.715,88.722,90.104,91.675,93.514,95.63,97.677,100,102.023,103.254,104.237
"23",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"By legal form of organization:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","13","  Corporate","kcntotl2es000",76.469,78.506,81.146,84.239,87.722,91.326,95.541,100,102.965,104.68,106.278
"26","14","    Equipment and software","kcntotl2eq000",65.139,68.098,71.797,76.121,81.191,86.408,93.104,100,104.008,106.563,109.259
"27","15","    Structures","kcntotl2st000",86.741,87.809,89.368,91.247,93.241,95.413,97.524,100,102.155,103.24,104.027
"28",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"    By corporate industry group:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","16","      Farms","kcn110c2es000",72.956,75.117,78.565,83.119,88.842,94.422,96.863,100,102.585,105.426,108.189
"31","17","        Equipment and software","kcn110c2eq000",61.641,64.754,69.912,76.467,85.057,93.467,96.371,100,103.326,107.241,111.374
"32","18","        Structures","kcn110c2st000",90.273,90.893,91.624,93.026,94.36,95.761,97.539,100,101.602,103.044,104.028
"33","19","      Manufacturing","kcn31gd2es000",77.957,79.859,82.874,86.841,91.007,94.774,97.492,100,101.348,101.411,101.719
"34","20","        Equipment and software","kcn31gd2eq000",73.65,76.061,79.669,84.187,89.097,93.842,97.139,100,101.115,101.316,102.12
"35","21","        Structures","kcn31gd2st000",86.453,87.279,89.06,91.884,94.564,96.463,98.119,100,101.747,101.581,101.071
"36","22","      Nonfarm nonmanufacturing","kcnnoma2es000",76.147,78.215,80.762,83.645,86.957,90.511,95.083,100,103.338,105.423,107.308
"37","23","        Equipment and software","kcnnoma2eq000",62.128,65.26,68.969,73.2,78.291,83.646,91.602,100,105.083,108.506,111.895
"38","24","        Structures","kcnnoma2st000",86.764,87.868,89.4,91.15,93.052,95.265,97.441,100,102.214,103.47,104.436
"39",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"    By corporate financial and nonfinancial:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","25","      Financial","kcnfito2es000",69.177,71.369,74.094,78.15,83.069,88.948,95.242,100,102.975,104.463,105.808
"42","26","        Equipment and software","kcnfito2eq000",58.606,60.895,64.057,69.067,75.256,83.92,93.649,100,102.905,105.155,107.605
"43","27","        Structures","kcnfito2st000",79.598,81.621,83.796,86.738,90.284,93.449,96.625,100,103.03,103.911,104.385
"44","28","      Nonfinancial","kcnnofi2es000",77.498,79.512,82.139,85.096,88.376,91.661,95.583,100,102.964,104.71,106.344
"45","29","        Equipment and software","kcnnofi2eq000",66.11,69.171,72.95,77.168,82.067,86.773,93.024,100,104.168,106.768,109.499
"46","30","        Structures","kcnnofi2st000",87.697,88.637,90.114,91.851,93.64,95.68,97.646,100,102.037,103.149,103.979
"47",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","31","  Noncorporate","kcntotl3es000",86.476,87.387,88.536,89.946,92.072,95.433,97.701,100,101.811,103.2,104.604
"49","32","    Equipment and software","kcntotl3eq000",71.866,73.571,75.597,78.2,82.232,90.824,95.418,100,103.29,106.082,109.54
"50","33","    Structures","kcntotl3st000",91.26,91.873,92.701,93.686,95.161,96.829,98.377,100,101.391,102.394,103.238
"51",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"    By noncorporate industry group:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","34","      Farms","kcn110c3es000",100.011,99.505,99.132,99.033,99.887,100.8,100.037,100,100.055,100.376,100.672
"54","35","        Equipment and software","kcn110c3eq000",94.096,94.175,94.802,95.575,98.766,101.825,100.32,100,100.767,102.441,104.427
"55","36","        Structures","kcn110c3st000",103.8,102.91,101.887,101.224,100.601,100.198,99.875,100,99.66,99.244,98.621
"56","37","      Manufacturing","kcn31gd3es000",69.027,71.266,74.758,79.581,85.734,91.563,95.96,100,102.755,104.439,106.475
"57","38","        Equipment and software","kcn31gd3eq000",61.676,64.781,69.243,75.066,82.369,89.538,94.943,100,103.485,106.236,109.742
