"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"1","[Dollars]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2004 10:38:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","Price per unit of real gross value added of nonfinancial corporate business \1\","A455RD3",0.162,0.155,0.134,0.114,0.114,0.126,0.129,0.13,0.136,0.129,0.128,0.13,0.141,0.157,0.168,0.17,0.172,0.187,0.212,0.225,0.221,0.222,0.241,0.243,0.242,0.241,0.243,0.251,0.259,0.263,0.266,0.268,0.269,0.271,0.272,0.275,0.279,0.285,0.293,0.304,0.318,0.332,0.344,0.355,0.376,0.412,0.452,0.473,0.499,0.533,0.575,0.634,0.698,0.738,0.751,0.771,0.783,0.792,0.806,0.828,0.856,0.886,0.91,0.925,0.943,0.958,0.97,0.973,0.98,0.983,0.988,1,1.012,1.013,1.016
"9","2","Compensation of employees (unit labor cost)","A460RD3",0.104,0.1,0.09,0.079,0.077,0.079,0.08,0.08,0.087,0.083,0.081,0.08,0.085,0.096,0.105,0.108,0.111,0.126,0.138,0.142,0.139,0.137,0.151,0.156,0.159,0.158,0.154,0.163,0.169,0.172,0.171,0.175,0.175,0.174,0.173,0.174,0.175,0.182,0.189,0.197,0.21,0.224,0.228,0.236,0.251,0.281,0.297,0.311,0.328,0.354,0.39,0.433,0.465,0.492,0.492,0.5,0.512,0.525,0.532,0.541,0.563,0.587,0.601,0.616,0.623,0.621,0.628,0.623,0.626,0.643,0.652,0.672,0.688,0.679,0.67
"10","3","Unit nonlabor cost","A467RD3",0.03,0.033,0.035,0.04,0.041,0.04,0.035,0.032,0.032,0.034,0.03,0.028,0.026,0.025,0.023,0.024,0.029,0.033,0.037,0.038,0.041,0.039,0.041,0.043,0.043,0.044,0.043,0.046,0.048,0.052,0.05,0.052,0.053,0.053,0.053,0.052,0.051,0.052,0.054,0.059,0.063,0.072,0.075,0.076,0.079,0.092,0.104,0.103,0.108,0.114,0.125,0.145,0.167,0.184,0.184,0.183,0.187,0.194,0.192,0.195,0.211,0.22,0.232,0.227,0.226,0.227,0.23,0.225,0.226,0.226,0.229,0.237,0.257,0.256,0.253
