"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2004 10:25:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","B     Nonfarm industries","CNF0",45228,87952,64096,77856,109520,51584,60220,56292,76196,38656,59980,103480,41336,93048,59216,37708,-12948,-1932,-31488,-80496,-11884,14932,23304,24436,8668,-16232,-2796,4464,35248,61352,31772
"10","2","B Mining, utilities, and construction","CCMU0",360,4896,4288,-784,5932,6464,4504,8292,2552,716,-2256,-3152,3792,-2180,272,-8576,9696,13812,9832,9380,-56,-7192,-4360,-5308,-2568,-1780,1376,3812,-5156,-1980,5504
"11","3","B Manufacturing industries","C300",15192,23448,21768,23504,33100,19036,10816,9972,13304,7736,15460,29400,-2736,19824,3760,10680,-8636,-23920,-28496,-23772,-14456,-11716,1304,-4560,-12344,-15104,-20608,-13472,3172,9644,7224
