"","Table 6#17B# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2004 12:36:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Corporate profits before tax","A053RC0",35876,29607,43233,44788,40230,41683,39343,49884,50463,49080,42963,53756,51631,51569,57006,62079,69096,80150,86700,83547,92439,91371,80992,92863,107810,134849,147759,145542,179703,210414,246136,271921,253496,243742,198542,233898,268608,257435,245961,317605
"9","2","Domestic industries","E561RC0",34615,28482,41964,43044,38342,39885,37381,47530,47642,45988,40440,51038,48494,48253,53234,57998,64627,75444,82172,78772,86803,84776,73892,85008,98276,119951,130290,130911,163155,191301,223267,237310,218025,214063,165959,198839,232042,219330,206487,269593
"10","3","  Agriculture, forestry, and fishing","A3003C0",163,125,177,155,72,47,79,53,55,48,73,41,73,91,148,106,136,231,249,130,228,232,77,213,495,910,469,828,731,632,1252,1246,635,329,38,-129,192,-113,1553,1865
"11","4","    Farms","B3004C0",159,121,175,149,65,40,73,46,49,42,48,-6,22,30,60,35,75,161,162,71,140,128,0,94,304,755,290,684,472,381,933,872,412,79,-82,-192,-60,-307,928,868
"12","5","    Agricultural services, forestry, and fishing","B3005C0",4,4,2,6,7,7,6,7,6,6,25,47,51,61,88,71,61,70,87,59,88,104,77,119,191,155,179,144,259,251,319,374,223,250,120,63,252,194,625,997
"13","6","  Mining","A3006C0",1516,1035,1501,1459,1187,1027,1135,1441,1525,1296,1004,746,863,966,786,1084,1108,944,960,738,822,757,1068,969,788,1702,4185,4198,4076,3395,2447,3970,6409,2483,-2412,-3792,-2460,-5713,-5267,-1633
"14","7","    Metal mining","B3007C0",282,139,297,309,188,239,233,369,387,229,162,15,130,185,108,177,217,181,279,-65,77,98,194,-10,-20,307,394,35,175,-28,-83,304,246,16,-604,-361,-384,-892,-687,-526
"15","8","    Coal mining","J3008C0",444,166,247,201,131,90,48,120,216,194,138,86,91,124,92,146,196,187,181,171,155,122,437,271,182,316,1919,1763,1228,759,352,405,512,675,472,225,289,-88,304,449
"16","9","    Oil and gas extraction","B3009C0",652,601,788,764,701,533,665,717,692,699,568,502,463,506,430,505,394,343,257,366,342,260,237,447,367,630,1323,1928,2192,2129,1378,2325,4662,1089,-2618,-3974,-3046,-5247,-5527,-2575
"17","10","    Nonmetallic minerals, except fuels","B3010C0",138,129,169,185,167,165,189,235,230,174,136,143,179,151,156,256,301,233,243,266,248,277,200,261,259,449,549,472,481,535,800,936,989,703,338,318,681,514,643,1019
"18","11","  Construction","B3011C0",684,636,661,658,707,605,635,563,827,928,850,818,560,702,920,984,1283,1578,1701,1974,2082,2108,2058,2423,2316,2421,2457,2804,3356,4694,5853,6237,5987,4302,2853,2384,3193,5114,7811,11322
"19","12","  Manufacturing","E563RC0",18987,15107,24179,25260,21033,22685,20260,27402,26402,25053,19670,26739,24073,23094,26340,29526,32849,40378,43766,40072,44095,41016,31217,37391,45032,56967,61763,60007,77961,87352,100531,108409,96294,102144,70623,78437,93512,84464,54075,93794
"20","13","    Durable goods","E565RC0",9137,7710,13306,13957,11851,12754,10791,15555,14176,13884,9626,13926,11827,11138,14086,16325,18265,23562,24897,22031,24265,21893,13206,18237,24436,29646,27068,25211,35785,43743,51670,47676,28485,28207,9438,21410,39962,31762,27495,43896
"21","14","      Lumber and wood products","J3014C0",574,314,699,577,417,356,383,571,435,272,365,547,335,344,452,575,692,844,694,714,1227,1243,646,1012,1544,2538,1679,1141,2353,3110,4091,3907,1593,-29,-108,2038,2353,1603,2545,5029
"22","15","      Furniture and fixtures","J3015C0",180,137,247,221,206,174,166,260,271,230,169,218,182,200,251,278,319,430,433,424,487,498,348,382,537,505,417,429,610,764,934,945,883,922,895,1284,1344,1681,1841,1769
"23","16","      Stone, clay, and glass products","B3016C0",549,520,858,888,703,835,884,1266,1196,1060,993,1286,1037,962,956,1095,1170,1175,1049,867,1049,1140,827,1146,1414,1548,1261,1250,1927,2405,2938,2990,1850,1007,-1048,1322,2345,2792,3716,2784
"24","17","      Primary metal industries","J3017C0",1841,1399,2536,3156,1931,2554,1749,3114,3101,2921,1888,2383,2025,1568,1503,1985,2585,3194,3628,2801,2094,1855,1090,994,1756,3000,6800,3115,2819,1829,4364,5531,3726,3495,-4654,-4693,-257,-889,780,3654
"25","18","      Fabricated metal products","J3018C0",1044,709,1251,1432,1081,1112,979,1217,1253,1227,970,1124,876,1023,1209,1333,1507,2106,2563,2543,2572,2365,1586,1723,2372,3167,3915,3619,4540,5315,5803,6516,5299,5814,2874,3268,4997,4882,4950,6036
"26","19","      Machinery, except electrical","B3019C0",1664,1284,1895,2529,2324,2086,1746,1993,2469,2237,1521,2215,1863,1897,2386,2593,3328,4100,4796,4441,4599,4318,3541,3552,4665,5837,6090,6631,7843,10001,12050,11738,10050,10840,4848,4191,6345,5285,42,5165
"27","20","      Electric and electronic equipment","B3020C0",833,673,1407,1397,1469,1459,1217,1245,1287,1512,1290,1729,1304,1295,1464,1575,1671,2629,3179,3022,2973,2591,1478,2026,3025,3522,2251,2940,4098,6292,7438,6902,6749,6377,1950,3973,5727,3046,2962,6163
"28","21","      Motor vehicles and equipment","B3021C0",1637,2032,3274,2514,2414,2679,2100,4223,2417,2647,942,2924,2997,2509,4037,4893,4713,6179,5271,4074,5655,4994,1756,5256,6202,6165,1475,2467,7559,9731,9364,5344,-3570,987,117,5304,9350,7582,4579,3933
