"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"1","[Millions of chained (2000) dollars; quarters and months are seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1990 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 01, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/30/2004 2:19:38 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9",NA,"Real PCE by Major Type of Product (From NIPA table 2.3.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4757125,4772962,4792574,4758270,4738052,4779432,4800122,4795944,4874996,4903032,4951825,5009380,5027306,5071854,5127251,5172944,5230296,5267970,5305710,5358749,5367241,5411653,5458829,5496098,5544554,5604939,5640657,5687631,5749094,5775849,5870672,5931394,5996833,6092061,6165655,6248819,6311293,6409688,6476744,6556808,6661269,6703322,6767953,6824968,6853071,6870257,6900517,7017580,7049659,7099261,7149941,7194623,7242203,7311416,7401724,7466826,7543049,7572365,7666784
"11","2","Q1TDG1 A Durable goods","Q1TDG10",470901,455292,450466,437413,424644,426863,433614,426466,443145,446642,456363,465790,470366,486191,492079,505123,517279,523322,529055,547944,537274,543516,559694,570020,576149,595160,600081,612262,629926,627906,656689,673222,676217,707470,727162,770311,767419,803627,820729,826419,872797,851317,863809,865381,879531,878883,885565,958732,937779,947837,979297,973443,973236,1019985,1059586,1069678,1075462,1074685,1118232
"12","3","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",271772,258267,254603,239660,224227,222565,231980,227586,240178,242494,245787,251287,248002,259906,259535,269546,278042,274068,272113,280747,267679,268247,274702,278421,281428,285842,285915,288254,300765,290777,309396,317675,310289,333905,339974,371683,355094,380245,382475,371931,403270,376117,383167,383515,392648,388582,392725,449389,415086,418564,447132,433921,427972,451306,465627,463547,456667,449598,478737
"13","4","Q1FUR1 B   Furniture and household equipment","Q1FUR10",122168,120213,118983,118079,118770,121874,122609,121101,124606,125557,128858,132022,136196,139794,142773,145586,148712,154229,158813,165312,166166,169474,176076,181546,183201,192663,195636,201978,206387,212683,220171,225847,233460,238554,249033,257604,266140,275073,285650,296066,306671,311280,315898,317779,323796,328146,332238,343018,354411,360125,361173,367246,369346,385189,405030,414617,425641,433314,445320
"14","5","Q1TOD1 B   Other","Q1TOD10",94617,92237,91991,92075,90623,89969,88046,86366,88300,88687,91534,92380,94391,95789,98316,99411,100448,103095,104888,108548,108266,110148,112884,113452,114972,119210,120693,123637,124816,125084,128298,130927,132676,136187,138870,142497,146562,148950,152910,158371,162942,163858,164702,164101,163250,162601,161170,165645,169246,170264,170944,173152,177028,184364,190537,193969,196930,196816,198655
"15","6","Q1TND1 A Nondurable goods","Q1TND10",1483214,1486388,1491003,1475250,1474043,1485648,1486524,1475912,1500622,1498733,1508606,1532576,1530492,1544434,1559623,1566827,1582016,1596990,1610581,1626023,1627989,1636187,1642243,1648046,1657509,1677040,1686542,1700679,1710843,1711408,1736157,1742953,1765424,1787155,1799734,1825457,1849213,1867867,1873670,1915730,1917190,1944003,1954966,1972705,1975217,1974652,1986511,2010345,2029330,2033205,2030187,2056766,2082022,2090103,2125289,2152005,2187327,2188028,2213673
"16","7","Q1TFD1 B   Food","Q1TFD10",777563,787444,789877,782605,779691,786528,786426,780653,789489,780635,783096,798472,795225,799647,806169,807594,810814,821869,825237,829456,826634,826468,827291,827976,830714,835312,834156,838652,844684,841881,848755,845665,852872,862697,869571,877065,878425,889018,894476,912387,916134,925580,927754,931178,937136,938255,940577,945000,951392,958433,957970,965806,981442,988020,1002230,1008595,1028412,1034269,1044991
"17","8","Q1TCS1 B   Clothing and shoes","Q1TCS10",191033,188053,187749,185781,187847,190807,190021,186335,194186,197332,201420,203965,203066,206883,208619,210962,215454,215011,218628,224904,224070,225669,229771,230021,232132,237833,241641,243171,242918,240831,248467,251653,258262,263204,262132,268786,278903,282261,284672,284872,291272,296384,301103,302091,300531,301755,302874,309832,316426,316221,312940,321198,320600,327093,334941,338186,351181,346459,351654
"18","9","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",159566,158737,160483,155001,154382,156701,158616,157203,159476,163212,163832,164676,164115,166084,169082,168249,170496,169496,170182,168504,172740,174206,172311,172634,175273,176665,176590,176186,177163,179758,180478,181238,184908,185533,185194,189558,193179,193540,188891,195059,191551,190163,189062,195151,196428,188372,191072,197690,197830,193676,193378,199302,199517,192056,194559,203252,202098,195047,196715
"19","10","Q1GAO1 B     Gasoline and oil","Q1GAO10",144010,141238,142014,140108,138636,140553,141155,140788,143428,144958,147539,147909,147272,149459,151419,150513,151266,152376,151958,151031,155171,155343,153831,153511,155812,158573,158377,158812,161010,162686,163251,164145,169310,168899,169125,173796,177049,176525,172297,179218,176719,174423,172975,178505,180413,173515,176051,183051,183311,178424,178022,183042,184525,177804,179113,186389,185995,179020,180234
"20","11","Q1FUL1 B     Fuel oil and coal","Q1FUL10",15758,17644,18632,14951,15844,16266,17657,16569,16158,18482,16376,16881,16976,16731,17807,17890,19465,17246,18430,17604,17655,19094,18683,19377,19713,18219,18341,17456,16193,17127,17288,17150,15599,16651,16098,15792,16135,17062,16648,15788,14803,15744,16105,16651,16038,14875,15021,14693,14574,15272,15369,16268,15036,14305,15459,16857,16115,16054,16515
"21","12","Q1TON1 B   Other","Q1TON10",362125,360185,361320,360303,359674,358672,358917,359828,364198,363654,365493,370837,373533,376800,381047,384723,389439,395072,400496,405825,407929,413253,415363,419983,422045,429377,435931,444436,448075,451602,460491,466379,471350,477222,484261,491753,500391,504270,505746,523991,518364,531894,537052,544123,540787,546041,551748,558398,564387,564728,565464,570680,579851,582808,593641,602055,606648,613378,621755
