"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"1","[Billions of dollars; months seasonally adjusted at annual rates]                                                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 2001 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 31, 2005  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2005 2:54:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"9","1","    Wage and salary disbursements","A576RC1",4945.8,4965.9,4971.5,4953,4949.3,4951.9,4948.2,4940.3,4917.2,4916.4,4921.8,4932.2,4944.1,4953.6,4971,4970.2,4976.2,4994.6,4972.4,4982.3,4988.8,4984.4,4986,4991.6,5004.6,5025.4,5040.1,5045.2,5077.6,5097.2,5109.4,5131.2,5145.3,5167.1,5202.4,5197.3,5221.4,5241.3,5254.8,5290.8,5325,5322.7,5353.6,5375.1,5396.5,5427.8,5439.4,5462.5
"10","2","Private industries","A132RC1",4152.3,4167.1,4169.7,4147.7,4140.6,4138.4,4130.4,4117.9,4090.8,4085.4,4086.5,4096.2,4097.5,4102.4,4116.8,4113.9,4115.9,4131.9,4109.5,4114.4,4119.3,4112.6,4112.9,4116.8,4120.7,4136.9,4149.2,4151.8,4181,4194,4209.3,4229.2,4244,4264.8,4298.1,4288.7,4306.7,4324,4334.8,4365.6,4403,4399.5,4427.8,4446.4,4466.3,4496.1,4505.3,4525.3
"11","3","  Goods-producing industries","N231RC1",1076,1077.6,1080.1,1064.4,1055,1046.4,1043.4,1028.6,1021.8,1014.7,1011.6,1012.1,1011.1,1012.6,1017.2,1014.3,1015.9,1018.3,1013.4,1009.6,1007.9,1000.9,999.6,1001.4,999.5,999.5,999.6,994.9,1000.7,1003.4,999.9,1005.5,1012.1,1018.1,1029.9,1028.7,1019.8,1018.2,1018.9,1028.2,1038.7,1037.9,1040,1047.6,1051.4,1054.9,1056.9,1061
"12","4","    Manufacturing","N552RC1",748.4,746.5,746.2,731.2,718.5,708.1,704.8,690.1,683.9,678.2,675.1,674.1,672.2,672.6,678.1,678.8,682.2,685.3,679.9,676.1,674.1,668.5,667.3,667.5,665.2,666.5,665.4,660,664.5,665.7,662.2,665.6,669.9,673.8,683.8,682.7,671.9,669.9,668,675.3,683.5,682.6,683.7,689.1,690.8,690.4,691.2,693.8
"13","5","  Services-producing industries","N233RC1",3076.3,3089.4,3089.6,3083.3,3085.6,3091.9,3087,3089.2,3069,3070.6,3074.9,3084.1,3086.4,3089.8,3099.6,3099.6,3100,3113.6,3096.1,3104.7,3111.4,3111.6,3113.3,3115.4,3121.2,3137.4,3149.6,3156.8,3180.2,3190.6,3209.4,3223.7,3231.9,3246.8,3268.3,3260,3286.9,3305.8,3316,3337.4,3364.3,3361.6,3387.8,3398.8,3414.8,3441.2,3448.4,3464.3
"14","6","    Trade, transportation, and utilities","N234RC1",855.4,855.1,855.9,848.7,847.7,847.8,842.9,841,837.3,834.4,834.9,834.6,837.7,837.4,842.3,841.8,845,848.4,846,845.8,847.1,843.2,844.1,844.5,845.2,849,851.6,850.3,853.7,854.8,856.7,861.7,863.7,871.1,874.7,870,871.2,872.5,873.4,883.1,888.3,887.1,895.7,897.3,903.8,906.4,907.4,911
"15","7","    Other services-producing industries \1\","N235RC1",2220.9,2234.3,2233.7,2234.6,2237.9,2244.2,2244.2,2248.2,2231.7,2236.2,2240.1,2249.6,2248.7,2252.4,2257.2,2257.8,2255,2265.3,2250.1,2258.9,2264.3,2268.5,2269.2,2271,2276,2288.3,2298,2306.5,2326.5,2335.8,2352.7,2362,2368.1,2375.6,2393.6,2389.9,2415.6,2433.2,2442.6,2454.3,2475.9,2474.5,2492.1,2501.5,2511.1,2534.7,2541,2553.3
"16","8","Government","B202RC1",793.5,798.9,801.8,805.3,808.7,813.5,817.8,822.4,826.4,831,835.3,836,846.6,851.2,854.3,856.2,860.3,862.7,862.9,868,869.5,871.8,873.1,874.8,883.9,888.5,890.9,893.4,896.7,903.2,900.1,902,901.3,902.2,904.3,908.6,914.7,917.3,920,925.2,922,923.2,925.8,928.7,930.2,931.7,934,937.2
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
