"","Table 6#19D# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2005 8:27:26 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","      Corporate profits after tax","A055RC0",469960,517242,508226,503780,574177,639556
"9","2","Domestic industries","A3202C0",367010,395729,362523,334083,416397,462644
"10","3","  Agriculture, forestry, fishing, and hunting","N3203C0",185,1397,1109,981,346,-141
"11","4","    Farms \1\","N3204C0",-436,492,405,462,NA,NA
"12","5","    Forestry, fishing, and related activities","N3205C0",621,905,704,519,NA,NA
"13","6","  Mining","N3206C0",3008,2341,12259,13204,3622,14830
"14","7","    Oil and gas extraction","N3207C0",1514,3525,11799,11608,NA,NA
"15","8","    Mining, except oil and gas","N3208C0",891,1063,864,419,NA,NA
"16","9","    Support activities for mining","N3209C0",603,-2247,-404,1177,NA,NA
"17","10","  Utilities","N3210C0",18938,17693,13786,15325,6649,11722
"18","11","  Construction","N3211C0",30911,36205,36972,39274,36501,35261
"19","12","  Manufacturing","N3212C0",79189,75349,75647,-592,12456,21192
"20","13","    Durable goods","N3213C0",40807,34725,26585,-40620,-19448,-17131
"21","14","      Wood products","N3214C0",2976,4453,2374,1768,NA,NA
"22","15","      Nonmetallic mineral products","N3215C0",4984,5757,4365,2800,NA,NA
"23","16","      Primary metals","N3216C0",3291,739,281,-3409,NA,NA
"24","17","      Fabricated metal products","N3217C0",12509,12561,12517,7285,NA,NA
"25","18","      Machinery","N3218C0",10250,8251,5548,1078,NA,NA
"26","19","      Computer and electronic products","N3219C0",-8777,-17745,-10111,-49305,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3220C0",3257,3751,2818,351,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3221C0",1037,2238,-3996,-10341,NA,NA
"29","22","      Other transportation equipment","N3222C0",4089,6661,5324,4209,NA,NA
"30","23","      Furniture and related products","N3223C0",2626,2806,2303,1234,NA,NA
"31","24","      Miscellaneous manufacturing","N3224C0",4565,5253,5162,3710,NA,NA
"32","25","    Nondurable goods","N3225C0",38382,40624,49062,40028,31904,38323
"33","26","      Food and beverage and tobacco products","N3226C0",12131,16726,15875,18217,NA,NA
"34","27","      Textile mills and textile product mills","N3227C0",1840,1478,655,-568,NA,NA
"35","28","      Apparel and leather and allied products","N3228C0",1777,1273,2039,1643,NA,NA
"36","29","      Paper products","N3229C0",3029,4084,6040,-33,NA,NA
"37","30","      Printing and related support activities","N3230C0",3978,3937,3278,2538,NA,NA
"38","31","      Petroleum and coal products","N3231C0",-697,-1271,16500,19499,NA,NA
"39","32","      Chemical products","N3232C0",11279,9561,2632,-1948,NA,NA
"40","33","      Plastics and rubber products","N3233C0",5045,4836,2043,680,NA,NA
"41","34","  Wholesale trade","N3234C0",35153,42773,48324,39212,43118,39521
"42","35","    Durable goods","N3235C0",21491,26313,29550,20419,NA,NA
