"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"1","[Billions of chained (2000) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1990 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 25, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2005 10:34:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Private fixed investment","A007RX1",913.5,892.4,882.7,857.6,828.2,827,829.7,831.3,839.9,873,886.3,914,919.1,939.7,956.3,998.7,1011.6,1036,1046.4,1075.1,1099.6,1095.5,1110.1,1133.3,1161.8,1199.7,1227.4,1247.8,1272,1299.4,1349.6,1361.4,1402.4,1444.5,1465.1,1507.7,1531,1568.6,1598.6,1606.9,1651.1,1689.1,1686.4,1689.4,1678.2,1640.5,1621.9,1577,1559.6,1545.9,1546.6,1543.5,1552.7,1593.4,1660.6,1702.7,1721.4,1778.3,1816.1,1858.5
"10","2","Nonresidential","A008RX1",603.9,593.5,597.2,585.8,570.7,565.3,559.9,556.9,554.5,576.5,588.2,606,609.6,625.9,632.8,659.3,665.9,679.3,692,722.6,752.1,757.4,762.5,777.9,797.1,820,847.3,870.1,892.2,914.3,961.1,969,1001.6,1032.5,1042.4,1074.7,1094,1127.3,1154.4,1157.3,1196.7,1238.6,1245.2,1247.9,1234.4,1190.2,1169.3,1128.2,1099.8,1072.4,1069.5,1060.9,1060.5,1090.6,1131.1,1161,1173,1207.9,1245.3,1286.7
"11","3","  Structures","B009RX1",279.9,278.5,277.5,265,259.2,252.2,235.8,231,228.2,228.2,230.3,233.1,226.9,226.6,227.7,231.9,222.4,235,234.7,237.1,243.1,247.9,249.8,247.7,252.1,257.6,260.7,273.8,276.2,273.7,284.2,286.3,286.7,298,295.5,297.6,292,294.1,291.8,294.8,299.9,312.5,319.7,320.6,313.8,310.6,315.1,284.9,270.7,253.9,243,238.9,230.7,238.7,237.9,242.4,237.7,241.7,241,241.8
"12","4","    Commercial and health care","W001RX1",124.8,121.4,120.3,111.8,101.2,97.3,89.6,83.4,84.5,85.2,86.8,89,89.3,89.8,88.5,92,87.7,96.9,96,95.8,99,100.3,100.1,99.3,99.6,106,109.4,114.5,119.4,114.6,120.9,119.4,120.8,126.7,124.7,129.5,128.4,129.5,129.9,129.9,130.8,136.7,140.8,141.9,140.8,135.4,126.1,118.9,115.3,111.3,107.7,104.7,101.6,102.9,102.8,101.2,98.8,103.6,103.2,100.9
