"","Table 6#14A# Inventory Valuation Adjustment to Nonfarm Incomes b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2005 10:54:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","1","    Inventory valuation adjustment to nonfarm incomes","A1830C0",614,4015,3025,1342,-2668,-679,-277,-858,-60,1184,-880,-245,-3086,-1571,-929,-356,-670,-6968,-7370
"9","2","Corporate business","B058RC0",472,3260,2414,1047,-2143,-625,-227,-738,-31,963,-714,-200,-2471,-1204,-773,-287,-564,-5263,-5899
"10","3","  Mining","B1831C0",5,122,64,23,-67,-4,-9,-16,0,11,-12,1,-17,-3,-3,-3,-4,-75,-70
"11","4","  Contract construction","B1832C0",3,30,23,11,-22,0,-1,-3,-7,4,-4,-6,-14,-3,-4,-5,-3,-39,-109
"12","5","  Manufacturing","A672RC0",301,2215,1585,655,-1340,-457,-161,-478,-11,619,-471,-135,-1511,-726,-552,-206,-413,-3041,-3737
"13","6","    Durable goods","A674RC0",7,733,494,191,-378,-144,-42,-113,-402,174,-86,-107,-306,-147,-41,-35,-164,-1266,-2039
"14","7","    Nondurable goods","A673RC0",294,1482,1091,464,-962,-313,-119,-365,391,445,-385,-28,-1205,-579,-511,-171,-249,-1775,-1698
"15","8","  Transportation and public utilities","A676RC0",11,89,79,40,-87,-21,-8,-15,-47,20,-8,-23,-50,-17,-24,-18,-33,-227,-355
"16","9","    Transportation","C528RC0",7,53,46,24,-52,-12,-5,-9,-28,11,-5,-14,-30,-10,-14,-12,-22,-144,-213
"17","10","    Communication","C529RC0",1,8,8,4,-8,-2,-1,-1,-4,2,-1,-2,-5,-2,-2,-1,-2,-19,-35
"18","11","    Electric, gas, and sanitary services","C530RC0",3,28,25,12,-27,-7,-2,-5,-15,7,-2,-7,-15,-5,-8,-5,-9,-64,-107
"19","12","  Wholesale trade","C526RC0",78,432,315,140,-281,-128,-7,-162,107,158,-121,7,-477,-206,-119,-21,-73,-927,-853
"20","13","  Retail trade and automobile services","C527RC0",74,372,348,178,-346,-15,-41,-64,-73,151,-98,-44,-402,-249,-71,-34,-38,-954,-775
"21","14","  Other","B1833C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","15","Noncorporate business","B179RC0",142,755,611,295,-525,-54,-50,-120,-29,221,-166,-45,-615,-367,-156,-69,-106,-1705,-1471
"23","16","  Mining","B1834C0",1,14,6,2,-4,-1,-1,-1,0,1,-1,0,-2,0,-1,0,-1,-13,-14
"24","17","  Contract construction","B1835C0",3,22,18,9,-17,0,-1,-3,-5,3,-3,-7,-12,-4,-4,-3,-3,-40,-109
"25","18","  Manufacturing","A1836C0",12,85,60,36,-66,-5,-7,-13,15,18,-28,-4,-73,-45,-27,-15,-22,-221,-225
"26","19","    Durable goods","B1837C0",-2,25,19,7,-16,-1,0,-4,-6,3,-6,-8,-14,-10,-5,-7,-8,-71,-132
"27","20","    Nondurable goods","B1838C0",14,60,41,29,-50,-4,-7,-9,21,15,-22,4,-59,-35,-22,-8,-14,-150,-93
"28","21","  Wholesale trade","B1839C0",27,149,104,43,-76,-32,-1,-39,33,47,-38,3,-148,-69,-49,-10,-32,-339,-252
"29","22","  Retail trade and automobile services","B1840C0",99,485,423,205,-362,-16,-40,-64,-72,152,-96,-37,-380,-249,-75,-41,-48,-1092,-871
"30","23","  Other","B1841C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
