"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2005     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/4/2005 8:51:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","      Government consumption expenditures \1\","A955RA3",7.27,7.744,8.041,8.062,8.249,9.111,9.263,10.062,9.938,10.56,11.463,12.093,17.138,37.291,59.464,71.803,68.552,28.319,23.225,23.798,25.354,25.206,32.733,39.014,41.513,38.5,37.722,37.726,39.749,40.292,40.794,41.313,42.68,45.556,47.163,48.247,49.947,54.364,58.959,61.729,62.619,61.786,61.638,61.926,61.317,62.568,64.031,64.177,65.431,66.752,67.407,68.589,69.803,71.453,73.501,74.656,78.809,83.082,84.532,85.972,87.935,90.129,91.286,91.694,91.419,91.68,91.87,92.21,93.849,95.349,98.306,100,103.101,107.499,110.709,113.057
"9","2","        Gross output of general government","W101RA3",6.949,7.458,7.765,7.75,8.471,9.907,10.125,12.014,11.267,12.484,13.051,13.196,17.419,34.85,54.176,65.508,64.205,28.447,21.703,22.108,23.524,23.58,30.394,35.815,38.039,35.489,35.231,35.045,37.087,37.713,38.253,38.708,40.009,42.771,44.428,45.563,47.347,51.63,55.768,58.484,59.424,58.835,59.005,59.722,59.386,60.584,61.772,62.001,63.302,64.759,65.689,66.787,68.006,69.605,71.585,72.684,76.592,80.606,82.051,83.521,85.519,87.634,88.991,89.7,89.86,90.577,90.969,91.492,93.186,95.059,97.801,100,103.571,107.77,110.837,113.445
"10","3","          Value added","W102RA3",12.794,13.395,13.633,13.451,14.197,16.027,17.086,20.004,19.076,20.577,20.968,21.963,26.998,41.294,67.832,82.232,82.521,44.769,35.295,33.805,33.687,34.15,40.793,44.216,45.03,45.058,45.218,46.05,47.01,47.467,48.107,49.755,51.505,53.521,55.118,57.005,58.932,62.609,65.93,68.504,70.241,70.504,70.619,70.478,70.792,72.231,73.399,74.033,74.808,76.242,77.056,78.164,78.592,79.393,79.904,80.894,83.209,85.257,87.121,89.384,91.515,93.854,94.831,95.146,95.348,95.359,95.418,95.564,96.298,97.327,98.302,100,101.845,103.819,105.299,106.182
"11","4","            Compensation of general government employees","A194RA3",17.162,17.97,18.185,17.791,18.853,21.576,23.047,27.381,25.736,27.848,28.215,29.49,36.197,53.922,86.613,99.351,94.965,42.104,31.95,32.531,34.106,35.914,45.475,49.262,49.173,48.316,48.153,49.085,50.179,50.593,51.05,52.825,54.794,56.934,58.522,60.583,62.766,67.197,70.99,73.872,75.854,76.067,76.336,76.391,76.931,78.776,80.137,80.739,81.514,83.126,83.873,84.906,85.046,85.612,85.679,86.175,88.149,89.701,91.051,93,94.811,96.854,97.334,97.164,97.01,96.758,96.591,96.488,97.026,97.855,98.504,100,101.686,103.533,104.898,105.51
"12","5","            Consumption of general government fixed capital \2\","A265RA3",3.596,3.765,3.961,4.121,4.242,4.4,4.634,4.922,5.165,5.461,5.774,6.132,7.601,13.221,24.004,36.28,43.505,41.603,35.287,30.202,26.932,24.702,24.579,26.695,29.112,30.9,31.696,32.186,32.709,33.186,34.128,35.24,36.218,37.647,39.037,40.233,41.241,42.451,44.083,45.498,46.338,46.72,46.353,45.602,45.15,45.178,45.64,46.318,47.027,47.768,48.737,50.007,51.346,52.853,54.815,57.491,60.98,64.892,68.771,72.281,75.729,79.315,82.509,85.066,86.962,88.245,89.393,90.761,92.477,94.532,97.212,100,102.719,105.411,107.578,110.131
"13","6","          Intermediate goods and services purchased \3\","W104RA3",2.202,2.52,2.781,2.859,3.406,4.306,4.024,4.916,4.439,5.225,5.763,5.409,8.167,22.599,33.062,39.86,37.75,10.008,6.63,8.643,11.199,10.893,16.804,23.15,26.326,21.807,21.208,20.111,22.894,23.6,23.998,23.135,23.828,27.166,28.757,28.935,30.427,35.15,40.026,42.763,42.643,40.955,41.197,43.13,41.84,42.669,43.854,43.507,45.521,46.978,48.046,49.095,51.319,53.938,57.886,59.114,65.293,72.237,73.01,73.204,74.965,76.699,78.665,80.027,80.115,82.049,83.021,84.198,87.572,90.945,96.893,100,106.711,115.062,121.147,127.052
"14","7","            Durable goods","W105RA3",1.343,1.356,1.484,1.354,2.037,3.253,3.593,5.015,4.447,5.533,5.477,5.053,21.907,105.089,192.18,209.064,228.846,10.219,6.879,12.135,14.228,22.372,49.762,86.029,95.972,71.017,60.539,57.752,60.871,62.818,46.236,40.164,34.367,42.207,43.351,38.648,41.187,56.352,55.614,63.296,55.292,51.399,41.823,51.135,49.141,45.288,46.867,44.641,52.573,57.351,61.176,63.308,70.87,76.094,87.982,90.001,96.016,102.724,108.638,111.716,109.923,108.247,105.943,99.859,94.789,87.698,85.3,86.327,89.256,92.603,97.852,100,103.565,106.863,111.044,119.341
"15","8","            Nondurable goods","W106RA3",3.733,4.46,5.05,5.362,6.22,7.734,6.994,8.885,7.913,9.525,10.984,10.122,11.019,29.554,37.05,44.909,32.411,8.965,7.97,10.531,16.493,12.334,14.601,17.962,29.789,24.215,20.059,14.813,16.165,17.582,26.561,21.087,20.974,26.61,25.72,26.955,28.919,31.158,41.854,47.94,49.832,43.133,43.026,45.041,41.081,41.752,42.789,44.642,47.41,48.654,48.532,49.274,52.764,51.528,54.318,52.445,57.374,66.32,62.278,57.957,65.435,65.847,68.926,71.365,73.664,76.208,78.106,80.222,84.041,89.837,94.962,100,107.005,113.764,115.219,118.582
"16","9","            Services","W107RA3",1.445,1.607,1.731,1.743,2.08,2.587,2.428,2.774,2.551,2.897,3.123,3.004,4.152,6.334,7.079,11.892,12.965,10.152,5.564,6.725,7.509,7.917,12.154,15.236,13.414,12.572,15.144,16.264,19.6,19.781,19.047,21.243,23.434,24.984,27.764,28.324,29.441,33.532,36.858,37.414,37.729,38.369,40.292,41.066,40.92,42.501,43.689,42.628,43.411,44.46,45.652,46.689,47.472,51.61,54.902,57.405,64.163,70.376,72.202,73.676,73.795,76.49,78.593,80.534,80.506,83.382,84.456,85.319,88.589,91.153,97.451,100,106.946,116.369,124.222,130.788
