"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 31, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/30/2005 9:48:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","Gross domestic product","A191RA3",8.813,8.054,7.537,6.557,6.473,7.173,7.812,8.828,9.281,8.961,9.684,10.534,12.337,14.622,17.021,18.402,18.196,16.19,16.039,16.738,16.651,18.104,19.507,20.254,21.183,21.039,22.541,22.979,23.44,23.217,24.868,25.484,26.077,27.658,28.868,30.545,32.506,34.625,35.496,37.208,38.356,38.422,39.713,41.815,44.224,44.001,43.916,46.256,48.391,51.085,52.699,52.579,53.904,52.86,55.249,59.22,61.666,63.804,65.958,68.684,71.116,72.451,72.329,74.734,76.731,79.816,81.814,84.842,88.658,92.359,96.469,100,100.751,102.362,105.13,109.562
"9","2","Plus: Income receipts from the rest of the world","B645RA3",3.198,3.026,2.455,1.907,1.615,1.484,1.715,1.882,2.298,2.084,2.248,1.968,2.238,2.06,2.016,2.164,2.048,2.34,3.055,3.636,3.521,3.889,4.683,4.807,4.688,4.96,5.539,6.028,6.341,5.632,6.027,6.784,7.289,7.964,8.625,9.399,9.956,9.857,10.289,11.42,12.693,13.124,13.557,15.07,20.439,23.954,20.582,22.353,24.071,27.765,37.784,40.221,42.536,43.958,42.654,49.281,44.02,42.491,45.357,53.986,60.479,61.541,53,46.696,46.499,54.197,66.434,69.339,78.578,78.085,85.911,100,82.613,77.155,84.966,100.245
"10","3","Less: Income payments to the rest of the world","A655RA3",1.181,1.102,0.914,0.672,0.6,0.635,0.692,1.133,1.19,0.891,1.003,1.019,0.929,0.835,1,1.114,1.235,0.963,0.987,1.081,1.229,1.35,1.478,1.505,1.594,1.604,1.761,1.832,1.888,1.927,2.265,2.626,2.637,2.667,2.944,3.267,3.569,3.969,4.226,4.918,6.556,7.102,6.728,7.761,10.374,12.424,12.033,11.842,12.106,16.351,22.2,25.082,30.069,30.865,29.973,38.271,37.289,39.431,42.989,50.556,57.363,55.953,48.363,41.648,41.24,51.935,62.824,66.562,77.605,80.564,85.63,100,79.477,77.127,75.773,97.016
"11","4","Equals: Gross national product","B001RA3",8.854,8.095,7.566,6.579,6.488,7.181,7.824,8.83,9.293,8.976,9.699,10.537,12.348,14.624,17.012,18.391,18.178,16.194,16.067,16.782,16.685,18.143,19.566,20.314,21.234,21.098,22.611,23.063,23.531,23.283,24.933,25.562,26.17,27.769,28.99,30.678,32.643,34.738,35.614,37.338,38.474,38.537,39.852,41.967,44.477,44.314,44.12,46.523,48.705,51.384,53.167,53.04,54.279,53.265,55.627,59.551,61.825,63.826,65.959,68.743,71.18,72.598,72.411,74.796,76.793,79.792,81.878,84.876,88.652,92.216,96.437,100,100.788,102.264,105.37,109.637
"12","5","Less: Consumption of fixed capital","A262RA3",6.291,6.464,6.459,6.313,6.118,5.991,5.972,6.076,6.259,6.373,6.449,6.626,7.031,7.887,9.284,10.903,11.926,12.018,11.725,11.631,11.685,11.869,12.298,12.879,13.576,14.211,14.737,15.234,15.709,16.298,16.375,17.058,17.565,18.101,18.954,19.637,20.647,21.967,23.011,24.036,25.449,26.433,27.077,28.6,29.969,31.433,32.364,33.405,34.975,36.938,38.867,40.346,41.637,43.28,44.738,47.246,50.12,51.54,53.843,55.735,58.733,60.956,63.763,66.049,67.376,71.433,74.173,77.572,82.332,87.644,93.712,100,107.354,108.399,111.127,117.153
"13","6","        Private","A024RA3",7.278,7.458,7.406,7.181,6.903,6.703,6.627,6.695,6.874,6.952,6.979,7.129,7.358,7.375,7.188,7.106,7.202,7.597,8.214,8.854,9.383,9.898,10.395,10.75,11.201,11.665,12.144,12.629,13.085,13.678,13.616,14.221,14.641,15.032,15.794,16.385,17.379,18.703,19.644,20.592,22.073,23.127,23.902,25.764,27.401,29.081,30.063,31.145,32.846,34.997,37.062,38.552,39.812,41.457,42.82,45.303,48.085,49.095,51.15,52.78,55.693,57.712,60.45,62.669,63.859,68.344,71.375,75.122,80.436,86.347,93.044,100,108.147,109.004,111.797,118.487
"14","7","        Government","A264RA3",3.732,3.924,4.139,4.323,4.455,4.608,4.827,5.11,5.364,5.667,5.985,6.342,7.663,12.603,22.045,32.767,39.049,37.397,31.913,27.536,24.748,22.888,22.852,24.779,26.944,28.574,29.34,29.853,30.402,30.911,31.839,32.943,33.935,35.314,36.656,37.846,38.882,40.104,41.701,43.127,44.066,44.596,44.469,44.038,43.897,44.18,44.831,45.637,46.444,47.279,48.36,49.729,51.169,52.756,54.723,57.325,60.67,64.381,68.047,71.393,74.813,78.148,81.289,83.911,85.98,87.641,88.778,90.301,92.108,94.274,97.1,100,103.379,105.357,107.765,110.525
"15","8","          General government","A265RA3",3.596,3.765,3.961,4.121,4.242,4.4,4.634,4.922,5.165,5.461,5.774,6.132,7.601,13.221,24.004,36.28,43.505,41.603,35.287,30.202,26.932,24.702,24.579,26.695,29.112,30.9,31.696,32.186,32.709,33.186,34.128,35.24,36.218,37.647,39.037,40.233,41.241,42.451,44.083,45.498,46.338,46.72,46.353,45.602,45.15,45.178,45.64,46.318,47.027,47.768,48.737,50.007,51.346,52.853,54.815,57.491,60.98,64.892,68.771,72.281,75.729,79.315,82.509,85.066,86.962,88.245,89.393,90.761,92.477,94.532,97.212,100,102.719,105.411,107.578,110.131
"16","9","          Government enterprises","A266RA3",5.555,5.999,6.429,6.86,7.106,7.247,7.374,7.658,8.057,8.476,8.897,9.328,9.709,9.919,9.957,9.953,9.855,9.89,10.008,10.361,10.758,11.333,11.866,12.582,13.132,13.758,14.337,15.002,15.726,16.449,17.3,18.374,19.483,20.566,21.627,22.818,24.074,25.412,26.815,28.356,29.98,31.502,32.952,34.578,36.427,38.336,40.164,41.747,43.147,44.557,46.306,48.263,50.304,52.365,54.376,56.537,59.032,61.554,63.983,66.376,69.642,71.543,74.386,77.384,80.447,84.272,85.344,87.754,90.079,92.859,96.488,100,106.951,105.11,108.79,112.647
