"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 31, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/30/2005 8:07:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","      National income without capital consumption adjustment","A422RC1",8893.9,8904.8,8787.2,8833.6,8911.9,8991.4,9031.3,9119.4,9244.5,9351.3,9504.3,9679,9829.2,9948,10005.3,10300.3,10719.6,10903.4
"10","2","Domestic industries","A423RC1",8855.1,8860.3,8770.5,8759,8885.7,8974.8,9001.7,9069.4,9199.5,9284.5,9437,9585.7,9746.2,9901.2,9956.8,10263.5,10680.2,10870.4
"11","3","  Private industries","A736RC1",7823.9,7816.9,7710.4,7682.3,7779.1,7855.1,7866.7,7918,8018.6,8092.5,8233.8,8374.1,8508.3,8651.5,8695.2,8991,9389.8,9570.9
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",67.6,67.5,68.7,73.6,62.9,59.9,67.2,73.4,72.7,78.2,79.8,89.4,102.9,105.6,92,87.2,86.9,NA
"13","5","    Mining","N5005C1",112.8,109.4,99.8,82.2,76.7,78.7,81.9,88.4,97.3,100.4,104.8,110,115,121.2,123.8,136.2,140.3,NA
"14","6","    Utilities","N5006C1",145.6,147.5,155.3,148.3,138.2,143.3,145.3,148.2,150.4,148.8,151.7,153.6,154.6,157.2,155.8,160.2,174.2,NA
"15","7","    Construction","N5007C1",459.8,464.9,466.5,462.1,466.7,468.9,471.9,475.7,475.6,477.1,484.7,496.1,504.4,524.6,537.6,552.6,589.2,NA
"16","8","    Manufacturing","N5008C1",1169.4,1133.3,1074.8,998.8,1045.8,1069.7,1079.5,1091.6,1117.8,1114.7,1128.6,1172.5,1147.6,1168.2,1192.6,1252.3,1287.6,NA
"17","9","      Durable goods","N5009C1",690.7,647.2,592.1,541.3,588.7,615,623.7,627.9,634.3,632,635.7,668.8,652.1,674.7,702.9,731,719.9,NA
"18","10","      Nondurable goods","N5010C1",478.7,486,482.7,457.5,457.1,454.6,455.9,463.7,483.5,482.7,492.9,503.8,495.6,493.5,489.7,521.3,567.7,NA
"19","11","    Wholesale trade","N5011C1",565.4,556.5,553.6,555.4,548.6,556.5,551.5,556.9,561.9,568.7,585.9,594,598.2,610.8,625.3,639.3,662.5,NA
"20","12","    Retail trade","N5012C1",686.7,687,685,697.2,698.7,709.8,715.1,716.7,722.2,736.6,745,751.9,764.9,771.8,763.1,790,815,NA
"21","13","    Transportation and warehousing","N5013C1",260,261.9,238.6,247.1,246.4,247.3,251,256.5,259.2,255.1,264.8,267.5,274.5,283.6,279.5,281.6,308,NA
"22","14","    Information","N5014C1",311.3,319.6,301.4,290.2,311.4,308.1,302.7,306.9,299.8,305.6,322.6,312.5,312.6,343.4,351.6,346.7,378.9,NA
"23","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1665.2,1638.9,1607.9,1662.6,1675.8,1665.3,1623.8,1613.9,1640.5,1659.2,1691.7,1707.1,1759,1763.7,1733.1,1811.1,1896.1,NA
"24","16","    Professional and business services \1\","N5016C1",1137,1171.4,1189.1,1187.7,1199,1210.8,1218.1,1216.8,1228.6,1240.9,1251.6,1276.6,1306.6,1307,1333.5,1392,1453.1,NA
"25","17","    Educational services, health care, and social assistance","N5017C1",703.3,714,724.5,735,754.2,772.3,786.2,795.3,808.8,820.4,828.9,839.7,854.2,870.8,880,905.9,932.9,NA
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",314.1,318.5,318.3,316.6,322.9,329.2,332.7,336.1,339.8,340.7,345.7,352,359.7,366.3,366.5,369.4,392.7,NA
"27","19","    Other services, except government","N5019C1",225.8,226.4,226.9,225.6,231.6,235.4,239.7,241.8,243.9,246,248.1,251,254.1,257.2,260.7,266.4,272.5,NA
