"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2005 11:07:47 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","A953RX B       Motor vehicle output","A953RX0",233567,209961,234731,255793,287169,286830,291939,316333,340538,371699,364965,347713,387790,402545,421224
"9","2","A133RX B         Auto output","A133RX0",140741,128718,136658,140215,153574,143058,139748,141073,146289,150372,151084,142173,148028,136726,133217
"10","3","A716RX B         Truck output","A716RX0",91950,80366,97354,115002,133008,143322,151823,175074,194163,221324,213881,205544,239974,266303,288519
"11","4","AB60RX B Final sales of domestic product","AB60RX0",238853,212601,233831,253169,280658,279641,293963,311834,339844,359891,354429,361323,374142,394370,415749
"12","5","AB61RX B   Personal consumption expenditures","AB61RX0",221190,191518,209114,219628,232023,226284,236622,253473,284297,313474,325495,346874,368659,387085,390347
"13","6","AB67RX B     New motor vehicles","AB67RX0",159905,129032,141145,150373,157919,150266,152907,161079,179945,201983,214246,236069,255195,275000,277761
"14","7","A136RX B       Autos","A136RX0",102463,79765,84177,86449,88264,82171,80558,81033,87016,97486,103582,103732,103393,101496,101617
"15","8","GAP51  D         Domestic","GAP510",64571,50253,53480,57301,59828,56447,56038,52803,56228,61319,64590,64694,63540,62452,59592
"16","9","GAP54  D         Foreign","GAP540",37894,29514,30698,29148,28436,25724,24521,28231,30788,36167,38992,39038,39854,39044,42025
