"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"1","[Millions of chained (2000) dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 01, 2006    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2006 5:02:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Private fixed investment in structures","A349RX0",653239,655633,667789,673879,682370,704590,713194,725403,723310,728963,729091,737575,746954,755565,753540,754850,750363,753314,759916,725177,721376,717665,709249,713179,713374,731907,756596,771560,775956,803589,807940,812908,824582,841293,853141,858974
"10","2","Nonresidential","B009RX0",276150,273720,284168,286307,286739,297957,295473,297641,292006,294127,291822,294844,299855,312511,319723,320647,313782,310578,315129,284897,270275,256432,245849,242523,237278,244825,244741,245536,243356,248546,249404,252282,251001,252677,254064,256156
"11","3","  Commercial and health care","W001RX0",119444,114612,120920,119433,120829,126676,124723,129469,128431,129473,129917,129866,130843,136700,140794,141867,140770,135353,126096,118892,116540,111163,107253,104238,101111,102004,103784,104174,102669,106890,106429,104116,104961,105094,105546,105993
"12","4","    Office\1\","W031RX0",42232,40037,44789,46393,48013,51117,49785,54229,54997,54309,54371,52218,54199,59849,62444,64422,63904,59439,52312,46322,42396,39243,37196,34990,31932,31200,32284,34096,33522,34114,32793,31616,32453,32450,31985,32435
"13","5","    Health care","W032RX0",22457,21663,22384,21888,21394,22267,21807,21487,21701,21288,21788,21670,20719,21788,22307,22755,22169,21013,20343,20542,22297,23653,24338,24673,24591,25060,24671,25117,25145,26521,26345,25772,26079,25832,27332,26102
"14","6","      Hospitals and special care","C311RX0",17686,17049,17103,16319,16345,17156,16990,16632,16002,15908,15723,15866,15165,15937,16630,17169,16850,16342,15573,15435,17298,18458,19181,19316,18620,18911,18621,18520,18166,18856,18649,18336,18469,18689,20338,19951
"15","7","        Hospitals","W033RX0",13450,12832,12615,11843,11742,11714,11584,11469,11613,11215,11023,10863,10524,11008,11913,12483,12924,12490,11807,11627,13432,14550,15458,15811,15306,15883,15748,15740,15547,16362,16277,16046,16373,16697,18162,17897
"16","8","        Special care","W034RX0",4235,4217,4487,4475,4603,5442,5406,5163,4388,4693,4699,5003,4640,4928,4716,4686,3926,3852,3766,3807,3866,3907,3722,3504,3313,3028,2873,2779,2618,2494,2372,2289,2095,1993,2176,2054
"17","9","      Medical buildings","W035RX0",4770,4612,5282,5574,5049,5111,4818,4856,5700,5380,6066,5805,5555,5852,5678,5586,5320,4671,4771,5108,4999,5197,5159,5358,5972,6150,6051,6598,6981,7666,7697,7437,7611,7143,6994,6152
"18","10","    Multimerchandise shopping","W036RX0",13810,12698,13197,12409,12762,13749,13697,14056,14768,15252,15179,14873,14542,13475,13991,14614,15425,15435,14792,14240,14956,13996,13244,12959,12720,13326,13538,13511,13738,14677,15320,15475,16111,16920,18291,19360
"19","11","    Food and beverage establishments","W037RX0",9809,8399,9332,9189,9371,9972,8974,9013,7194,8477,8190,8777,8730,8608,8233,7792,7503,7805,8897,7857,7026,6885,6845,7259,7391,6896,7022,7545,7231,7144,6521,5556,6223,5980,4866,5410
"20","12","    Warehouses","W038RX0",13571,13858,13771,12652,12360,12446,13391,13790,13592,13330,13356,13754,13959,13880,13965,14481,14887,15227,14155,13128,12294,10737,9592,9529,10336,10621,11177,10429,9380,9481,10269,9717,9853,9917,9982,10034
"21","13","    Other commercial\2\","W039RX0",17457,17845,17385,16865,16908,17118,17051,16899,16191,16811,17025,18565,18684,19093,19855,17819,16904,16449,15583,16751,17472,16547,15941,14724,14014,14756,14949,13357,13537,14825,15036,15836,14102,13853,12959,12506
"22","14","  Manufacturing","C307RX0",42376,40888,43585,42172,44782,44644,43213,42077,38105,34259,32551,30489,30958,32999,31644,31599,32403,30235,28903,22578,19254,17258,15223,14886,14606,15770,15700,15648,15532,15061,15642,18465,18906,18768,18445,18651
"23","15","  Power and communication","W003RX0",29083,29538,30587,31315,33994,34857,35073,35041,36705,39151,42573,44751,44679,45719,47802,49028,44058,47565,49116,52193,53492,47859,43159,43814,42135,40263,38651,40753,39151,34280,34985,34470,34850,32663,31412,30627
"24","16","    Power","W028RX0",17051,17090,17679,18696,21201,22240,22807,22901,21161,21364,22120,23347,26281,27674,28743,29333,25066,27205,30283,34271,35066,29761,26226,26965,30248,28247,26709,29117,27876,22735,23004,21804,22148,20421,19543,19077
"25","17","      Electric","C571RX0",12026,12054,12163,12315,12566,12844,13140,13487,13371,14307,15659,17322,20177,21714,22838,23423,19197,21263,24131,27776,28069,22499,18794,19445,22908,20845,19204,21476,20228,15538,16017,14835,14157,13353,12409,12679
"26","18","      Other power","W029RX0",5013,5024,5509,6383,8662,9430,9701,9441,7801,7060,6461,6027,6106,5961,5905,5909,5875,5947,6152,6482,6982,7281,7466,7551,7368,7426,7528,7656,7665,7190,6997,6956,7925,7023,7075,6360
"27","19","    Communication","C314RX0",12024,12424,12884,12632,12858,12711,12383,12260,15556,17767,20409,21360,18388,18044,19063,19701,18996,20358,18831,17922,18407,18089,16937,16858,11834,11985,11924,11623,11263,11510,11946,12624,12658,12208,11839,11521
"28","20","  Mining exploration, shafts, and wells","E318RX0",24781,25587,25063,25660,23620,23980,23876,21750,20034,21680,20513,22838,24181,26882,28244,29369,31662,32569,34083,29698,23992,23446,25378,25350,26194,29444,29980,29631,30993,33917,33417,35864,35512,38692,40303,41873
