"","Table 1#8#3# Command-Basis Real Gross National Product, Quantity","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2006    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2006 11:08:15 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","Gross national product","B001RA3",8.854,8.095,7.566,6.579,6.488,7.181,7.824,8.83,9.293,8.976,9.699,10.537,12.348,14.624,17.012,18.391,18.178,16.194,16.067,16.782,16.685,18.143,19.566,20.314,21.234,21.098,22.611,23.063,23.531,23.283,24.933,25.562,26.17,27.769,28.99,30.678,32.643,34.738,35.614,37.338,38.474,38.537,39.852,41.967,44.477,44.314,44.12,46.523,48.705,51.384,53.167,53.04,54.279,53.265,55.627,59.551,61.825,63.826,65.959,68.743,71.18,72.598,72.411,74.796,76.793,79.792,81.878,84.876,88.652,92.216,96.437,100,100.788,102.264,105.37,109.637,113.296
"9","2","Less: Exports of goods and services and income receipts from the rest of the world","BB20RA3",3.205,2.712,2.244,1.755,1.707,1.84,1.967,2.081,2.608,2.547,2.698,2.968,3.079,2.122,1.828,1.963,2.627,5.369,6.184,5.067,5.007,4.523,5.528,5.342,5.018,5.269,5.84,6.73,7.28,6.322,6.94,8.092,8.22,8.691,9.33,10.383,10.729,11.324,11.623,12.598,13.347,14.599,14.888,16.105,19.634,21.527,20.841,21.901,22.636,25.23,29.024,31.864,32.576,30.933,30.103,33.162,32.836,34.356,37.706,44.032,49.152,52.635,53.351,54.793,56.169,61.906,69.763,74.978,84.14,85.576,90.407,100,91.446,88.428,91.713,101.584,111.74
"10","3","Plus: Command-basis exports of goods and services and income receipts from the rest of the world \1\","AB21RA3",4.062,3.664,3.007,2.537,2.568,2.803,3.021,3.075,3.674,3.697,3.68,4.091,4.372,3.141,2.722,3.086,4.014,7.272,8.145,6.481,6.33,5.286,6.021,6.068,5.938,6.096,6.868,8.028,8.891,7.99,8.739,10.235,10.545,11.324,11.943,13.148,13.804,14.662,15.518,16.959,18.101,19.479,19.491,20.667,24.261,22.969,22.591,23.878,23.759,26.299,29,28.552,29.734,29.293,29.644,33.243,33.215,34.423,36.774,43.027,47.933,50.584,52.034,53.216,55.072,60.827,68.353,73.841,84.244,88.04,92.172,100,93.229,90.885,93.31,102.059,110.087
