"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of chained (1972) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1962 To 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 19, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2006 8:51:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
"8","1","    Gross domestic product","A191CX1",819.1,854.9,904.6,962.6,1025.4,1051.2,1101.9,1135.9,1137.8,1176.1,1238.3,1309.6,1303,1300.5,1369.8,1433,1512.8,1560.6,1557.1,1596.3,1565.4
"9","2","Personal consumption expenditures","A002CX1",488.1,508.2,538.7,572.8,605.3,623.3,659.2,683.6,699.4,726.2,770.6,808.4,802.3,820.7,866,902.6,942.3,965.2,962.5,976.3,990
"10","3","  Durable goods","B003CX1",53.8,59,64.5,72.7,78.8,80,88.9,92,89,97.9,110.4,121.8,113.4,113.4,127.8,139.7,147.1,146.6,135.1,136.7,136.6
"11","4","  Nondurable goods","B004CX1",218.2,222.7,233.7,246.1,259.6,263.6,275.7,283,289.8,295,308,318.1,311.7,316.3,331.7,339.7,352.4,361.8,361.3,365.6,369
"12","5","  Services","B005CX1",217.4,227.3,241.2,254.1,266.7,279.7,294.3,308.5,320.8,333.3,352.2,368.7,377.4,391.4,407.2,424.8,444.6,458.2,466.2,474,484
"13","6","Gross private domestic investment","A006CX1",116.5,124.3,134.5,153.4,166.9,159.3,168.5,178.4,166.6,185.6,207.6,231.9,214.9,176.8,212.5,244.7,274.2,282.9,251.8,275,236.5
"14","7","  Fixed investment","A007CX1",109.6,118.1,129.5,142.7,150.9,148.1,158.4,168.3,164.7,177.2,198.5,216.6,203.1,181.3,199.2,227.8,255.4,269.8,252.3,257.9,239.7
