"","Table 1#9#3# Real Net Value Added by Sector, Quantity Indexes   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2006 9:11:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","    Net domestic product","A362RA3",9.201,8.305,7.711,6.604,6.536,7.367,8.111,9.272,9.768,9.377,10.207,11.171,13.211,15.735,18.299,19.632,19.216,16.867,16.74,17.576,17.463,19.138,20.71,21.483,22.449,22.163,23.834,24.259,24.714,24.339,26.273,26.872,27.477,29.239,30.507,32.354,34.476,36.728,37.565,39.392,40.489,40.394,41.794,43.99,46.573,46.054,45.786,48.351,50.578,53.391,54.935,54.514,55.836,54.29,56.836,61.048,63.409,65.662,67.782,70.64,72.97,74.157,73.565,75.984,78.082,81.016,82.901,85.871,89.547,93.017,96.851,100,99.85,101.537,104.309,108.533
"9","2","Business \1\","A363RA3",7.976,7.083,6.511,5.432,5.336,6.073,6.764,7.777,8.319,7.858,8.669,9.571,11.376,13.324,14.893,15.796,15.489,15.279,15.567,16.378,16.131,17.757,18.933,19.514,20.476,20.122,21.808,22.116,22.458,21.913,23.895,24.293,24.743,26.423,27.631,29.457,31.552,33.648,34.195,35.89,36.835,36.654,38.082,40.495,43.322,42.389,41.775,44.662,47.163,50.096,51.619,50.74,52.089,50.017,52.839,57.584,60.114,62.487,64.625,67.505,69.827,70.708,69.668,72.56,74.882,78.377,80.486,84.086,88.335,92.293,96.697,100,99.21,100.961,104.52,109.458
"10","3","  Nonfarm \2\","A364RA3",7.46,6.592,5.882,4.833,4.762,5.63,6.184,7.347,7.745,7.297,8.033,9.048,10.802,12.733,14.436,15.418,15.1,14.856,15.366,16.012,15.835,17.502,18.866,19.412,20.365,19.95,21.686,22.008,22.41,21.804,23.872,24.226,24.684,26.45,27.675,29.605,31.711,33.943,34.425,36.225,37.169,36.952,38.368,40.875,43.863,42.945,42.001,45.081,47.6,50.706,52.16,51.31,52.28,50.072,53.507,57.965,60.217,62.661,64.799,67.847,70.045,70.854,69.775,72.521,75.025,78.332,80.714,84.205,88.322,92.386,96.809,100,99.38,101.065,104.568,109.573
"11","4","  Farm","A365RA3",14.97,13.93,17.196,16.819,16.032,12.251,15.704,13.259,16.351,15.838,17.809,15.316,17.261,18.773,18.258,18.034,17.92,18.109,16.045,18.484,17.442,18.274,16.971,17.89,18.845,19.545,20.017,20.005,19.066,19.796,19.699,20.953,21.153,20.629,21.263,20.329,21.783,20.574,22.464,21.321,22.108,22.793,24.27,24.061,23.546,22.641,27.93,26.104,27.715,26.046,28.726,27.252,41.068,44.703,21.574,36.473,51.494,49.706,51.767,45.232,53.94,58.585,59.972,72.988,62.174,79.835,60.611,71.636,85.419,80.142,82.608,100,77.76,87.965,98.653,97.209
"12","5","Households and institutions","W503RA3",8.803,8.567,8.217,7.835,7.753,7.866,7.945,8.053,8.164,8.141,8.317,8.649,8.984,9.537,9.75,10.263,10.662,10.754,11.413,12.146,12.896,13.968,14.91,15.862,16.85,17.864,19.421,20.666,21.792,23.107,24.451,26.265,27.428,29.067,30.231,31.448,33.016,34.569,36.024,37.868,39.557,40.126,41.848,43.274,44.789,46.448,48.394,48.932,49.315,51.59,53.874,56.966,58.932,61.029,62.832,64.976,65.932,67.631,70.214,73.608,76.392,79.307,81.449,82.389,84.791,86.238,88.295,89.258,91.497,93.754,96.39,100,102.567,103.638,102.345,105.302
"13","6","  Households","W504RA3",9.339,8.99,8.526,8.045,7.981,8.159,8.229,8.313,8.454,8.385,8.597,8.835,9.173,9.876,10.136,10.744,11.279,11.132,11.818,12.24,13.041,14.332,15.489,16.626,17.727,18.877,20.682,22.092,23.351,24.761,26.261,28.014,29.466,31.309,32.59,33.868,35.453,36.952,38.484,39.442,41.113,41.968,43.953,45.465,47.29,49.515,50.893,51.562,51.625,54.937,57.425,61.669,63.78,64.893,66.037,68.508,69.928,70.586,72.355,75.149,77.091,79.368,81.753,81.454,82.839,85.406,86.949,87.749,89.762,91.05,95.473,100,102.936,102.265,99.799,104.971
"14","7","  Nonprofit institutions serving households \3\","W505RA3",7.804,7.999,8.052,7.999,7.843,7.752,7.868,8.063,8.092,8.213,8.296,8.96,9.32,9.448,9.539,9.812,9.851,10.622,11.262,12.819,13.497,14.113,14.605,15.182,15.97,16.724,17.797,18.736,19.625,20.811,21.886,23.94,24.542,25.832,26.812,27.96,29.554,31.257,32.615,36.032,37.788,37.918,39.269,40.587,41.681,42.599,45.281,45.652,46.45,47.419,49.45,51.157,52.944,56.227,58.844,60.585,60.973,63.958,67.552,71.684,75.506,79.216,81.058,83.481,87.095,87.205,89.871,91.029,93.536,96.963,97.459,100,102.176,105.286,105.348,105.851
"15","8","General government \4\","A194RA3",17.162,17.97,18.185,17.791,18.853,21.576,23.047,27.381,25.736,27.848,28.215,29.49,36.197,53.922,86.613,99.351,94.965,42.104,31.95,32.531,34.106,35.914,45.475,49.262,49.173,48.316,48.153,49.085,50.179,50.593,51.05,52.825,54.794,56.934,58.522,60.583,62.766,67.197,70.99,73.872,75.854,76.067,76.336,76.391,76.931,78.776,80.137,80.739,81.514,83.126,83.873,84.906,85.046,85.612,85.679,86.175,88.149,89.701,91.051,93,94.811,96.854,97.334,97.164,97.01,96.758,96.591,96.488,97.026,97.855,98.504,100,101.686,103.533,104.898,105.51
"16","9","  Federal","B568RA3",15.709,17.154,16.248,15.372,19.593,26.803,29.533,50.81,43.072,48.827,49.481,54.082,81.379,156.148,292.658,346.776,327.098,114.518,72.347,73.182,75.201,80.536,120.433,134.69,130.5,122.595,117.556,115.483,114.708,109.927,107.641,109.331,111.688,116.709,116.681,117.32,117.958,128.121,138.245,140.387,140.806,133.314,126.684,120.419,115.946,116.285,115.709,115.804,115.927,117.431,116.728,118.235,119.526,120.7,122.521,123.742,125.482,125.392,126.839,126.614,126.788,128.073,127.659,123.184,119.592,114.39,108.758,104.769,102.137,100.582,99.176,100,100.405,102.79,106.013,106.793
