"","Table 5#6#6BU# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Millions of chained (2000) dollars; seasonally adjusted at annual rates]                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2006      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/24/2006 4:54:56 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","B     Nonfarm industries","KCNF0",68496,71193,71516,57827,-31839,15155,15449,49946,25025
"9","2","B Construction, mining, and utilities","KCCMU0",2486,7237,-553,-1673,10588,-3550,5130,1721,1308
"10","3","B Manufacturing industries","KC300",20743,18637,16952,7882,-21324,-5865,-7551,6142,3704
"11",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","B     Durable goods industries","KC30D0",13619,17922,8549,7257,-18204,-6822,-5579,5014,5279
"13","5","D       Wood product manufacturing","KC3210",346,471,534,289,-374,329,-145,-121,613
"14","6","D       Nonmetallic mineral product manufacturing","KC3270",186,51,334,150,-470,65,-252,-85,-135
"15","7","D       Primary metal manufacturing","KC3310",412,1607,461,-410,-1816,-361,-2252,1242,92
"16","8","D       Fabricated metal product manufacturing","KC3320",1293,1262,952,636,-1105,-284,-800,525,-205
"17","9","D       Machinery manufacturing","KC3330",1495,1168,454,2647,-4190,-1661,-1157,1701,1768
"18","10","D       Computer and electronic product manufacturing","KC3340",6827,730,4768,11175,-7200,-3061,1213,2072,1869
"19","11","D       Electrical equipment, appliance, and component manufacturing","KC3350",481,501,-10,808,-943,-304,-578,-285,168
"20","12","D       Transportation equipment manufacturing","KC3360",1346,11792,-227,-9125,-1819,-1862,-1937,-616,1826
"21","13","D         Motor vehicle and parts manufacturing","KC3MV0",533,1158,1654,-180,-2472,1020,383,188,114
"22","14","D         Other transportation equipment manufacturing","KC3OT0",808,10685,-1888,-8945,635,-2865,-2301,-796,1720
"23","15","D       Furniture and related product manufacturing","KC3370",144,157,345,234,-406,316,-214,592,64
"24","16","D       Miscellaneous durable goods manufacturing","KC3390",243,476,778,853,46,-42,904,3,-347
"25","17","B     Nondurable goods industries","KC30N0",7077,349,8489,625,-3134,947,-2017,1212,-1238
"26","18","D       Food manufacturing","KC3110",790,112,1630,480,-311,356,-929,-693,-86
"27","19","D       Beverage and tobacco product manufacturing","KC3120",721,-80,-166,-110,566,36,-320,-138,510
"28","20","D       Textile mills","KC3130",20,129,188,-423,-617,-278,-19,-265,-323
"29","21","D       Textile product mills","KC3140",268,-220,343,417,168,-1084,205,13,41
"30","22","D       Apparel manufacturing","KC3150",432,-60,640,-282,-1621,-44,54,28,58
"31","23","D       Leather and allied product manufacturing","KC3160",45,24,10,-102,-167,-74,-61,-37,15
"32","24","D       Paper manufacturing","KC3220",566,-366,1047,-544,-188,1400,-717,-262,-459
"33","25","D       Printing and related support activities","KC3230",215,-498,701,-359,-266,446,-261,350,-612
"34","26","D       Petroleum and coal product manufacturing","KC3240",1249,-794,-297,-307,1203,-606,480,228,1588
"35","27","D       Chemical manufacturing","KC3250",2403,1155,3151,1854,-1156,307,-344,854,-2337
"36","28","D       Plastics and rubber product manufacturing","KC3260",541,724,935,1,-592,423,-127,1125,-195
"37",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","D     Materials and supplies","KC30M0",9584,4654,8754,5654,-8485,-3031,-4400,1964,337
