"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 31, 2006   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/31/2006 1:35:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","Q1TDG1 A Durable goods","Q1TDG10",453522,427899,452987,488444,529400,552624,595911,646933,720290,804551,863326,900682,964784,1020572,1085658,1145340
"9","2","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",256076,226588,244936,259249,276244,272263,285359,304653,338965,372437,386518,405836,429000,442068,450363,452895
"10","3","Q1NEW1 B     New autos (70)","Q1NEW10",102463,79765,84177,86449,88264,82171,80558,81033,87016,97486,103582,103732,103393,100634,101699,106955
"11","4","Q1NDC1 D       New domestic autos","Q1NDC10",64571,50253,53480,57301,59828,56447,56038,52803,56228,61319,64590,64694,63540,61222,59279,62242
"12","5","Q1NFC1 D       New foreign autos","Q1NFC10",37894,29514,30698,29148,28436,25724,24521,28231,30788,36167,38992,39038,39854,39412,42419,44712
"13","6","Q1NPU1 B     Net purchases of used autos (71)","Q1NPU10",42403,44816,47815,48366,53476,52805,54801,57380,61337,61709,60650,58701,58070,56289,56042,57198
"14","7","Q1NET1 D       Net transactions in used autos","Q1NET10",22912,25437,27425,27348,31196,30125,31892,34698,38873,39194,37500,34265,37117,35199,34794,35099
"15","8","Q1MAR1 D       Used auto margin","Q1MAR10",21828,21612,22749,23352,24326,24787,24908,24575,24309,24317,24886,26251,22891,22924,23074,23803
"16","9","Q1REE1 D       Employee reimbursement","Q1REE10",-1851,-2047,-2232,-2121,-2045,-1994,-1967,-1901,-1833,-1787,-1735,-1806,-1711,-1724,-1773,-1748
"17","10","Q1OAU1 C     Other motor vehicles (72)","Q1OAU10",79588,72705,83213,91712,98639,99839,110174,124749,146909,166076,173248,195550,219552,236068,241525,234463
"18","11","Q1TRU1 D       Trucks, new and net used","Q1TRU10",72996,66100,76366,83997,89817,91068,101186,115103,136045,154300,161263,184466,207349,222536,226773,218418
"19","12","Q1NWT1 D         New trucks","Q1NWT10",NA,NA,56356,63488,69330,67864,72220,79997,92927,104497,110664,132345,151858,166879,169007,159219
"20","13","Q1UTR1 D         Net  purchases of used trucks","Q1UTR10",NA,NA,20234,20551,20413,23193,28937,35076,43111,49815,50599,52188,55672,55917,58045,59455
"21","14","Q1UTN1 D           Net transactions in used trucks","Q1UTN10",NA,NA,14266,13726,12514,14065,18471,23353,30336,35992,36256,37171,41220,40034,41612,43000
"22","15","Q1UTM1 D           Used truck margin","Q1UTM10",NA,NA,5595,6674,7980,9245,10485,11708,12768,13828,14343,15018,14561,15811,16369,16487
