"","Table 6#13A# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 23, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2007 10:51:52 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","1","    Noncorporate capital consumption allowances","A1700C0",1578,1605,1604,1541,1413,1393,1415,1491,1571,1635,1652,1747,1933,2137,2224,2296,2414,2731,3552
"9","2","Agriculture, forestry, and fisheries","A1701C0",511,540,534,515,474,454,450,469,505,531,545,563,603,635,637,657,700,768,916
"10","3","  Farms","B1702C0",501,529,526,499,465,443,441,461,497,524,537,556,595,626,628,645,687,751,893
"11","4","  Agricultural services, forestry, and fisheries","B1703C0",10,11,8,16,9,11,9,8,8,7,8,7,8,9,9,12,13,17,23
"12","5","Mining","B1704C0",39,44,38,37,30,35,36,37,37,42,45,45,46,59,77,65,83,95,119
"13","6","Contract construction","B1705C0",75,76,75,71,52,47,45,47,49,44,45,44,47,45,37,50,71,106,169
"14","7","Manufacturing","A1706C0",75,80,83,81,72,61,57,56,54,62,58,56,59,98,127,163,182,186,227
"15","8","  Durable goods","B1707C0",51,56,60,61,56,46,41,39,37,44,40,38,38,61,76,93,99,97,124
"16","9","  Nondurable goods","B1708C0",24,24,23,20,16,15,16,17,17,18,18,18,21,37,51,70,83,89,103
"17","10","Transportation and public utilities","A1709C0",62,65,65,60,48,49,48,51,59,67,70,78,102,106,113,119,136,163,247
"18","11","  Transportation","B1710C0",60,62,64,58,46,46,46,47,54,60,59,67,87,89,97,103,115,136,214
"19","12","  Communication","B1711C0",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4
"20","13","  Electric, gas, and sanitary services","B1712C0",2,3,1,2,2,3,2,4,5,6,10,10,14,16,15,15,20,23,29
"21","14","Wholesale trade","B1713C0",46,49,46,37,33,41,50,61,65,62,63,67,86,104,111,126,110,161,207
"22","15","Retail trade and automobile services","B1714C0",200,187,199,169,146,146,148,156,181,182,191,202,234,289,315,332,348,442,629
"23","16","Finance, insurance, and real estate","A1715C0",467,453,459,459,460,457,471,502,500,506,499,529,556,566,576,542,535,496,543
"24","17","  Finance and insurance","B1716C0",13,14,16,17,24,21,21,22,21,18,18,22,23,19,23,26,22,191,18
"25","18","  Real estate \1\","A1717C0",454,439,443,442,436,436,450,480,479,488,481,507,533,547,553,516,513,305,525
"26","19","Services","B1720C0",103,111,105,112,98,103,110,112,121,139,136,163,200,235,231,242,249,314,495
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
