"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 6, 2004      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/30/2007 11:40:08 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    National income without capital consumption adjustment","A422RC1",3947.8,4035.5,4127.6,4226.4,4318.5,4410.6,4498.3,4601.6,4687.3,4717.3,4761.1,4810.8,4936.6,5032,5069,5100.2,5130.9,5167.3,5215.2,5267,5395.6,5467,5468.4,5582.2,5623.8,5706.4,5736.4,5848,5914.3,6034.5,6124.9,6226.9,6303.3,6356.9,6440.1,6509,6617.9,6732.5,6808.5,6937.2,7037.7,7139.8,7278.3,7387.5,7487.3,7599,7730.8,7828.5,7965.5,8046.6,8140.1,8339.6,8568.8,8642.6,8752.5,8785.8
"10","2","Domestic industries","A423RC1",3933.5,4016.8,4109.3,4206.2,4292.9,4387,4477,4577.7,4663.5,4694,4735.4,4778.9,4906.1,5000.5,5042.1,5049.9,5092.5,5140,5191.3,5235.3,5364.5,5436.2,5440.7,5553.2,5586.6,5675.4,5699.1,5825.8,5885,6008.7,6100.3,6201.7,6265.9,6315.7,6413.4,6471.1,6575.9,6699.3,6779.3,6901.6,7008.9,7100.1,7244.1,7358.6,7459,7572.7,7717.7,7811.1,7934.8,8010.8,8110.2,8300.8,8536.3,8605.8,8720.9,8731
"11","3","  Private industries","A736RC1",3388.4,3463.5,3554.7,3649.4,3717.3,3799.3,3881.3,3974,4046.2,4068.6,4100.3,4137.3,4246.4,4329.9,4362.9,4361.9,4383.3,4424.7,4470.5,4508,4620.7,4684.3,4683.1,4795.6,4816.7,4902.5,4919.4,5042.8,5089.4,5204.9,5294.5,5394.3,5443.1,5492.2,5587.5,5641.7,5732.9,5850.7,5923.6,6039.4,6134.8,6220.9,6358.2,6466.9,6556.2,6661.2,6797.3,6883.5,6993.6,7062.7,7152.5,7330.9,7544.4,7603.1,7709.8,7713.8
"12","4","    Agriculture, forestry, and fishing","B424RC1",62.9,65.7,69.6,74.1,76.2,70.6,73.4,62.6,82,79,78.7,82.6,87.6,86.5,86,84,80.4,81.4,78,82.4,86.7,89.6,89.5,86.9,81.9,88.3,78.3,92.2,97.6,94,90.6,87.3,82,80.9,84.6,92.4,100.3,108.5,98.9,102.5,107.4,99.1,104.5,102.9,99.4,97.6,96.6,102,102.1,97.5,94.7,95.4,94.4,96.3,97.5,94
"13","5","    Mining","B734RC1",39.2,42.9,43.8,47.2,48.2,49.3,49.6,51,50.9,51.9,53.9,54.3,56.7,59,59.5,58.1,56.6,56.4,54.8,52.4,54.2,54.4,54.3,55.7,55.5,54.5,55.1,56.3,57.6,57.8,59.3,58.7,56,58.9,60.6,61.3,66.5,69.2,72.8,76,80.5,81.5,81.7,79.5,72.7,71.1,68.5,68.5,63.5,64.8,66.3,69.8,81.4,87.9,93.5,96.5
"14","6","    Construction","B735RC1",205.8,206.5,205.8,208.4,214.9,221.3,225,228.4,229,228.9,230.6,235.5,237.8,237,233.8,227.1,218.1,214.9,216.5,215.1,213.9,217,215.8,220.4,222.4,226.2,230.8,237.7,244.7,252.3,256.9,261.4,262.7,265,270.4,272.1,281.3,287.9,294,298.7,306.3,311.4,316.9,325.9,336.6,348.6,360.4,372.6,386.4,391.2,394.2,406.4,421.9,425.1,427.1,430.9
"15","7","    Manufacturing","A426RC1",734.2,754,784.9,800.1,823.1,839,855.9,885.6,885.7,881.2,881.9,877.1,895.3,917.7,908.4,903.6,896.3,897.3,908.4,904.9,910.5,925.5,932.7,939.5,942.6,968.5,966.6,1002.8,1021.8,1035.4,1059,1088.3,1089.1,1098.8,1118.1,1121.8,1107.4,1127.9,1136.6,1153.2,1160.2,1181.2,1214.6,1227.3,1213.4,1217.3,1234.3,1242.7,1258.4,1275,1284.6,1302.6,1352.4,1359,1362.6,1335.5
"16","8","      Durable goods","B428RC1",440.3,443.7,455.7,457.8,470.8,489.1,495.2,509.4,512.5,506.7,503.8,503.1,506.7,512.6,510.2,492.5,485.4,498.6,503.6,502.1,506.4,514.6,517.3,524.1,526.5,544.1,548.1,569.9,586.5,591.3,600.7,620,617.1,615.8,625.2,629,620,637.7,642.7,649.8,654.8,670.1,694.9,698.5,696.5,700.6,711.2,731.6,718.5,728.5,739.7,756.8,780.3,778.1,781.5,760.6
"17","9","      Nondurable goods","B427RC1",293.9,310.2,329.2,342.3,352.3,349.9,360.8,376.1,373.2,374.6,378.1,373.9,388.6,405.1,398.2,411,410.9,398.8,404.7,402.8,404.1,410.9,415.4,415.4,416.1,424.4,418.5,432.9,435.2,444.1,458.2,468.3,472,483.1,492.8,492.8,487.4,490.2,493.9,503.5,505.4,511.1,519.8,528.8,516.9,516.7,523.1,511.1,539.9,546.5,544.9,545.9,572.2,580.9,581.1,575
"18","10","    Transportation and public utilities","A737RC1",313.7,326.7,327.6,333.4,333.2,339.7,348.9,357.1,353.9,356.5,355.8,359.6,367.7,379.8,383.4,379,394.4,401.9,404.3,407,415,417.3,420.1,431.3,442.6,449.6,454.2,461.9,469.3,484.9,492.4,503.5,502.8,504.3,513.1,514.3,520.2,531.8,533.3,542.3,530.1,538.2,545.1,553.8,552.6,563.5,578.7,574.4,578.8,575.3,587.3,610.6,606.6,612.6,622.6,626
"19","11","      Transportation","B429RC1",127.4,130.2,130.4,133.8,133.9,138.7,143.2,144.1,139.9,141.1,141.6,141.4,143.7,150.8,148.1,144.3,155,156.2,154.3,155.5,162.3,159.3,162,166.6,170.8,173.1,174.8,177.5,180.8,186.7,190.2,194.8,195.4,196.1,195.8,197.1,198.2,204.8,209.7,208,212.7,217.3,226.3,232.3,234.3,238.7,245.7,246,248.3,250,252.6,260.8,260.4,269.4,267.7,265.6
"20","12","      Communications","B430RC1",88.1,92.6,96.2,97.4,96.4,97.7,100.8,103.2,101.6,101.4,99.2,105.3,107.6,110.3,112.7,113.4,114.8,117.8,119.9,118.6,122,122.8,124.3,128,131.5,137.4,138.7,141.1,144.6,148.7,149.3,154.5,152.5,151.2,156.4,155.2,157.1,160.6,161.8,165.7,152.5,155.3,155.3,156.9,158.9,163.5,168.7,163.2,164.5,161.8,164.4,174.9,171.8,174,182.4,190.1
"21","13","      Electric, gas, and sanitary services","B431RC1",98.2,103.8,100.9,102.2,102.9,103.3,104.9,109.7,112.5,114,115,112.8,116.4,118.6,122.6,121.4,124.6,128,130.2,132.9,130.6,135.2,133.7,136.7,140.3,139.1,140.7,143.3,143.9,149.5,152.9,154.2,154.9,156.9,160.9,162,165,166.5,161.8,168.6,165,165.6,163.4,164.6,159.3,161.2,164.3,165.1,166,163.5,170.4,175,174.3,169.2,172.5,170.4
"22","14","    Wholesale trade","B433RC1",279.6,283.4,291.3,294.2,307.6,316.4,318.3,332.3,333.6,338.3,344.1,342.7,349,351.6,352.2,355.3,360.7,363.8,367.6,368.5,373.5,379.8,384.6,388.9,381.5,393,394.5,403,413.3,432.6,434.4,442.9,439.6,439,450.7,454.2,465.6,467.3,476.3,493.5,495.5,505.4,519.1,524.9,537.6,548.1,562.3,561.5,578,579.3,581.8,598.8,610.7,626.7,634.8,620.4
"23","15","    Retail trade","B434RC1",400.1,403.5,410.3,412.5,419.5,427.4,432.5,442.4,450.9,453.4,461.4,465.6,473.1,473.7,470.7,475.7,478.2,484.5,486,495,505.3,510.5,498,524.2,518.7,528.1,537.4,545.2,548.3,565.5,574.2,586,587.1,591.7,598.5,602.7,615.3,626.1,633.8,644,662.8,664.9,678.4,688.4,702.9,714.7,727.7,741.2,754.9,766.9,763.5,784.9,805.5,806.6,815.5,813.5
"24","16","    Finance, insurance, and real estate","B435RC1",639.6,656.8,678.4,701.1,705,714.8,734.8,757.1,779,782.1,777.9,781.2,807.2,826.5,844.4,847.4,866.9,878.1,894.3,900.2,949.6,952.9,938.8,973.5,987.9,1000,996.2,1023.3,999.9,1029.5,1057.4,1071.4,1091.4,1109.2,1127.7,1135,1165.9,1195.3,1216.7,1238,1276.6,1298.8,1326.4,1357.3,1393.4,1423.9,1454.3,1472.3,1489.8,1497.6,1546.2,1582.7,1643.3,1644.9,1676.6,1699
"25","17","    Services","B437RC1",713.2,724.1,742.9,778.6,789.7,820.7,842.8,857.5,881.2,897.1,915.9,938.8,972,998.3,1024.5,1031.6,1031.5,1046.3,1060.6,1082.5,1111.9,1137.3,1149.2,1175.3,1183.6,1194.2,1206.3,1220.4,1236.9,1252.9,1270.3,1294.8,1332.5,1344.4,1363.9,1387.9,1410.4,1436.6,1461.2,1491.3,1515.4,1540.3,1571.5,1606.9,1647.7,1676.6,1714.4,1748.5,1781.7,1815.1,1833.8,1879.7,1928.2,1944.1,1979.7,1997.8
"26","18","  Government","B436RC1",545.1,553.4,554.6,556.8,575.5,587.7,595.6,603.6,617.3,625.4,635.1,641.6,659.7,670.6,679.1,688.1,709.3,715.3,720.8,727.3,743.8,751.9,757.6,757.6,769.9,773,779.7,783,795.6,803.8,805.9,807.4,822.8,823.5,826,829.3,843,848.6,855.7,862.1,874.1,879.2,885.9,891.6,902.7,911.4,920.4,927.6,941.3,948.1,957.8,969.9,991.9,1002.7,1011.1,1017.2
"27","19","Rest of the world","A192RC1",14.4,18.7,18.3,20.2,25.7,23.6,21.3,23.9,23.9,23.3,25.8,31.9,30.5,31.5,26.9,50.2,38.4,27.4,24,31.8,31.1,30.8,27.7,29.1,37.3,31,37.3,22.2,29.2,25.9,24.5,25.2,37.5,41.1,26.6,37.9,42,33.2,29.2,35.6,28.8,39.7,34.2,29,28.4,26.3,13.2,17.4,30.6,35.8,29.9,38.8,32.5,36.8,31.6,54.9
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
