"","Table 7#15# Relation of Net Farm Income in the National Income a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 11, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2008 8:42:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","Net farm income, USDA","B1448C1",12.3,12.3,14.3,14.4,15,19.5,34.4,27.3,25.5,20.2,19.9,25.2,27.4,16.1,26.9,23.8,14.2,26.1,28.8,31.1,38,39.6,46.8,46.4,40.2,49.5,46.8,51.4,39.7,57.8,51.3,46.3,46.8,47.8,49.5,37.6,60.4,85.9,77.1,59
"9","2","Plus: Depreciation and other consumption of farm capital, USDA","B1449C1",5.5,5.9,6.2,6.5,7.1,7.5,8.5,10.1,11.9,13.4,15,16.5,19,21.1,23.1,22.9,22.4,19.4,17.9,16.4,15.8,15.8,16.2,16.2,16.2,16.3,16.3,16.5,16.9,17.1,17.3,17.5,17.8,18,18.3,18.6,19.3,20.5,22.3,23.4
"10","3","      Farm housing expenses excluding depreciation","B1007C1",1,1,1.1,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.7,1.8,1.8,1.9,2,2,2.2,2.3,2.5,2.5,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.8,2.9,3.1,3.2,3.5,3.7,4,4.3,4.6,4.9,6.5,7,7.4
