"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"1","[Index numbers, 2000=100];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1992 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 01, 2008      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/30/2008 11:57:52 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","S1 PN04472AMG       Retail and food services","T070013",91.805,92.333,92.759,93.148,93.805,94.242,94.26,94.959,95.047,95.342,96.156,96.564,96.901,97.24,97.317,97.415,98.01,98.411,98.328,98.855,99.129,98.765,98.503,98.356,97.887,97.555,97.563,97.359,97.155,97.972,98.675,98.914,99.55,99.994,100.159,100.297,100.419,100.699,100.124,99.09,98.658,99.243,99.212,98.994,99.456,98.617,98.661,98.27,99.09,100.101,100.143,100.822,100.937,101.556,102.418,102.372,102.3,103.221,103.275,101.824,102.282,103.292,103.205,103.778,104.471
"10","2","S1 PN44ZZZZMG Retail trade","T070023",92.787,93.335,93.774,94.169,94.854,95.288,95.264,96.015,96.076,96.36,97.235,97.631,97.949,98.261,98.291,98.348,98.959,99.332,99.171,99.663,99.899,99.448,99.09,98.853,98.267,97.851,97.795,97.502,97.21,98.057,98.77,98.976,99.608,100.036,100.138,100.219,100.27,100.494,99.769,98.554,98.018,98.61,98.514,98.217,98.685,97.712,97.704,97.206,98.014,99.041,98.987,99.663,99.694,100.301,101.163,101.035,100.866,101.78,101.756,100.1,100.485,101.491,101.265,101.782,102.424
"11","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",85.974,86.737,87.461,88.107,88.805,90.038,91.184,92.264,92.44,93.279,94.549,96.051,97.46,98.201,98.188,98.703,99.582,99.46,99.536,99.758,99.883,99.564,98.917,98.629,98.562,98.34,98.799,98.996,98.515,98.591,99.388,99.643,99.482,100.053,99.993,100.473,101.226,101.088,100.632,100.697,100.07,99.583,99.823,99.311,98.677,98.312,97.497,95.757,95.582,95.903,96.139,97.083,97.907,98.327,98.381,98.499,98.897,99.321,99.639,98.768,98.219,98.29,98.819,99.049,98.988
"12","4","S4 PN4411ZZMG     Automobile dealers","T070043",84.112,84.938,85.799,86.57,87.393,88.878,90.265,91.528,91.646,92.557,94.042,95.724,97.261,98.087,98.066,98.653,99.595,99.44,99.602,99.876,99.979,99.665,98.879,98.604,98.534,98.356,98.826,98.998,98.453,98.559,99.447,99.704,99.455,100.091,100.014,100.441,101.141,100.953,100.391,100.444,99.693,99.053,99.271,98.692,97.883,97.493,96.543,94.51,94.203,94.494,94.796,95.851,96.679,97.092,96.922,96.946,97.313,97.581,97.716,96.624,95.997,96.059,96.585,96.664,96.38
"13","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",88.219,89.8,89.418,89.681,89.806,90.412,90.816,91.333,91.951,92.92,93.306,94.645,95.695,95.84,95.862,95.905,97.145,97.471,96.895,96.279,96.847,96.64,96.779,96.579,96.761,96.424,96.925,97.453,97.919,98.228,98.917,98.75,99.239,100.045,100.037,100.678,101.059,101.217,101.257,101.119,100.799,101.03,100.391,100.604,100.642,100.285,100.122,99.641,100.68,101.573,100.555,100.389,100.962,101.554,103.122,103.309,103.138,103.696,105.053,105.031,103.882,103.314,103.409,103.791,104.442
"14","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",101.114,101.023,101.031,100.786,100.678,100.058,99.484,99.241,99.722,99.874,99.661,99.692,100.169,100.46,100.491,100.591,100.762,100.723,100.352,100.529,100.622,100.213,100.401,99.951,99.785,99.224,99.569,99.819,99.417,99.096,99.106,99.576,99.875,99.693,99.774,100.657,102.138,102.317,102.579,102.893,103.353,103.912,104.878,104.609,105.315,105.188,105.303,105.633,105.918,106.139,106.624,107.257,108.252,108.632,109.784,110.78,111.88,113.738,115.152,115.917,116.63,117.279,118.17,119.852,121.59
