"","Table 6#15D# Net Interest by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2008 9:28:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Net interest","B060RC0",478653,486783,547616,553354,509470,510357,475936,552041,612146,644370
"9","2","Domestic industries","A1850C0",555710,569310,649797,674245,629210,613277,587019,692082,794780,879592
"10","3","  Agriculture, forestry, fishing, and hunting","N1851C0",10184,10499,11486,10561,10389,9944,10178,11397,12898,13786
"11","4","  Mining","N1852C0",4167,4572,5999,6570,5791,5727,5488,5588,5561,5621
"12","5","  Utilities","N1853C0",19433,19871,23954,27192,26400,25419,24761,21654,19083,21357
"13","6","  Construction","N1854C0",5825,5762,7558,7690,6001,6295,6006,7891,11156,12490
"14","7","  Manufacturing","N1855C0",47844,56569,65295,61434,44106,36417,29616,39018,44359,42639
"15","8","    Durable goods","N1856C0",14327,19515,24891,21968,10584,7136,2009,10064,12540,9131
"16","9","    Nondurable goods","N1857C0",33517,37054,40404,39465,33522,29281,27607,28954,31819,33508
"17","10","  Wholesale trade","N1858C0",14826,15571,17972,15346,11066,8367,7298,9323,14389,14867
"18","11","  Retail trade","N1859C0",14794,13770,20184,17504,13100,13187,12931,17867,24766,26379
"19","12","  Transportation and warehousing","N1860C0",6653,8611,9440,9288,9001,8597,8469,10410,10749,11921
"20","13","  Information","N1861C0",20839,24273,28245,36391,33326,28167,26251,27119,25190,27829
"21","14","  Finance, insurance, real estate, rental, and leasing","N1862C0",375988,364165,420994,457681,431387,429109,437468,520138,588907,657437
"22","15","    Finance and insurance","N1863C0",126,-37377,-23059,-19873,-52726,-59197,-83561,-68189,-86770,-84263
"23","16","    Real estate and rental and leasing","N1864C0",375862,401541,444053,477554,484113,488306,521029,588327,675677,741700
"24","17","  Professional and business services","N1865C0",14223,22468,12151,-1521,15538,20077,-3719,-3654,8364,12672
"25","18","    Professional, scientific, and technical services","N1866C0",728,1582,1124,883,1734,2134,1703,2041,1252,1494
"26","19","    Management of companies and enterprises","N1867C0",11566,18079,6504,-6947,10183,14621,-8585,-9487,3085,6694
"27","20","    Administrative and waste management services","N1868C0",1929,2807,4524,4543,3621,3322,3163,3792,4027,4484
"28","21","  Educational services, health care, and social assistance","N1869C0",5597,6117,6794,6494,5521,5347,5392,5968,7368,8382
"29","22","  Arts, entertainment, recreation, accommodation, and food services","N1870C0",13486,14837,17253,17163,15476,14568,14804,17151,19592,21549
"30","23","  Other services, except government","N1871C0",1851,2224,2471,2453,2107,2055,2076,2212,2398,2663
"31","24","Rest of the world","A1627C0",-77058,-82526,-102182,-120892,-119740,-102920,-111083,-140041,-182634,-235222
"32","25","  Receipts from the rest of the world","A2067C0",137719,141262,177245,136923,98291,84898,118274,186542,283575,349573
"33","26","  Less: Payments to the rest of the world","B1869C0",214777,223789,279427,257815,218031,187818,229356,326582,466209,584795
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note.  Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
