"","Table 6#20C# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2008 9:29:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Net corporate dividends","B056RC0",112312,129919,157974,169062,180683,187904,202814,234721,254190,297556,334481,351623,337368,377941
"9","2","Domestic industries","A3302C0",95607,98025,126374,144088,156356,159870,182232,197448,221555,257259,283909,309162,295671,348444
"10","3","  Agriculture, forestry, and fishing","A3303C0",301,1024,862,1124,1052,1394,1168,1579,1825,1838,2526,3375,3725,3905
"11","4","    Farms","B3304C0",210,834,671,833,798,1159,749,978,1083,1014,1662,1446,1941,1821
"12","5","    Agricultural services, forestry, and fishing","B3305C0",91,190,191,291,254,235,419,601,742,824,864,1929,1784,2084
"13","6","  Mining","A3306C0",2290,2992,3717,3985,3887,2155,2889,2826,3591,3436,4201,4242,2401,4382
"14","7","    Metal mining","B3307C0",749,498,620,417,730,342,139,425,747,504,573,238,141,543
"15","8","    Coal mining","B3308C0",289,641,760,536,392,248,246,365,361,426,885,357,300,224
"16","9","    Oil and gas extraction","B3309C0",690,1323,1846,2575,2537,1286,2051,1807,1991,1893,2247,1866,1195,2618
"17","10","    Nonmetallic minerals, except fuels","B3310C0",562,530,491,457,228,279,453,229,492,613,496,1781,765,997
"18","11","  Construction","B3311C0",1141,1521,3126,3203,3922,3916,4611,5261,6811,7784,11157,12781,15451,17911
"19","12","  Manufacturing","A3312C0",27942,27383,40401,48201,50544,54068,58516,56718,61196,68271,75434,85807,68367,79190
"20","13","    Durable goods","A3313C0",10415,5654,12453,11885,13595,15838,17929,17835,21475,22141,25758,30942,25788,29604
"21","14","      Lumber and wood products","B3314C0",704,812,922,988,1252,1088,1069,1447,1677,1400,1689,1641,3088,3264
"22","15","      Furniture and fixtures","B3315C0",243,327,501,322,220,286,518,497,646,557,1178,668,838,800
"23","16","      Stone, clay, and glass products","B3316C0",269,367,802,430,599,1080,666,938,955,1292,1386,1042,1028,888
"24","17","      Primary metal industries","B3317C0",572,964,1789,1711,1266,2121,1144,1440,1802,1445,1453,740,1328,827
"25","18","      Fabricated metal products","B3318C0",283,1370,1669,1511,1868,1634,1718,2669,3675,4405,4739,5956,6138,5828
"26","19","      Industrial machinery and equipment","B3319C0",1420,-1577,-1065,-785,205,1264,2723,2815,1795,421,406,-1560,610,-2397
"27","20","      Electronic and other electric equipment","B3320C0",2862,1610,3134,3110,3490,4286,3850,4054,2987,5074,5898,6585,4506,8590
"28","21","      Motor vehicles and equipment","B3321C0",2492,399,2090,2806,2579,2543,2317,1764,4079,3181,4148,10497,3770,6205
"29","22","      Other transportation equipment","B3322C0",647,423,1376,530,395,-195,1664,440,842,1445,1150,1563,1222,1258
"30","23","      Instruments and related products","B3323C0",535,388,533,413,826,1091,1865,943,2214,1640,1497,1647,806,1972
"31","24","      Miscellaneous manufacturing industries","B3324C0",388,571,702,849,895,640,395,828,803,1281,2214,2163,2454,2369
"32","25","    Nondurable goods","A3325C0",17527,21729,27948,36316,36949,38230,40587,38883,39721,46130,49676,54865,42579,49586
"33","26","      Food and kindred products","B3326C0",4097,1500,4189,5012,7562,7312,8831,8960,9827,14789,17171,17539,9745,11249
"34","27","      Tobacco products","B3327C0",79,910,1921,905,1061,1084,-347,-344,-610,-1050,-1608,-1365,-2904,-662
"35","28","      Textile mill products","B3328C0",343,354,653,434,577,687,1031,813,940,991,793,1017,547,556
"36","29","      Apparel and other textile products","B3329C0",477,293,689,771,837,1405,990,853,1090,1067,846,1039,1065,930
"37","30","      Paper and allied products","B3330C0",1073,1381,2885,2930,2241,2557,2159,2384,2864,3664,3044,3360,2898,3429
"38","31","      Printing and publishing","B3331C0",2277,1992,3751,3895,3072,4359,3616,3749,3471,5621,4961,4650,4393,5887
"39","32","      Chemicals and allied products","B3332C0",5840,9817,11354,13759,13693,13450,14896,13197,14728,16314,16077,19888,16722,18887
"40","33","      Petroleum and coal products","B3333C0",3131,5005,2058,7400,6991,6424,8347,7397,5788,3232,6560,6628,7230,6813
"41","34","      Rubber and miscellaneous plastics products","B3334C0",109,379,335,1040,639,765,902,1723,1505,1408,1664,1986,2764,2330
"42","35","      Leather and leather products","B3335C0",101,98,113,170,276,187,162,151,118,94,168,123,119,167
"43","36","  Transportation and public utilities","A3336C0",27159,26920,29714,33778,34202,36694,39584,41452,45173,47306,44685,39117,39246,38919
"44","37","    Transportation","A3337C0",1991,2820,2812,3084,3294,4124,4283,4408,5408,5956,5536,5377,5373,5071
