"","Table 3#15#2# Contributions to Percent Change in Real Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"1"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 11, 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2008 8:05:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Government","A822RL1",0.2,5,6.2,2.6,2.2,3,8.8,7.7,3.1,-0.2,-2.4,-2.2,-0.7,-0.4,2.5,2.3,0.4,1.1,2.9,1.9,2,0.9,1.8,3.7,3.3,7,6.1,2.5,1.3,2.6,3.2,1.1,0.5,-0.9,0,0.5,1,1.9,1.9,3.9,2.1,3.4,4.4,2.5,1.4,0.4,1.7,2.1
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","General public service","W575RZ2",0.31,0.27,0.25,0.2,0.25,0.47,0.11,0.13,0.33,0.73,0.28,0.54,0.52,0.45,0.72,0.55,-0.02,0.24,-0.06,0.02,0,-0.38,0.22,0.27,0.13,0.98,1.23,-0.06,-0.06,-0.02,0.44,0.16,0.36,0.03,0.04,0.13,-0.17,0.42,0.5,0.58,0.02,0.32,0.37,-0.05,0.16,-0.05,-0.08,0.16
"12","3","National defense","A824RZ2",-0.8,2.1,2.86,-1.12,-1.78,-0.88,5.71,5.43,0.69,-2.1,-3.66,-4.27,-2.73,-1.83,-0.24,-0.29,-0.1,0.34,0.25,0.88,1.26,1.88,2.37,2.38,1.68,2.98,2.25,1.64,-0.16,-0.17,-0.01,-0.35,-1.55,-1.66,-1.37,-1.02,-0.35,-0.7,-0.49,0.43,-0.11,0.84,1.59,1.94,1.38,0.38,0.4,0.61
"13","4","Public order and safety","W579RZ2",0.2,0.18,0.1,0.14,0.26,0.19,0.2,0.16,0.37,0.19,0.26,0.32,0.28,0.21,0.3,0.24,0.15,0.07,0.37,0.26,0.14,0.12,0.34,0.07,0.23,0.39,0.4,0.31,0.37,0.47,0.39,0.34,0.26,0.26,0.3,0.39,0.44,0.4,0.5,0.45,0.21,0.39,0.5,-0.05,0.08,0.08,0.29,0.44
"14","5","Economic affairs","W584RZ2",-0.81,0.69,1.78,1.88,1.51,1.19,0.22,0.22,0.36,-0.1,-0.68,0.02,0.07,-0.44,-0.23,0.28,0.05,0.39,1.57,0.61,0.27,0.02,-0.9,0.56,0.21,1.16,0.54,-0.3,-0.48,0.76,0.85,0,0.61,0.15,0.07,-0.25,0.07,0.32,0.1,0.84,0.55,0.41,0.59,0.12,-0.38,-0.34,0,0.1
"15","6","  Transportation","W589RZ2",0.2,0.64,0.39,0.7,0.17,0.39,0.59,0.24,0.27,-0.09,-0.06,-0.09,-0.01,-0.18,-0.38,-0.02,-0.1,0.06,0.64,0.55,-0.13,-0.6,-0.31,0.42,0.74,0.48,0.23,0.05,0.2,0.1,0.41,0.16,0.15,0.21,0.34,-0.23,0.08,0.28,0.25,0.43,0.29,0.45,0.34,0.18,-0.23,-0.28,-0.12,-0.2
"16","7","  Space","W595RZ2",0.28,0.3,0.74,1.27,0.82,0.74,0.17,-0.69,-0.23,-0.38,-0.24,-0.15,-0.14,-0.18,0.03,-0.01,-0.05,-0.03,-0.03,0,0.06,0.01,-0.03,0.1,-0.01,0.04,-0.04,0.07,0.11,0.16,0.15,0.02,-0.01,0,-0.08,-0.02,0.07,-0.01,-0.06,-0.05,-0.01,0.02,-0.04,0.01,0.03,-0.02,-0.02,0.07
"17","8","  Other economic affairs","W596RZ2",-1.29,-0.25,0.65,-0.09,0.52,0.06,-0.54,0.67,0.32,0.38,-0.38,0.26,0.23,-0.08,0.11,0.31,0.2,0.36,0.97,0.07,0.33,0.61,-0.56,0.04,-0.53,0.64,0.36,-0.42,-0.79,0.5,0.3,-0.18,0.48,-0.07,-0.19,0,-0.07,0.05,-0.09,0.46,0.27,-0.06,0.3,-0.06,-0.17,-0.03,0.14,0.23
"18","9","Housing and community services","W597RZ2",0.04,0.24,0.33,-0.18,0.35,0.06,0.03,0.09,0.24,-0.2,0.03,0.09,-0.19,0.1,0.13,0.02,-0.03,-0.21,0.23,0.01,0.2,-0.21,-0.12,-0.16,0.15,0.12,0.23,0.16,0.04,0.02,0.14,0.08,-0.01,-0.09,-0.17,0.03,0.11,0.06,0.02,0.11,-0.15,0.15,0.14,0.06,-0.09,0.04,0.24,0.07
"19","10","Health","W598RZ2",0.23,0.21,0.07,0.25,0.24,0.09,0.22,0.23,0.27,0.23,0.34,0.17,0.27,0.17,0.33,0.18,0,0.04,0.13,0.02,0.4,-0.03,0.02,0.07,0.29,0.17,0.14,0.29,0.27,0.36,0.44,0.26,0.18,0.05,0.02,-0.14,0,-0.11,-0.13,0.17,0.06,-0.04,0.32,0.33,0.04,0.14,0.24,0.3
"20","11","Recreation and culture","W599RZ2",0.03,0.07,0.04,0.06,0.01,0.03,0.03,0.06,0.12,0.09,0.03,0.02,0.02,0.05,0.12,0.11,-0.01,-0.02,0.07,0,-0.03,-0.05,0,-0.02,0.03,0.08,0.06,0.01,0.02,0.06,0.07,0.03,0.01,-0.02,0.02,0.05,0.06,0.09,0.05,0.03,0.1,0.09,0.08,-0.02,-0.02,0,-0.02,0.08
