"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2000=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 26, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2009 11:02:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","B191RA3",8.813,8.054,7.537,6.557,6.473,7.173,7.812,8.828,9.281,8.961,9.684,10.534,12.337,14.622,17.021,18.402,18.196,16.19,16.039,16.738,16.651,18.104,19.507,20.254,21.183,21.039,22.541,22.979,23.44,23.217,24.868,25.484,26.077,27.658,28.868,30.545,32.506,34.625,35.496,37.208,38.356,38.422,39.713,41.815,44.224,44.001,43.916,46.256,48.391,51.085,52.699,52.579,53.904,52.86,55.249,59.22,61.666,63.804,65.958,68.684,71.116,72.451,72.329,74.734,76.731,79.816,81.814,84.842,88.658,92.359,96.469,100,100.751,102.362,104.931,108.748,111.944,115.054,117.388,118.692
"9","2","Personal consumption expenditures","B002RA3",9.814,9.29,9.005,8.206,8.028,8.595,9.123,10.046,10.417,10.249,10.819,11.382,12.195,11.917,12.258,12.615,13.395,15.03,15.307,15.646,16.077,17.105,17.378,17.928,18.78,19.162,20.558,21.151,21.674,21.846,23.067,23.702,24.191,25.389,26.436,28.02,29.791,31.484,32.422,34.284,35.558,36.381,37.77,40.082,42.048,41.729,42.688,45.041,46.95,49.012,50.204,50.065,50.779,51.493,54.436,57.325,60.303,62.749,64.84,67.468,69.369,70.782,70.903,73.224,75.672,78.504,80.623,83.382,86.533,90.896,95.537,100,102.537,105.34,108.249,112.197,115.615,119.135,122.456,122.743
"10","3","  Durable goods","B003RA3",4.153,3.423,2.926,2.193,2.151,2.485,3.034,3.723,3.923,3.204,3.807,4.387,5.09,3.101,2.713,2.48,2.798,5.319,6.355,6.774,7.327,8.942,8.147,7.929,8.91,8.876,10.845,10.407,10.501,9.656,10.822,11.041,10.622,11.865,13.017,14.222,16.025,17.377,17.648,19.594,20.289,19.631,21.593,24.336,26.849,25.001,24.996,28.187,30.809,32.435,32.325,29.788,30.149,30.128,34.535,39.577,43.577,47.785,48.616,51.549,52.686,52.532,49.564,52.47,56.577,61.321,64.011,69.025,74.935,83.432,93.192,100,104.327,111.752,118.214,125.652,131.397,137.274,143.908,137.666
"11","4","    Motor vehicles and parts","B165RA3",7.4,5.151,4.017,2.568,3.061,3.813,5.28,6.521,6.627,4.288,5.842,7.355,8.366,1.335,1.37,1.267,1.569,5.338,7.728,8.73,11.155,14.416,12.18,10.955,13.607,12.976,17.772,15.139,15.836,13.113,15.629,16.588,14.945,17.744,19.97,21.126,24.526,24.979,24.401,28.391,29.554,26.623,31.727,36.269,39.606,32.831,33.042,39.957,44.223,46.128,43.069,37.294,38.136,39.114,46.66,54.541,61.644,66.248,63.772,67.367,67.301,66.252,58.623,63.37,67.073,71.47,70.44,73.828,78.82,87.697,96.357,100,104.998,110.991,114.372,116.638,116.387,113.304,115.582,100.189
"12","5","    Furniture and household equipment","B166RA3",2.735,2.456,2.244,1.819,1.668,1.819,2.064,2.572,2.687,2.421,2.736,3.027,3.551,2.929,2.211,1.9,2.099,3.889,4.521,4.717,4.637,5.558,5.275,5.365,5.634,5.753,6.477,6.774,6.581,6.48,6.974,6.89,7.015,7.458,8.025,9.04,9.898,11.165,11.689,12.438,12.764,12.905,13.419,14.86,16.483,16.658,16.276,17.357,18.851,19.958,21.083,20.714,20.737,20.297,23.064,25.82,28.085,31.606,33.858,36.171,38.08,38.306,38.698,40.83,45.089,50.1,55.389,61.798,69.117,78.19,89.717,100,106.038,116.426,127.124,142.244,156.895,175.831,189.83,196.325
"13","6","    Other","B167RA3",3.239,2.911,2.361,1.788,1.544,1.858,2.134,2.423,2.929,2.843,3.025,3.238,3.809,3.986,4.666,4.78,5.415,7.066,6.725,6.776,6.409,6.785,6.947,7.35,7.687,8.064,8.899,9.554,9.747,9.912,10.468,10.35,10.313,11.012,11.707,13.056,14.453,17.204,17.979,19.588,20.464,21.491,21.841,24.648,27.662,28.503,29.619,31.918,34.223,36.497,37.929,35.118,35.572,35.018,37.036,42.355,44.432,48.873,52.01,54.838,55.961,56.577,54.149,55.049,59.168,63.602,67.838,72.988,77.658,83.927,92.555,100,99.552,105.169,111.804,119.046,125.149,132.979,139.314,138.197
"14","7","  Nondurable goods","B004RA3",15.102,14.394,14.323,13.153,12.956,14.066,14.907,16.655,17.251,17.492,18.397,19.218,20.512,20.867,21.559,22.413,24.02,25.331,24.643,24.726,25.108,25.892,26.572,27.627,28.494,28.853,30.25,31.281,31.857,32.164,33.491,33.994,34.621,35.71,36.463,38.248,40.277,42.487,43.157,45.126,46.326,47.436,48.294,50.422,52.068,51.02,51.771,54.301,55.609,57.687,59.226,59.137,59.839,60.409,62.417,64.898,66.665,69.06,70.715,73.016,75.044,76.209,76.033,77.553,79.619,82.369,84.152,86.3,88.605,92.154,96.374,100,102.027,104.614,108.002,111.833,115.687,119.93,122.872,122.143
"15","8","    Food","B168RA3",18.429,18.116,18.203,17.072,17.332,19.12,20.193,22.97,24.055,24.514,25.202,26.352,27.717,28.342,29.091,31.188,33.531,35.109,33.837,33.4,33.636,34.263,35.21,36.365,37.737,38.459,40.093,41.375,42.217,42.211,43.695,44.021,44.52,45.088,45.596,47.406,50.043,52.121,52.789,55.355,56.776,58.534,59.084,60.973,61.162,60.201,61.695,64.897,66.144,66.831,68.147,68.719,68.798,69.9,71.907,73.464,75.248,76.956,78,81.061,82.54,84.782,84.669,85.166,86.704,88.832,89.4,90.223,91.362,93.557,96.586,100,101.63,103.186,105.676,109.109,113.248,117.831,120.038,119.908
"16","9","    Clothing and shoes","B169RA3",12.224,10.993,10.834,9.628,8.644,9.12,9.87,10.741,10.637,10.789,11.65,12.029,12.933,13.484,14.712,14.235,14.712,15.051,14.378,14.518,14.587,14.95,14.888,15.696,15.853,15.879,16.658,17.098,16.982,17.149,18.029,18.19,18.531,19.368,19.715,21.271,22.146,23.64,23.775,24.775,25.221,24.907,26.105,27.859,29.81,29.391,30.392,31.831,33.555,36.896,38.822,39.748,42.175,42.831,46.004,49.909,52.234,56.417,58.44,60.193,63.633,63.2,63.401,66.919,69.659,73.393,76.377,80.176,82.619,88.373,94.95,100,102.027,106.899,112.272,117.798,125.054,132.484,138.677,139.228
