"","Table 5#4#4B# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2009 11:21:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","    Private fixed investment in structures","B349RG3",89.518,92.654,95.932,100,104.995,108.41,113.193,121.166,131.627,142.171,145.566
"9","2","Nonresidential","B009RG3",89.381,93.474,96.257,100,105.403,110.03,113.872,120.912,135.177,151.822,157.662
"10","3","  Commercial and health care","W001RG3",87.945,92.046,96.052,100,103.567,106.346,109.357,116.234,127.162,138.099,145.646
"11","4","    Office \1\","W031RG3",86.964,91.408,95.927,100,103.018,105.48,108.539,115.26,127.187,140.014,148.681
"12","5","    Health care","W032RG3",88.574,91.828,95.736,100,104.456,106.387,109.625,116.257,125.921,136.567,142.71
"13","6","      Hospitals and special care","C311RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.259,125.953,136.617,142.712
"14","7","        Hospitals","W033RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.288,125.981,136.607,142.726
"15","8","        Special care","W034RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.094,125.796,136.764,142.674
"16","9","      Medical buildings","W035RG3",88.471,91.828,95.736,100,104.456,106.387,109.625,116.252,125.841,136.435,142.748
"17","10","    Multimerchandise shopping","W036RG3",88.584,92.751,96.298,100,103.811,107.273,110.141,117.339,128.744,138.341,145.68
"18","11","    Food and beverage establishments","W037RG3",88.563,92.751,96.298,100,103.811,107.273,110.141,117.018,128.368,138.239,145.673
"19","12","    Warehouses","W038RG3",88.586,92.751,96.298,100,103.811,107.273,110.141,117.245,126.889,136.457,144.449
"20","13","    Other commercial \2\","W039RG3",88.69,92.799,96.33,100,103.776,107.206,110.058,117.296,128.409,138.165,145.332
"21","14","  Manufacturing","B307RG3",89.04,92.681,96.396,100,103.502,106.635,108.466,114.166,122.935,130.934,138.106
"22","15","  Power and communication","W003RG3",95.511,96.574,96.926,100,102.893,105.224,107.731,115.864,125.224,136.877,143.206
"23","16","    Power","W028RG3",92.814,94.573,96.081,100,102.827,105.599,108.015,117.133,128.151,135.94,142.695
"24","17","      Electric","B571RG3",93.292,95.17,96.176,100,103.08,106.057,108.152,114.35,121.719,130.096,140.383
"25","18","      Other power","W029RG3",91.879,93.431,95.815,100,101.882,103.961,107.333,125.222,147.361,153.332,150.468
"26","19","    Communication","B314RG3",99.4,99.36,98.041,100,102.992,104.616,107.318,113.23,119.72,137.315,142.873
"27","20","  Mining exploration, shafts, and wells","B318RG3",88.58,100.57,96.78,100,122.364,145.169,157.775,167.3,209.917,264.801,265.158
"28","21","    Petroleum and natural gas","B319RG3",88.514,101.025,96.834,100,123.175,147.167,160.339,170.001,214.673,272.527,272.401
"29","22","    Mining","B320RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.557,126.048,136.642,142.704
"30","23","  Other structures","W004RG3",89.559,92.504,95.978,100,104.23,106.467,109.341,115.278,123.604,132.465,138.742
"31","24","    Religious","C309RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.296,125.713,136.483,142.665
"32","25","    Educational and vocational","W044RG3",88.637,92.282,96.05,100,103.693,106.808,109.249,115.187,124.165,132.489,141.735
"33","26","    Lodging","W045RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.492,125.903,136.772,142.849
