"","Table 1#2#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:47:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","A191RL1",2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,2.1,0.4
"9","2","       Final sales of domestic product","A190RL1",3,3.7,3.9,4.4,4.9,4.2,2,1.3,2.4,3.2,3.2,2.6,2.5,0.8
"10","3","       Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4","Goods","A353RL1",3.7,5.5,7.8,5.8,7,4.9,-1.6,1.7,3.4,5.1,4.4,5.2,3.7,0.4
"12","5","    Final sales","A325RL1",5.2,5.5,6.2,6.1,7.2,5.1,1.4,0.1,3.2,3.6,5,5,5,1.8
"13","6","    Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","  Durable goods","A354RL1",7.2,7.3,11.7,9.6,9.8,7.5,-3.1,2.5,3.5,6.5,6.3,5.2,4.9,1.4
"15","8","    Final sales","A326RL1",7.6,8.6,10.1,9.7,10.1,7.7,1.5,-1.1,3.7,5.1,6.6,5.8,5.9,1.2
"16","9","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","  Nondurable goods","A356RL1",-0.1,3.5,3.4,1.4,3.6,1.6,0.3,0.8,3.4,3.6,2.2,5.2,2.4,-0.7
"18","11","    Final sales","A334RL1",2.7,2.1,1.8,1.9,3.8,1.9,1.2,1.7,2.7,2,3.1,4,3.8,2.4
"19","12","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Services \2\","A341RL1",2.1,2.4,2.7,3.4,3.8,3.8,2.6,2.5,1.9,2.7,2.5,2.3,2.6,1.5
"21","14","Structures","A755RL1",1.1,6.5,4.2,5.2,4.1,3.6,0.7,-2.5,3.3,4.9,2.9,-1.6,-4.4,-5.9
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RL1",-0.1,1.8,8.4,8.2,9.6,-1.5,-4.4,11.5,1.1,4,4,-1.2,-1.3,-18.4
"24","16","  Gross domestic product excluding motor vehicle output","A962RL1",2.6,3.8,4.3,4.2,4.6,4.4,1.3,1.5,2.5,3.6,3,2.8,2.2,1
"25","17","  Final sales of computers \3\","BB01RL1",55.6,58,52.9,43,43.2,30.6,12.9,3.1,16.3,4.9,18.4,25.2,22.1,21.3
"26","18","  Gross domestic product excluding final sales of computers","BB00RL1",2.1,3.3,4,4,4.5,3.9,1,1.8,2.4,3.6,3,2.5,2,0.3
"27","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RL1",1.9,3.3,4.2,5,5.2,4.6,1.1,2.3,2.7,3.9,3,2.4,1.3,-0.8
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
