"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:50:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Government consumption expenditures \1\","A955RA3",81.334,81.697,83.084,84.61,86.972,88.509,91.814,95.921,98.026,99.445,100,100.98,102.395,105.464
"9","2","        Gross output of general government","W101RA3",81.196,81.709,83.169,84.884,87.099,89.06,92.533,96.212,98.013,99.359,100,100.919,102.439,105.437
"10","3","          Value added","W102RA3",89.645,89.79,90.472,91.498,92.33,93.936,95.63,97.56,98.731,99.328,100,100.592,102.019,104.247
"11","4","            Compensation of general government employees","A194RA3",91.63,91.545,92.066,92.928,93.457,94.905,96.519,98.412,99.415,99.655,100,100.189,101.303,103.272
"12","5","            Consumption of general government fixed capital \2\","A265RA3",79.247,80.449,81.882,83.678,86.005,88.393,90.491,92.608,94.725,97.403,100,102.96,106.23,109.98
"13","6","          Intermediate goods and services purchased \3\","W104RA3",67.734,68.799,71.434,74.202,78.589,81.107,87.409,93.947,96.8,99.41,100,101.463,103.137,107.395
"14","7","            Durable goods","W105RA3",67.555,68.458,70.785,74.518,80.261,82.684,86.135,89.152,92.608,98.561,100,105.538,112.792,125.976
"15","8","            Nondurable goods","W106RA3",68.225,69.622,73.497,78.914,82.112,86.239,93.286,97.25,97.028,98.977,100,99.929,101.827,103.804
"16","9","            Services","W107RA3",67.614,68.591,70.86,72.691,77.281,79.298,85.66,93.369,97.136,99.642,100,101.664,102.757,107.172
"17","10","        Less: Own-account investment \4\","W108RA3",85.007,84.315,89.042,90.433,90.72,91.077,101.351,102.058,98.761,99.361,100,102.063,105.283,108.925
"18","11","              Sales to other sectors","W109RA3",80.006,81.598,83.279,86.245,87.655,92.547,96.582,97.658,97.866,98.788,100,100.422,102.503,104.985
"19","12","Federal consumption expenditures \1\","A957RA3",81.679,80.247,80.341,78.662,79.699,80.493,83.953,89.545,95.492,99.176,100,101.397,102.189,109.048
"20","13","      Gross output of general government","W110RA3",82.201,80.807,80.48,79.01,79.69,80.609,83.866,89.334,95.204,98.852,100,101.197,101.928,108.67
"21","14","        Value added","W111RA3",99.174,96.447,94.63,93.547,92.781,93.558,93.929,95.78,98.356,99.335,100,99.933,100.688,104.664
"22","15","          Compensation of general government employees","B568RA3",101.701,97.975,95.516,94.067,92.754,93.527,93.898,96.118,99.126,99.873,100,99.042,99.044,102.825
"23","16","          Consumption of general government fixed capital \2\","B995RA3",92.38,92.129,91.976,91.866,92.587,93.373,93.74,94.462,95.624,97.405,100,103.22,106.831,111.545
"24","17","        Intermediate goods and services purchased \3\","W113RA3",62.192,62.264,63.576,61.698,64.005,65.079,71.639,81.355,91.236,98.234,100,102.835,103.535,113.903
"25","18","          Durable goods","W114RA3",70.326,70.546,71.128,71.682,76.323,75.993,76.917,81.115,88.144,97.856,100,108.232,118.216,139.614
"26","19","          Nondurable goods","W115RA3",55.601,54.578,60.55,65.413,57.015,63.03,73.288,78.699,85.251,94.873,100,95.913,95.946,102.984
"27","20","          Services","W116RA3",62.104,62.298,63.103,60.004,63.321,63.937,70.763,81.772,92.46,98.765,100,103.26,102.973,112.626
"28","21","      Less: Own-account investment \4\","W117RA3",132.885,125.004,119.332,119.34,106.871,87.091,106.814,110.657,104.641,100.474,100,98.224,94.159,101.333
"29","22","            Sales to other sectors","W118RA3",98.416,103.2,71.703,86.394,64.367,85.698,64.437,60.538,65.931,70.639,100,85.835,83.851,80.31
"30","23","    Defense consumption expenditures \1\","A997RA3",82.457,81.294,80.072,77.935,79.166,78.445,81.296,86.597,94.027,98.936,100,100.823,102.432,109.088
"31","24","      Gross output of general government","W085RA3",82.629,81.546,80.154,77.928,79.095,78.372,81.267,86.644,94.014,98.841,100,100.848,102.471,108.871
"32","25","        Value added","W086RA3",104.365,100.862,97.879,95.253,93.333,92.65,92.883,94.619,97.338,99.137,100,99.505,100.025,104.024
"33","26","          Compensation of general government employees","B237RA3",105.518,101.044,97.383,94.314,92.037,91.421,92.066,94.51,97.878,99.677,100,98.458,98.106,101.891
"34","27","          Consumption of general government fixed capital \2\","B432RA3",102.203,100.72,99.215,97.578,96.473,95.629,94.865,94.776,95.681,97.48,100,102.831,106.207,110.908
"35","28","        Intermediate goods and services purchased \3\","W087RA3",58.936,60.308,60.568,58.789,63.179,62.422,68.132,77.476,90.124,98.486,100,102.483,105.472,114.84
"36","29","          Durable goods","A998RA3",73.364,72.798,73.086,73.692,78.292,77.517,78.062,81.275,89.159,98.911,100,108.359,119.049,140.946
"37","30","          Nondurable goods","A725RA3",51.642,57.018,57.425,59.326,66.303,69.562,71.548,81.729,86.269,99.367,100,96.362,99.904,103.345
"38","31","          Services","A489RA3",56.995,58.401,58.643,56.103,60.259,59.157,66.133,76.469,90.633,98.325,100,102.261,103.984,112.234
"39","32","      Less: Own-account investment \4\","W088RA3",111.605,103.493,98.69,93.884,84.19,69.686,88.882,118.968,114.699,105.696,100,97.858,93.334,97.632
"40","33","            Sales to other sectors","W089RA3",91.111,106.55,81.232,66.817,64.898,72.057,71.926,73.867,79.189,79.922,100,106.665,114.445,81.7
"41","34","    Nondefense consumption expenditures \1\","A542RA3",80.157,78.179,80.937,80.174,80.825,84.638,89.317,95.495,98.458,99.664,100,102.578,101.675,108.959
"42","35","      Gross output of general government","W128RA3",81.394,79.384,81.164,81.177,80.907,85.027,88.992,94.642,97.556,98.875,100,101.899,100.819,108.262
"43","36","        Value added","W129RA3",89.973,88.639,88.919,90.583,91.858,95.203,95.816,97.871,100.194,99.696,100,100.727,101.924,105.855
"44","37","          Compensation of general government employees","W130RA3",95.876,93.314,92.741,93.819,93.999,96.914,96.861,98.731,101.159,100.197,100,100.029,100.638,104.413
"45","38","          Consumption of general government fixed capital \2\","B546RA3",67.102,69.979,73.299,77.087,82.514,87.519,90.814,93.639,95.473,97.202,100,104.267,108.52,113.271
