"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:50:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Government consumption expenditures \1\","A955RG3",70.967,72.838,74.367,75.483,78.126,81.494,83.944,86.436,90.61,94.588,100,104.811,109.366,114.427
"9","2","        Gross output of general government","W101RG3",71.126,73.037,74.593,75.71,78.28,81.525,83.961,86.494,90.692,94.741,100,104.773,109.328,114.355
"10","3","          Value added","W102RG3",68.724,70.67,72.354,73.995,77.023,79.947,82.961,86.443,91.111,95.271,100,104.635,109.301,112.75
"11","4","            Compensation of general government employees","A194RG3",66.091,68.219,70.081,71.927,75.215,78.264,81.612,85.587,90.892,95.291,100,104.647,109.297,112.691
"12","5","            Consumption of general government fixed capital \2\","A265RG3",85.528,86.219,86.693,86.976,88.313,90.433,91.343,91.737,92.45,95.154,100,104.566,109.32,113.077
"13","6","          Intermediate goods and services purchased \3\","W104RG3",75.785,77.602,78.874,78.897,80.54,84.402,85.753,86.603,89.996,93.861,100,105.001,109.375,116.973
"14","7","            Durable goods","W105RG3",103.185,103.023,102.315,101.094,100.069,99.738,98.771,98.108,97.955,98.69,100,101.784,102.255,103.537
"15","8","            Nondurable goods","W106RG3",66.966,70.048,69.824,66.635,68.974,77.232,76.561,75.466,81.11,87.888,100,107.504,113.96,131.3
"16","9","            Services","W107RG3",76.482,78.009,80.028,81.422,83.041,85.554,87.93,89.678,92.533,95.61,100,104.391,108.392,113.135
"17","10","        Less: Own-account investment \4\","W108RG3",73.098,74.802,76.387,77.704,80.292,83.546,86.15,88.521,91.973,95.608,100,104.032,107.926,112.035
"18","11","              Sales to other sectors","W109RG3",71.999,74.196,75.925,77.036,79.128,81.572,83.905,86.717,91.134,95.693,100,104.578,109.19,114.061
"19","12","Federal consumption expenditures \1\","A957RG3",70.41,72.708,74.361,75.462,77.545,80.463,82.458,86.106,90.283,94.978,100,104.439,108.458,111.892
"20","13","      Gross output of general government","W110RG3",70.393,72.706,74.375,75.441,77.553,80.49,82.487,86.127,90.293,94.983,100,104.425,108.442,111.872
"21","14","        Value added","W111RG3",65.246,68.029,69.856,71.205,73.794,76.764,78.848,83.726,88.735,94.536,100,105.063,109.953,112.192
"22","15","          Compensation of general government employees","B568RG3",58.752,62.138,64.466,66.125,69.045,72.315,74.853,81.063,87.21,93.896,100,105.569,111.234,113.493
"23","16","          Consumption of general government fixed capital \2\","B995RG3",89.651,89.983,89.861,90.037,91.406,93.291,93.718,93.697,94.437,96.901,100,103.256,105.474,107.643
"24","17","        Intermediate goods and services purchased \3\","W113RG3",78.877,80.178,81.499,81.996,83.154,85.976,87.792,89.429,92.366,95.563,100,103.617,106.54,111.419
"25","18","          Durable goods","W114RG3",98.86,98.688,98.203,97.504,97.176,97.57,97.395,97.243,97.799,98.647,100,102.032,101.968,102.607
"26","19","          Nondurable goods","W115RG3",65.932,70.037,70.449,66.946,69.242,78.63,77.196,76.637,81.725,87.842,100,107.245,111.493,128.011
"27","20","          Services","W116RG3",78.037,79.165,80.86,82.146,83.352,85.594,88.183,90.377,93.285,96.341,100,103.281,106.412,110.269
"28","21","      Less: Own-account investment \4\","W117RG3",67.246,69.487,71.816,73.886,76.522,79.953,82.732,86.808,90.666,95.927,100,104.066,108.079,110.735
"29","22","            Sales to other sectors","W118RG3",72.703,76.07,78.492,76.109,80.209,84.224,85.995,88.317,91.405,95.124,100,103.366,107.11,110.668
"30","23","    Defense consumption expenditures \1\","A997RG3",69.956,72.437,73.868,74.848,76.786,79.69,81.716,85.382,89.898,94.474,100,104.779,109.011,112.891
"31","24","      Gross output of general government","W085RG3",69.948,72.429,73.867,74.858,76.798,79.699,81.74,85.406,89.911,94.486,100,104.77,109.003,112.878
"32","25","        Value added","W086RG3",64.518,67.47,69.059,70.29,72.59,75.437,77.696,82.692,88.078,93.698,100,105.576,110.946,113.49
"33","26","          Compensation of general government employees","B237RG3",57.008,60.701,62.776,64.269,66.841,70.024,72.895,79.478,86.269,92.744,100,106.231,112.56,115.062
"34","27","          Consumption of general government fixed capital \2\","B432RG3",87.949,88.504,88.581,89.014,90.513,92.384,92.806,92.918,93.853,96.726,100,103.565,106.104,108.763
"35","28","        Intermediate goods and services purchased \3\","W087RG3",78.549,79.96,81.054,81.547,82.768,85.705,87.34,88.906,92.18,95.439,100,103.813,106.729,112.088
"36","29","          Durable goods","A998RG3",96.612,96.79,96.622,96.186,96.072,96.635,96.646,96.752,97.5,98.477,100,102.349,102.545,103.449
"37","30","          Nondurable goods","A725RG3",58.632,64.195,63.198,56.38,58.845,71.73,68.662,67.278,74.42,82.388,100,109.722,115.473,142.673
"38","31","          Services","A489RG3",77.515,78.743,80.323,81.845,83.197,85.352,87.907,90.092,93.333,96.433,100,103.406,106.496,110.384
"39","32","      Less: Own-account investment \4\","W088RG3",68.019,69.871,72.285,74.12,76.18,79.187,81.85,85.815,89.688,95.301,100,104.675,108.602,111.646
"40","33","            Sales to other sectors","W089RG3",70.425,73.344,75.189,77.187,79.47,81.822,86.012,89.324,92.532,95.962,100,103.484,108.006,111.47
"41","34","    Nondefense consumption expenditures \1\","A542RG3",71.299,73.207,75.322,76.664,79.036,81.985,83.922,87.54,91.075,96.008,100,103.747,107.333,109.848
"42","35","      Gross output of general government","W128RG3",71.253,73.219,75.352,76.567,79.012,82.018,83.935,87.532,91.063,95.981,100,103.737,107.319,109.849
"43","36","        Value added","W129RG3",66.531,68.944,71.256,72.837,75.973,79.167,80.938,85.609,89.947,96.074,100,104.123,108.142,109.828
"44","37","          Compensation of general government employees","W130RG3",61.618,64.424,67.194,69.134,72.629,76.04,78.053,83.672,88.786,95.82,100,104.467,109.045,110.903
"45","38","          Consumption of general government fixed capital \2\","B546RG3",95.047,94.473,93.599,92.875,93.818,95.739,96.183,95.792,96.009,97.37,100,102.432,103.804,104.684
