"","Table 3#11#1# Percent Change From Preceding Period in Real Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:51:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    National defense consumption expenditures and gross investment","A824RL1",-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.8
"9","2","Consumption expenditures \1\","A997RL1",-3.6,-1.4,-1.5,-2.7,1.6,-0.9,3.6,6.5,8.6,5.2,1.1,0.8,1.6,6.5
"10","3","  Gross output of general government","W085RL1",-4.3,-1.3,-1.7,-2.8,1.5,-0.9,3.7,6.6,8.5,5.1,1.2,0.8,1.6,6.2
"11","4","    Value added","W086RL1",-4.2,-3.4,-3,-2.7,-2,-0.7,0.3,1.9,2.9,1.8,0.9,-0.5,0.5,4
"12","5","      Compensation of general government employees","B237RL1",-5.5,-4.2,-3.6,-3.2,-2.4,-0.7,0.7,2.7,3.6,1.8,0.3,-1.5,-0.4,3.9
"13","6","        Military","B4080L1",-5.2,-3.7,-2.7,-2.3,-1.8,0.9,2,3.7,5.4,1.1,-0.6,-2.3,-0.8,4.5
"14","7","        Civilian","W090RL1",-5.9,-5.2,-5.2,-4.7,-3.5,-3.3,-1.7,0.7,-0.2,3.3,2.3,0.2,0.6,2.6
"15","8","      Consumption of general government fixed capital \2\","B432RL1",-1.5,-1.5,-1.5,-1.6,-1.1,-0.9,-0.8,-0.1,1,1.9,2.6,2.8,3.3,4.4
"16","9","    Intermediate goods and services purchased \3\","W087RL1",-4.5,2.3,0.4,-2.9,7.5,-1.2,9.1,13.7,16.3,9.3,1.5,2.5,2.9,8.9
"17","10","      Durable goods","A998RL1",-8.9,-0.8,0.4,0.8,6.2,-1,0.7,4.1,9.7,10.9,1.1,8.4,9.9,18.4
"18","11","        Aircraft","B999RL1",-4.7,-0.8,6.9,6.2,5.6,-6.9,-1.4,0.3,12.4,4.9,-10.7,-0.1,3.8,13.1
"19","12","        Missiles","B277RL1",-17.4,-6.4,-11.3,-0.5,-2.6,9.8,6.2,-7.1,-4.5,7.6,23.7,19.7,8.8,5.2
"20","13","        Ships","B278RL1",-25.1,-22.7,4.2,-8.8,41.7,9.4,-7.7,5.1,-1.4,8.8,-6,-1,-19.6,-31.6
"21","14","        Vehicles","B288RL1",11.7,-13.7,15.7,-25.4,-24.5,-17.1,8.1,-2.6,2.5,4.7,39,47.7,38.9,35.3
"22","15","        Electronics","B388RL1",-18.9,4.5,0.8,-1.6,16,11,3.5,11.7,17.4,17.9,22.7,16.8,22.7,38.7
"23","16","        Other durable goods","B389RL1",-3.1,8.6,-8.7,0.8,6.8,0.3,1.7,13.7,10.4,19.9,-3.1,5.5,7.7,16
"24","17","      Nondurable goods","A725RL1",-18.1,10.4,0.7,3.3,11.8,4.9,2.9,14.2,5.6,15.2,0.6,-3.6,3.7,3.4
"25","18","        Petroleum products","B780RL1",-9.3,1.1,-10.2,-2.4,10.6,-7.7,16.9,15.2,-9,8.9,-2.7,-3.9,3.8,1.5
"26","19","        Ammunition","B781RL1",-36,17.1,22.8,13.2,1.8,-4.9,14.2,21.6,3.5,31.1,4.1,-1.8,-6.3,2.4
"27","20","        Other nondurable goods","B783RL1",-16,19,2.8,2.5,18.7,21.5,-13.3,9.4,23.8,14.1,3,-4.3,9.8,7.8
"28","21","      Services","A489RL1",-2,2.5,0.4,-4.3,7.4,-1.8,11.8,15.6,18.5,8.5,1.7,2.3,1.7,7.9
"29","22","        Research and development","B784RL1",-2.5,8.9,0.3,-6.1,-0.6,-2.8,8.3,21.7,13.7,13.1,1.8,3.6,-3.3,5
"30","23","        Installation support","B911RL1",-5.9,0.6,-3.7,-5.5,3.1,-0.3,6,8,11.4,-3.4,-5.9,-0.2,-5.4,3.9
"31","24","        Weapons support","B912RL1",3.7,-11.6,15.4,-4.5,14.3,-0.7,27.6,22.1,25.3,-0.3,10.3,2.3,-2.7,18.7
"32","25","        Personnel support","B913RL1",3.3,4,5.8,-2.4,22.9,-2,18.4,19.6,16.1,23,6.8,5.9,5.5,16.6
"33","26","        Transportation of material","B786RL1",12,3.9,-18,3.6,4.8,-5.7,7.6,0.9,86,-12.9,-18.2,-4,50.5,-16.6
"34","27","        Travel of persons","B785RL1",-13.4,-3.7,-0.5,-0.4,8,-2.2,1.4,-3,21.4,16.2,2.4,-14.8,9.7,-20
"35","28","  Less: Own-account investment \4\","W088RL1",-2.5,-7.3,-4.6,-4.9,-10.3,-17.2,27.5,33.8,-3.6,-7.8,-5.4,-2.1,-4.6,4.6
"36","29","        Sales to other sectors","W089RL1",-52.8,16.9,-23.8,-17.7,-2.9,11,-0.2,2.7,7.2,0.9,25.1,6.7,7.3,-28.6
"37","30","Gross investment \5\","A788RL1",-4.5,-0.9,-10.6,1.6,3.7,2.1,4.9,13.1,9.5,8.9,4.4,7,6.2,16.7
"38","31","  Structures","A808RL1",11.4,-8.6,-5.7,-7.2,-11.2,-4,-5,6.9,21.3,-7.7,-4.5,0,22.7,20.4
"39","32","  Equipment and software","A873RL1",-6.5,0.3,-11.3,3,5.9,2.9,6.1,13.8,8.1,11.1,5.4,7.8,4.3,16.2
"40","33","    Aircraft","B874RL1",-19.1,-2.7,-30.5,0.7,4.1,16.6,16.9,15.3,-0.7,23.4,25.4,1.6,-6.1,5.1
"41","34","    Missiles","B875RL1",-15.8,-10.4,-26,12.6,-9.3,-5.8,25.5,-0.1,3.1,13.6,-3.2,11.6,-5.5,-4.7
"42","35","    Ships","B876RL1",-5.9,-15.5,-11.3,5.7,6,-4.8,9.6,19.6,8.4,-3.8,-7.8,-1.4,-6.9,-0.5
"43","36","    Vehicles","B877RL1",4,8.2,15.5,11.3,11.3,11.3,7,35.6,18.5,-11.4,37.6,28.3,21.3,47.2
"44","37","    Electronics and software","B878RL1",-4.2,7.4,5,6.1,9.9,3.5,-1.2,5.2,8.3,11.3,11.7,13.8,17.1,26.6
"45","38","    Other equipment","B879RL1",5.6,10,-8,-1.8,6.9,0.3,0.4,15.9,12.1,16.1,-3.5,8,6,18.1
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
