"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:51:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Exports of goods and services","B020RG3",95.997,94.727,93.103,90.972,90.408,91.999,91.627,91.253,93.216,96.517,100,103.447,107.103,112.389
"9","2","Exports of goods \1\","B253RG3",101.367,98.749,96.021,92.992,91.733,92.897,92.321,91.719,93.522,96.926,100,103.328,107.015,112.366
"10","3","  Foods, feeds, and beverages","B638RG3",93.26,104.362,96.3,87.702,83.653,82.307,82.685,84.743,92.411,101.278,100,103.644,121.779,146.784
"11","4","  Industrial supplies and materials","B639RG3",83.691,79.837,79.507,75.266,74.157,79.04,76.739,75.611,80.842,89.996,100,109.279,117.462,128.728
"12","5","    Durable goods","B686RG3",86.592,83.6,82.854,79.442,77.379,78.961,77.639,77.824,81.261,91.69,100,112.569,119.783,122.381
"13","6","    Nondurable goods","B687RG3",81.974,77.68,77.57,72.886,72.316,79.164,76.277,74.436,80.584,89.072,100,107.391,116.142,132.455
"14","7","  Capital goods, except automotive","B640RG3",120.933,113.041,107.422,104.433,102.729,102.25,102.255,101.083,99.864,99.684,100,100.725,100.435,100.967
"15","8","    Civilian aircraft, engines, and parts","B688RG3",70.579,73.393,75.902,76.877,78.577,82.403,87.098,89.482,92.515,95.771,100,104.115,108.772,113.924
"16","9","    Computers, peripherals, and parts","B850RG3",226.638,190.226,163.643,143.815,130.409,124.01,120.042,112.616,109.965,108.375,100,95.498,88.292,80.893
"17","10","    Other","B689RG3",117.708,110.974,106.338,104.83,103.975,103.341,102.861,101.805,99.719,99.017,100,100.908,100.722,101.611
"18","11","  Automotive vehicles, engines, and parts","B641RG3",93.334,94.359,95.116,95.215,95.802,96.597,96.928,97.418,98.11,98.882,100,101.219,102.392,103.645
"19","12","  Consumer goods, except automotive","B642RG3",96.205,97.477,98.199,98.206,97.868,98.271,97.919,97.42,97.975,98.9,100,101.277,103.406,105.618
"20","13","    Durable goods","B690RG3",96.525,97.656,98.6,98.326,97.714,98.411,98.51,98.245,98.648,98.99,100,100.93,101.976,104.001
"21","14","    Nondurable goods","B691RG3",95.886,97.302,97.796,98.098,98.051,98.135,97.291,96.54,97.255,98.8,100,101.694,105.223,107.684
"22","15","  Other","B643RG3",91.925,91.769,90.816,88.74,88.233,89.974,89.682,89.611,92.016,96.051,100,103.921,108.734,115.375
"23","16","Exports of services \1\","B646RG3",83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.718,107.305,112.445
"24","17","  Transfers under U.S. military agency sales contracts","B267RG3",96.611,97.035,94.806,92.953,96.934,95.902,94.091,93.988,95.087,96.573,100,103.053,104.809,107.3
"25","18","  Travel","B493RG3",79.809,81.717,83.561,84.519,86.786,90.868,91.358,90.619,92.461,95.709,100,104.366,108.082,113.084
"26","19","  Passenger fares","B533RG3",69.853,69.883,66.544,65.404,70.52,72.431,73.029,75.203,84.092,92.744,100,100.447,108.413,119.891
"27","20","  Other transportation","B683RG3",78.651,80.812,81.027,78.243,78.836,86.955,86.028,84.9,87.774,91.043,100,105.387,108.758,123.158
"28","21","  Royalties and license fees","B684RG3",80.882,82.662,84.133,84.822,86.114,88.293,90.111,91.441,93.555,96.464,100,103.386,106.259,109.61
"29","22","  Other private services","B720RG3",91.399,93.24,94.379,94.267,92.635,93.054,92.626,92.581,94.15,96.61,100,103.753,107.179,110.153
"30","23","  Other","B980RG3",73.684,74.672,79.352,82.367,83.653,87.6,87.93,91.029,94.092,96.257,100,101.858,107.23,117.146
"31","24","    Imports of goods and services","B021RG3",95.557,93.891,90.627,85.748,86.25,89.963,87.762,86.784,89.796,94.144,100,104.144,108.017,119.559
"32","25","Imports of goods \1\","B255RG3",98.868,96.362,92.381,86.801,86.874,91.128,88.482,86.93,89.476,93.872,100,104.207,108.046,120.323
"33","26","  Foods, feeds, and beverages","B647RG3",96.192,94.156,95,91.986,88.956,87.798,85.163,86.18,89.873,94.57,100,103.764,111.686,123.321
"34","27","  Industrial supplies and materials, except petroleum and products","B649RG3",79.472,78.343,78.256,74.392,73.987,81.103,80.256,75.121,81.372,90.758,100,105.043,110.941,128.309
"35","28","    Durable goods","B820RG3",83.513,82.325,83.809,79.865,80.01,84.553,81.55,78.58,80.571,94.803,100,109.641,118.05,130.361
"36","29","    Nondurable goods","B696RG3",75.337,74.269,72.74,68.962,68.018,77.633,78.83,71.663,82,86.541,100,99.981,103.161,125.461
"37","30","  Petroleum and products","B648RG3",33.325,39.902,37.802,25.083,33.145,55.707,46.603,47.679,57.473,73.094,100,122.383,137.041,193.187
"38","31","  Capital goods, except automotive","B650RG3",164.151,143.628,127.058,117.558,112.388,109.807,106.545,103.06,101.718,100.604,100,99.267,99.696,101.186
"39","32","    Civilian aircraft, engines, and parts","B932RG3",74.176,77.431,80.347,81.716,83.177,85.866,89.184,91.034,93.273,96.433,100,103.92,109.221,115.89
"40","33","    Computers, peripherals, and parts","B852RG3",295.136,253.37,218.962,181.52,158.241,148.981,135.007,124.324,116.108,108.607,100,92.849,87.732,82.719
"41","34","    Other","B853RG3",141.258,122.838,108.127,103.637,102.224,100.733,99.425,97.277,97.677,98.216,100,101.182,103.295,106.882
"42","35","  Automotive vehicles, engines, and parts","B651RG3",94.299,94.905,95.098,95.223,95.878,96.549,96.478,96.768,97.294,98.946,100,100.384,101.404,103.984
"43","36","  Consumer goods, except automotive","B652RG3",104.457,104.79,103.509,102.087,101.371,100.65,99.864,98.802,98.576,99.104,100,100.382,101.738,104.278
"44","37","    Durable goods","B697RG3",111.303,111.264,108.828,105.925,104.64,103.779,102.607,100.863,100.05,99.794,100,100.634,101.708,103.759
"45","38","    Nondurable goods","B698RG3",97.393,98.085,97.933,97.968,97.833,97.261,96.88,96.528,96.919,98.301,100,100.08,101.78,104.917
