"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:52:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Private fixed investment","A007RL1",6.4,9,9.2,10.9,9.3,7.4,-1.9,-4.2,3.2,7.3,6.5,2.3,-2.1,-5.1
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential","A008RZ2",7.41,6.77,8.7,8.78,7.61,7.12,-2.04,-5.7,0.63,3.97,4.26,5,4.13,1.19
"12","3","  Structures","B009RZ2",1.17,1.07,1.39,0.99,0.02,1.42,-0.29,-3.5,-0.67,0.18,0.24,1.58,2.93,2.46
"13","4","    Commercial and health care","W001RZ2",0.44,0.58,0.81,0.51,0.3,0.54,-0.4,-1.25,-0.46,0.17,-0.06,0.4,0.7,-0.15
"14","5","    Manufacturing","C307RZ2",0.51,0.17,-0.14,0.1,-0.47,0.07,-0.06,-0.94,-0.1,0.06,0.22,0.15,0.35,0.52
"15","6","    Power and communication","W003RZ2",0.06,-0.42,-0.09,0.38,0.42,0.4,0.09,-0.07,-0.25,-0.49,-0.05,0.17,0.81,0.62
"16","7","    Mining exploration, shafts, and wells","E318RZ2",-0.25,0.09,0.26,-0.23,-0.23,0.29,0.28,-0.6,0.27,0.39,0.32,0.59,0.53,1.01
"17","8","    Other structures \1\","W004RZ2",0.41,0.65,0.55,0.24,0.01,0.12,-0.19,-0.64,-0.13,0.05,-0.18,0.28,0.54,0.45
"18","9","  Equipment and software","B010RZ2",6.24,5.7,7.31,7.79,7.58,5.7,-1.76,-2.2,1.29,3.79,4.02,3.42,1.2,-1.26
"19","10","    Information processing equipment and software","A679RZ2",3.85,4.52,5.4,5.49,5.51,4.66,-0.12,-0.72,1.69,2.29,1.68,1.81,1.74,1.4
"20","11","      Computers and peripheral equipment","B935RZ2",2.36,2.33,2.41,2.48,2.28,1.22,0.14,0.23,0.41,0.49,0.46,0.79,0.63,0.31
"21","12","      Software \2\","B985RZ2",0.65,1.15,2.05,1.68,2.04,1.39,0.08,-0.01,0.77,1.11,0.69,0.42,0.64,0.7
"22","13","      Other \3\","A937RZ2",0.84,1.04,0.93,1.33,1.19,2.05,-0.33,-0.94,0.51,0.68,0.53,0.59,0.48,0.39
"23","14","    Industrial equipment","A680RZ2",1.08,0.43,0.24,0.47,0.06,0.81,-0.7,-0.6,-0.01,-0.23,0.62,0.62,0.37,-0.3
"24","15","    Transportation equipment","A681RZ2",0.85,0.42,0.86,0.96,1.78,-0.24,-0.88,-0.82,-0.78,1.22,0.99,0.68,-0.85,-2.18
"25","16","    Other equipment \4\","A862RZ2",0.46,0.33,0.81,0.88,0.23,0.46,-0.06,-0.06,0.4,0.51,0.73,0.31,-0.06,-0.18
"26","17","Residential","A011RZ2",-0.97,2.2,0.53,2.07,1.7,0.27,0.15,1.47,2.6,3.37,2.25,-2.69,-6.21,-6.27
"27","18","  Structures","A012RZ2",-0.97,2.2,0.53,2.03,1.65,0.24,0.14,1.45,2.57,3.32,2.23,-2.71,-6.21,-6.25
"28","19","    Permanent site","A943RZ2",-1.14,1.46,0.09,1.45,1.17,0.13,0.09,0.67,1.82,2.39,1.57,-2,-5.24,-5.15
"29","20","      Single family","A944RZ2",-1.47,1.29,-0.05,1.47,1.04,0.16,0.02,0.57,1.77,2.23,1.36,-2.02,-5,-4.82
