"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:52:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Private fixed investment","A007RL1",9.4,-1.5,5.4,8.6,10.5,13.7,9.6,6.9,8,8.9,16.3,3.5,12.6,14.7,7.8,12.8,7.6,9.7,9.6,2.3,12.2,10.4,1.4,1.2,-2.4,-6.1,-4.1,-9.7,-3.5,-1.6,-0.7,-3.2,0.1,10.6,13.5,7.4,-0.8,12.9,8.8,7,5,7.3,5.2,1.5,9.5,-1.9,-5,-5.3,-2.6,3.6,-0.4,-4.2,-6.3,-2.7,-8.3,-20.2,-39,-13.5
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Nonresidential","A008RZ2",11.91,1.99,2.02,6.04,7.48,8.74,9.84,7.96,7.65,7.51,15.73,2.38,10.61,11.33,4.57,10.1,6.93,8.46,8.7,0.95,11.32,11.14,3.25,1.11,-2.86,-7.62,-4.72,-8.73,-6.58,-4.51,-1.41,-5.13,-1.22,7.51,6.56,3.6,-2.02,7.41,7.26,5.8,2.38,3.86,3.69,1.47,11.02,4.66,2.94,1.62,2.79,7.66,6.64,4.84,1.61,1.14,-4.64,-15.16,-30.88,-6.73
"13","3","  Structures","B009RZ2",1.92,1.52,0.6,-0.54,1.43,1.79,0.98,3.82,0.76,-0.61,3.04,0.59,-0.65,4.29,0.11,0,-0.19,-0.75,0.04,0.86,1.47,3.03,2.76,0.33,-2.09,0.33,0.48,-7.53,-4.11,-3.95,-3.1,-0.98,-0.64,2.12,-0.07,-0.28,-0.38,0.87,0.68,0.08,1.18,-0.23,-1.38,0.42,3.1,3.67,1.9,0.31,3.03,4.58,5.55,2.62,1.7,3.64,0.04,-1.72,-13.33,-2.44
"14","4","    Commercial and health care","W001RZ2",1.01,0.44,-0.06,-0.22,0.13,1.94,1,1.47,1.4,-1.28,1.82,-0.37,0.4,1.74,-0.39,1.3,-0.21,0.31,0.14,0.04,0.25,1.47,1.04,0.34,-0.27,-1.23,-2.21,-1.72,-0.58,-1.41,-1.04,-0.8,-1,0.34,0.7,0.21,-0.39,1.06,-0.04,-0.92,0.45,-0.1,-0.34,0.28,0.61,0.84,0.75,-0.19,1.39,0.99,0.52,0.07,-0.14,0.12,-0.95,-2.6,-3.07,-1.08
"15","5","    Manufacturing","C307RZ2",0.29,1.01,-0.09,-0.28,0.69,-0.26,-0.25,1.25,-1.23,-0.4,0.78,-0.37,0.66,-0.08,-0.28,-0.1,-0.71,-0.83,-0.2,-0.4,0.35,0.78,-0.12,0.1,0.6,-0.54,-0.38,-1.85,-1.22,-0.67,-0.68,-0.11,-0.17,0.45,0.04,0.03,-0.12,-0.13,0.24,0.79,0.24,-0.17,0.11,0.12,0.09,0.43,0.3,-0.38,0.33,0.48,1.28,0.59,-0.02,0.51,0.51,1.2,1.98,1.92
"16","6","    Power and communication","W003RZ2",0.53,0.06,-0.29,-0.65,-0.51,-0.47,-0.35,0.27,-0.55,0.14,0.33,0.21,0.03,1.41,0.68,-0.77,1.46,-0.71,1.2,0.62,0.08,-0.08,1.28,0.23,-1.99,1.92,-0.1,0.93,0.23,-1.55,-1.26,0.21,0.94,-0.58,-0.93,-0.4,-0.17,-1.4,0.28,0.5,-0.09,-0.26,-0.19,0.13,0.73,-0.32,0.37,0.3,1.16,1.22,1.17,1.37,0.7,0.5,-0.67,-0.86,-0.33,1.79
"17","7","    Mining exploration, shafts, and wells","E318RZ2",-0.78,-0.51,-0.1,0.01,0.22,0.4,0.01,0.08,0.76,0.22,-0.17,0.09,-0.65,-0.01,-0.15,-0.64,-0.51,0.3,-0.3,0.45,0.26,0.54,0.28,0.26,0.56,0.22,0.32,-1.27,-1.74,-0.23,0.63,-0.09,0.04,1.03,0.3,0.02,0.46,0.77,0.17,-0.05,0.89,0.83,-0.94,-0.34,1.32,1.92,0.36,0.32,0.18,0.37,1.64,-0.15,0.87,1.98,1.35,1.26,-10.36,-5.76
"18","8","    Other structures \1\","W004RZ2",0.87,0.52,1.14,0.6,0.9,0.19,0.57,0.75,0.37,0.72,0.29,1.02,-1.09,1.23,0.25,0.2,-0.21,0.19,-0.8,0.16,0.53,0.32,0.28,-0.59,-0.98,-0.04,2.85,-3.62,-0.81,-0.1,-0.75,-0.18,-0.45,0.87,-0.17,-0.14,-0.17,0.57,0.03,-0.23,-0.31,-0.53,-0.03,0.23,0.35,0.8,0.12,0.26,-0.03,1.51,0.94,0.75,0.3,0.53,-0.19,-0.73,-1.54,0.69
"19","9","  Equipment and software","B010RZ2",9.99,0.48,1.42,6.58,6.05,6.95,8.85,4.14,6.89,8.11,12.68,1.79,11.26,7.04,4.46,10.1,7.12,9.2,8.66,0.08,9.86,8.11,0.48,0.78,-0.77,-7.94,-5.2,-1.2,-2.46,-0.56,1.69,-4.16,-0.58,5.39,6.62,3.88,-1.64,6.53,6.58,5.72,1.19,4.09,5.07,1.05,7.92,0.98,1.04,1.31,-0.24,3.09,1.1,2.22,-0.1,-2.49,-4.68,-13.44,-17.55,-4.29
