"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","[Dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:52:54 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Current dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","  Gross domestic product","A939RC0",27536,27639,27912,28163,28449,28969,29218,29606,29947,30375,30762,31015,31281,31551,31990,32543,32896,33179,33620,34241,34516,35280,35424,35724,35765,36157,36075,36220,36577,36854,37106,37241,37583,37912,38669,39128,39671,40204,40691,41252,41961,42338,42991,43471,44278,44731,44967,45377,45887,46451,46936,47341,47361,47670,47714,46945,46296,46110
"11","2","  Gross national product","A791RC0",27655,27768,27989,28283,28592,29080,29317,29723,30033,30488,30846,31075,31373,31633,32025,32585,32978,33280,33709,34367,34626,35402,35532,35919,35910,36331,36170,36534,36755,36968,37271,37467,37762,38138,38894,39443,40050,40497,41021,41495,42324,42664,43352,43735,44548,44985,45174,45616,46099,46704,47395,47949,47924,48094,48241,47295,46622,NA
"12","3","  Personal income","A792RC0",23012,23151,23335,23541,23939,24374,24588,24851,25231,25434,25756,26164,26724,27130,27445,27699,27907,28084,28369,28920,29788,30164,30568,30708,31170,31173,31088,31119,31280,31497,31465,31568,31736,32102,32358,32828,33112,33612,34047,34724,34705,35133,35689,36151,37034,37547,37894,38354,38939,39237,39541,39953,40007,40420,40301,40028,39125,39071
"13","4","  Disposable personal income","A229RC0",20299,20362,20534,20682,20972,21275,21485,21683,21932,22092,22335,22656,23123,23443,23695,23870,24046,24173,24379,24823,25506,25817,26170,26283,26604,26594,27204,26832,27558,27863,27837,27965,28211,28596,29111,29343,29660,30108,30421,31019,30758,31100,31559,31931,32596,33056,33367,33708,34085,34320,34574,34928,34960,36059,35586,35335,35231,35553
"14","5","  Personal consumption expenditures","A794RC0",18421,18627,18812,18968,19206,19494,19637,19870,20121,20199,20532,20777,20940,21292,21579,21911,22141,22556,22873,23254,23757,24027,24335,24620,24833,24986,25034,25375,25464,25735,25975,26125,26395,26601,27081,27291,27726,28022,28366,28854,29183,29587,30059,30327,30725,31054,31392,31617,32126,32398,32656,33081,33262,33521,33522,32752,32613,32551
"15","6","    Goods","AGDSRC0",6738,6778,6840,6885,6969,7116,7129,7225,7312,7246,7390,7458,7439,7583,7672,7868,7936,8160,8273,8421,8595,8662,8754,8818,8820,8839,8836,9033,8952,9035,9126,9128,9234,9237,9516,9537,9698,9772,9872,10094,10160,10307,10542,10523,10683,10746,10865,10832,10997,11078,11144,11388,11358,11426,11359,10561,10442,10381
"16","7","      Durable goods","A795RC0",2341,2356,2407,2435,2458,2512,2515,2545,2597,2556,2644,2688,2684,2792,2842,2979,2953,3071,3121,3131,3283,3209,3236,3243,3275,3243,3252,3498,3419,3429,3503,3425,3381,3469,3564,3547,3578,3592,3626,3679,3692,3781,3787,3677,3804,3770,3785,3808,3835,3833,3844,3872,3775,3704,3570,3337,3348,3283
"17","8","      Nondurable goods","A796RC0",4397,4422,4433,4449,4511,4604,4614,4680,4715,4690,4747,4770,4755,4791,4830,4889,4983,5089,5152,5290,5312,5453,5518,5575,5544,5597,5584,5535,5533,5606,5623,5703,5853,5768,5952,5990,6120,6180,6246,6415,6468,6526,6755,6847,6880,6975,7080,7024,7162,7245,7299,7516,7583,7722,7789,7223,7094,7099
"18","9","    Services","A797RC0",11683,11849,11972,12083,12237,12378,12507,12645,12809,12953,13142,13319,13502,13709,13907,14044,14205,14395,14600,14833,15162,15365,15581,15802,16013,16147,16199,16342,16512,16700,16849,16997,17161,17364,17565,17755,18029,18250,18493,18760,19023,19280,19517,19803,20042,20309,20527,20786,21129,21320,21512,21694,21904,22095,22164,22192,22172,22170
