"","Table 1#9#3# Real Net Value Added by Sector, Quantity Indexes   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2009 5:35:49 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Net domestic product","A362RA3",8.081,7.294,6.766,5.789,5.726,6.46,7.109,8.135,8.569,8.227,8.96,9.809,11.601,13.814,16.07,17.242,16.883,14.831,14.719,15.461,15.362,16.841,18.224,18.902,19.758,19.516,21,21.375,21.771,21.451,23.129,23.717,24.256,25.803,26.944,28.554,30.432,32.442,33.16,34.761,35.774,35.686,36.887,38.915,41.191,40.723,40.451,42.736,44.737,47.292,48.647,48.197,49.32,47.933,50.184,54.008,56.142,57.983,59.723,62.171,64.337,65.365,64.921,67.178,69.05,71.877,73.501,76.124,79.394,82.624,86.372,89.63,90.087,91.495,93.714,97.103,100,102.53,104.478,104.506
"9","2","Business \1\","A363RA3",6.923,6.147,5.644,4.701,4.613,5.259,5.854,6.739,7.209,6.811,7.519,8.305,9.873,11.561,12.928,13.712,13.453,13.281,13.531,14.243,14.028,15.45,16.473,16.978,17.822,17.526,19.01,19.28,19.575,19.111,20.813,21.227,21.628,23.089,24.171,25.744,27.584,29.442,29.898,31.363,32.238,32.074,33.283,35.465,37.942,37.103,36.556,39.099,41.322,43.972,45.295,44.44,45.574,43.735,46.209,50.493,52.765,54.667,56.381,58.812,60.957,61.724,60.903,63.411,65.426,68.651,70.367,73.43,77.076,80.665,84.9,88.359,88.483,90.003,92.806,96.779,100,102.957,105.011,104.53
"10","3","  Nonfarm \2\","A364RA3",6.493,5.736,5.112,4.193,4.126,4.885,5.359,6.377,6.721,6.332,6.975,7.859,9.384,11.058,12.54,13.394,13.123,12.923,13.367,13.935,13.781,15.239,16.426,16.9,17.737,17.387,18.916,19.198,19.545,19.028,20.807,21.179,21.585,23.122,24.216,25.884,27.735,29.715,30.116,31.677,32.551,32.356,33.556,35.824,38.447,37.616,36.78,39.502,41.746,44.55,45.807,44.971,45.772,43.818,46.78,50.831,52.898,54.862,56.581,59.17,61.197,61.89,61.032,63.397,65.586,68.635,70.62,73.569,77.146,80.838,85.077,88.44,88.639,90.139,92.851,96.789,100,103.022,105.192,104.549
"11","4","  Farm","A365RA3",11.568,10.774,13.397,13.147,12.547,9.56,12.309,10.386,12.842,12.452,14.028,12.065,13.616,14.826,14.435,14.271,14.193,14.339,12.703,14.646,13.828,14.494,13.473,14.215,14.983,15.55,15.931,15.932,15.205,15.798,15.676,16.803,17.008,16.601,17.169,16.4,17.542,16.596,18.043,17.08,17.747,18.285,19.413,19.271,18.818,18.147,22.295,20.763,21.98,20.749,22.991,21.894,32.834,35.479,18.58,30.537,41.231,39.744,41.081,35.446,42.956,47.181,48.483,59.788,50.339,65.374,48.244,58.181,66.149,61.498,65.249,79.66,71.209,75.122,88.338,95.736,100,94.778,83.455,98.032
"12","5","Households and institutions","W503RA3",7.753,7.544,7.237,6.905,6.836,6.939,7.011,7.11,7.207,7.179,7.337,7.629,7.922,8.405,8.58,9.025,9.37,9.502,10.096,10.74,11.391,12.327,13.14,13.951,14.801,15.666,17.015,18.09,19.054,20.188,21.349,22.909,23.899,25.306,26.305,27.359,28.715,30.051,31.305,32.939,34.416,34.929,36.416,37.976,39.214,40.771,42.139,42.677,43.071,45.035,47.026,49.653,51.315,53.135,54.697,56.481,57.311,58.757,60.985,63.905,66.487,68.852,70.772,72.973,75.383,77.622,80.044,81.561,84.282,86.807,89.733,93.095,94.894,95.077,94.449,96.852,100,101.916,103.97,105.436
"13","6","  Households","W504RA3",7.656,7.37,6.993,6.6,6.552,6.706,6.765,6.84,6.954,6.889,7.066,7.262,7.539,8.111,8.308,8.793,9.226,9.172,9.755,10.104,10.75,11.795,12.724,13.624,14.499,15.404,16.853,17.982,18.977,20.097,21.296,22.683,23.824,25.285,26.302,27.328,28.6,29.791,31.012,31.838,33.209,33.931,35.535,37.091,38.366,40.15,41.212,41.857,42.012,44.777,46.868,50.259,51.92,52.836,53.782,55.696,56.884,57.342,58.749,60.98,62.853,64.406,66.394,68.457,70.112,73.651,75.918,77.411,80.032,81.763,86.335,90.517,92.605,91.53,90.46,94.643,100,104.023,106.403,107.603
"14","7","  Nonprofit institutions serving households \3\","W505RA3",7.466,7.648,7.696,7.665,7.511,7.414,7.527,7.712,7.739,7.854,7.933,8.57,8.905,9.02,9.109,9.385,9.409,10.146,10.751,12.23,12.874,13.467,13.927,14.466,15.219,15.944,16.968,17.857,18.709,19.846,20.875,22.84,23.415,24.644,25.572,26.661,28.172,29.793,31.081,34.328,35.98,36.096,37.349,38.892,40.051,41.229,43.048,43.418,44.168,44.93,46.758,48.296,49.942,53.019,55.455,57.035,57.345,60.201,63.595,67.475,71.051,74.569,76.373,78.75,82.194,82.605,85.225,86.765,89.607,93.227,93.853,96.091,97.495,99.348,99.299,99.49,100,99.476,101.158,102.917
"15","8","General government \4\","A194RA3",16.284,17.051,17.255,16.881,17.888,20.472,21.868,25.98,24.419,26.423,26.772,27.981,34.345,51.163,82.182,94.267,90.106,39.95,30.293,30.843,32.338,34.052,43.117,46.707,46.623,45.81,45.655,46.539,47.577,47.97,48.402,50.085,51.952,53.981,55.487,57.44,59.51,63.712,67.307,70.04,71.919,72.121,72.376,72.428,72.941,74.69,75.98,76.551,77.286,78.814,79.523,80.502,80.635,81.171,81.235,81.705,83.577,85.048,86.329,88.177,89.896,91.834,92.29,92.134,91.996,91.771,91.63,91.545,92.066,92.928,93.457,94.905,96.519,98.412,99.415,99.655,100,100.189,101.303,103.272
