"","Table 5#5#5U# Private Fixed Investment in Equipment and Software","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2009 2:42:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Private fixed investment in equipment and software","A327RC0",28929,30335,29592,32817,35392,39853,47143,54726,55576,60716,67963,69846,72747,83199,100021,110109,114314,128568,156538,189713,219364,229598,256312,252591,267074,316951,336724,348806,355719,387055,420178,425531,420317,445475,495486,550869,609090,657113,724611,792698,878261,958334,906091,850917,862331,925541,1005355,1081975,1115163,1094102
"9","2","Nonresidential equipment and software","B010RC0",28359,29806,29071,32277,34800,39225,46456,54034,54865,59850,66953,68725,71469,81663,98282,108228,112395,126446,154141,186979,216197,226222,252697,248902,262854,312236,331668,343307,349914,380994,414029,419523,414569,439554,489415,544642,602763,650783,718342,786007,870958,950543,898107,842683,853812,916383,995571,1071659,1104803,1084114
"10","3","  Information processing equipment and software","A679RC0",3988,4869,5261,5707,6527,7364,8517,10663,11277,11915,14611,16637,17335,19452,23080,26981,28536,32716,39166,48687,58485,68770,81464,88259,100068,121541,130349,136761,141189,154934,172587,177198,182924,199923,217603,235222,263002,290142,330278,366099,417090,478249,452520,419779,430905,455310,475269,505236,537355,562876
"11","4","    Computers, software, and communication","W175RC0",1799,2571,3111,3603,4035,4463,5291,6683,7255,7852,9897,11554,11825,12865,14863,16762,17651,20225,24883,30732,38590,46589,56164,61768,69783,85992,94490,98084,104006,115873,128601,131494,135084,148076,160901,177448,204200,229020,268859,300936,353302,410956,383248,346503,350283,369304,380074,405880,432136,450911
"12","5","      Computers and peripheral equipment","B935RC0",20,192,261,347,734,927,1163,1698,1869,1925,2440,2722,2774,3472,3539,3868,3586,4403,5666,7563,10163,12522,17128,18871,23891,31609,33734,33410,35762,37956,43093,38643,37704,44014,47935,52385,66110,72793,81375,87887,97231,103178,87556,79725,77643,80212,78889,84890,89231,86667
"13","6","      Software \1\","B985RC0",14,127,167,221,433,541,677,1011,1172,1318,1790,2321,2410,2778,3220,3912,4780,5204,5476,6345,8135,9836,11845,14040,16384,20362,23762,25614,28995,34178,41869,47632,53720,57855,64274,68262,74635,85474,107483,125993,157332,184455,186590,183043,191272,205681,218004,229785,245612,264080
