"","Table 7#3#4# Price Indexes for Farm Sector Output, Gross Value A","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2009 3:59:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Farm output","A2000G3",23.636,20.149,14.284,10.753,11.456,14.346,16.907,17.604,18.995,15.708,14.207,15.893,18.916,24.58,29.229,29.93,30.975,35.258,41.657,43.231,37.376,38.078,44.826,42.634,37.718,36.369,34.592,34.129,34.648,37.578,35.5,35.249,35.376,36.017,35.738,34.902,36.618,39.097,37.094,37.929,39.971,40.713,41.96,46.747,66.18,70.765,68.215,68.219,67.599,76.29,85.981,88.072,90.707,85.995,89.535,92.34,82.467,79.232,80.493,87.701,92.502,92.745,89.128,88.245,90.145,89.465,90.683,99.967,94.988,89.453,84.142,84.91,89.53,85.475,93.374,104.732,100,100.287,118.551,132.377
"9","2","  Cash receipts from farm marketings","A2001G3",18.992,16.065,11.249,8.529,9.339,12.02,14.074,14.673,15.932,13.539,12.179,13.788,16.352,21.326,25.333,25.978,26.805,30.946,36.734,38.224,33.165,34.075,40.044,38.051,33.741,32.614,31.08,30.633,31.105,33.896,32.035,31.853,31.948,32.526,32.317,31.618,33.173,35.342,33.496,34.33,36.216,36.926,38.019,42.4,60.429,65.322,63.069,63.302,62.938,71.566,80.926,83.052,85.618,81.713,85.524,88.22,79.055,76.393,77.4,85.625,90.392,90.963,87.349,86.568,88.438,87.849,89.019,98.454,93.916,88.547,83.381,84.169,88.94,84.667,92.77,104.466,100,100.17,118.647,132.193
"10","3","    Crops","B1005G3",21.178,18.045,11.919,9.245,11.789,16.933,16.059,16.649,18.646,14.885,12.449,15.929,17.43,24.149,29.873,32.561,31.832,37.061,43.651,42.323,36.83,38.368,43.97,44.355,39.729,40.379,39.34,39.293,37.128,36.968,36.962,37.024,37.728,38.599,39.817,39.852,39.12,40.455,37.979,38.094,36.819,38.142,41.002,43.711,66.614,84.931,76.698,75.193,74.867,78.422,86.239,92.734,98.025,87.908,99.075,101.593,87.538,79.208,78.697,94.053,98.13,94.085,91.952,92.252,93.166,96.8,101.739,115.054,106.381,97.924,88.069,87.804,89.949,95.483,100.693,108.296,100,107.705,129.616,157.874
"11","4","    Livestock","B1006G3",17.962,15.107,11.021,8.225,7.983,9.321,12.916,13.529,14.329,12.725,12.134,12.442,15.637,19.53,22.532,22.054,23.805,27.288,32.596,35.757,30.962,31.462,37.674,34.284,30.173,28.03,26.199,25.519,27.456,31.867,28.858,28.523,28.259,28.66,27.598,26.466,29.382,32.038,30.582,31.831,35.666,35.955,35.875,41.339,55.767,50.444,52.603,54.121,53.731,66.003,76.574,75.024,75.348,76.396,74.419,77.22,71.893,73.805,76.14,78.111,83.429,87.94,83.032,81.288,84.018,79.666,77.447,83.378,82.491,79.915,78.98,80.717,87.807,75.087,85.686,101.002,100,93.299,108.649,108.764
"12","5","  Farm products consumed on farms","B1008G3",17.642,16.02,12.492,9.5,9.1,10.434,13.017,13.533,14.044,12.218,11.536,11.862,14.73,18.614,22.933,23.426,25.034,25.426,29.005,30.167,26.571,25.518,30.439,30.743,29.254,27.131,26.007,25.878,27.169,28.814,27.772,27.026,27.063,27.538,26.739,25.862,28.526,31.447,30.219,31.931,35.031,35.5,36.018,42.379,55.551,49.559,50.654,52.031,52.232,66.86,80.285,77.229,76.814,79.116,74.956,78.029,73.086,74.162,80.998,82.353,86.744,93.556,89.791,86.328,88.605,81.795,81.638,82.265,87.233,77.667,74.289,78.381,83.59,74.231,84.025,97.109,100,96.42,104.647,103.178
"13","6","  Other farm income","B1009G3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.502,22.168,23.215,23.733,23.548,23.875,24.598,25.752,29.419,27.443,27.791,28.435,28.744,29.239,26.607,27.405,28.72,29.935,31.51,33.551,35.301,40.145,42.698,45.814,58.541,63.116,63.947,66.53,70.951,77.442,83.9,88.481,83.013,88.994,88.955,83.755,77.102,81.698,91.031,95.377,89.761,89.84,91.83,93.674,93.68,99.515,107.744,103.315,98.082,89.969,90.573,92.478,96.468,101.372,105.345,100,106.207,123.544,149.8
"14","7","  Change in farm finished goods inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","    Crops","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","9","    Livestock","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
